method,router_mode,intervention,accuracy,accuracy_delta_vs_standard,mean_route_shift,mean_class_log_prob_drop,count
standard_anchor_no_geo,standard,router_context_shuffled,0.62890625,0.0013020833333333333,0.018674882785452793,0.0007806723652821449,2304
standard_anchor_no_geo,standard,router_context_zeroed,0.6297743055555556,0.002170138888888889,0.01476783597835644,-0.0028155501543854675,2304
standard_anchor_no_geo,standard,router_z0_shuffled,0.5529513888888888,-0.07465277777777778,0.48267079815074493,0.15656252118868805,2304
standard_anchor_no_geo,standard,router_z0_zeroed,0.5846354166666666,-0.04296875,0.5563842603005469,0.026749553700533904,2304
standard_anchor_no_geo,standard,standard,0.6276041666666666,0.0,0.0,0.0,2304
uniform_static_anchor,uniform_static,router_context_shuffled,0.6089409722222222,0.0,0.0,0.0,2304
uniform_static_anchor,uniform_static,router_context_zeroed,0.6089409722222222,0.0,0.0,0.0,2304
uniform_static_anchor,uniform_static,router_z0_shuffled,0.6089409722222222,0.0,0.0,0.0,2304
uniform_static_anchor,uniform_static,router_z0_zeroed,0.6089409722222222,0.0,0.0,0.0,2304
uniform_static_anchor,uniform_static,standard,0.6089409722222222,0.0,0.0,0.0,2304
context_bottleneck_no_geo,context_bottleneck,router_context_shuffled,0.6158854166666666,-0.009982638888888888,0.2258220989690219,0.029828194340451673,2304
context_bottleneck_no_geo,context_bottleneck,router_context_zeroed,0.5946180555555556,-0.03125,0.3935357377635632,0.036857569280982716,2304
context_bottleneck_no_geo,context_bottleneck,router_z0_shuffled,0.6258680555555556,0.0,0.0,0.0,2304
context_bottleneck_no_geo,context_bottleneck,router_z0_zeroed,0.6258680555555556,0.0,0.0,0.0,2304
context_bottleneck_no_geo,context_bottleneck,standard,0.6258680555555556,0.0,0.0,0.0,2304
context_bottleneck_geo,context_bottleneck,router_context_shuffled,0.6184895833333334,-0.002170138888888889,0.2446747348917092,0.022408490502534226,2304
context_bottleneck_geo,context_bottleneck,router_context_zeroed,0.5911458333333334,-0.029513888888888888,0.3494459556661443,0.02884005307229624,2304
context_bottleneck_geo,context_bottleneck,router_z0_shuffled,0.6206597222222222,0.0,0.0,0.0,2304
context_bottleneck_geo,context_bottleneck,router_z0_zeroed,0.6206597222222222,0.0,0.0,0.0,2304
context_bottleneck_geo,context_bottleneck,standard,0.6206597222222222,0.0,0.0,0.0,2304
sensory_bottleneck_no_geo,sensory_bottleneck,router_context_shuffled,0.6141493055555556,0.0,0.0,0.0,2304
sensory_bottleneck_no_geo,sensory_bottleneck,router_context_zeroed,0.6141493055555556,0.0,0.0,0.0,2304
sensory_bottleneck_no_geo,sensory_bottleneck,router_z0_shuffled,0.6180555555555556,0.00390625,0.3250441723143417,0.03366028746192266,2304
sensory_bottleneck_no_geo,sensory_bottleneck,router_z0_zeroed,0.5182291666666666,-0.0959201388888889,0.5562387591214955,0.1830769464997704,2304
sensory_bottleneck_no_geo,sensory_bottleneck,standard,0.6141493055555556,0.0,0.0,0.0,2304
sensory_bottleneck_geo,sensory_bottleneck,router_context_shuffled,0.625,0.0,0.0,0.0,2304
sensory_bottleneck_geo,sensory_bottleneck,router_context_zeroed,0.625,0.0,0.0,0.0,2304
sensory_bottleneck_geo,sensory_bottleneck,router_z0_shuffled,0.6150173611111112,-0.009982638888888888,0.33001448423197466,0.05041665662671827,2304
sensory_bottleneck_geo,sensory_bottleneck,router_z0_zeroed,0.5403645833333334,-0.08463541666666667,0.48253305990430007,0.14757275095164207,2304
sensory_bottleneck_geo,sensory_bottleneck,standard,0.625,0.0,0.0,0.0,2304
