contrast,treatment,control,partition,space,paired_source_count,delta_rho_mean,delta_rho_ci_low,delta_rho_ci_high,delta_stress_mean,delta_stress_ci_low,delta_stress_ci_high,status
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,context,256,0.0024829754928270614,-0.010667483461058266,0.017441661349363702,-0.007950527701436765,-0.012552259559940895,-0.003383625006599656,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,route,256,0.021651546297451994,0.0013631535455620603,0.04267676202683833,-0.027017640955346325,-0.03473410920679226,-0.018905659700763897,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,synthesis,256,0.0005462546084219533,-0.0035140310662235014,0.005141000757898434,-0.00024057167907647265,-0.0007274720427128614,0.00026181678556901544,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,context,256,0.01639473093347227,-0.00869764585919135,0.040338873813332024,-0.015969537643812065,-0.02557367124638036,-0.007245631048684545,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,route,256,0.04568825752783816,0.009206967463558419,0.07801360384997483,-0.03253089351787117,-0.04522616234496329,-0.019686525210364944,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,synthesis,256,-0.0009643959372630738,-0.007480095988396724,0.005304177654946911,-0.0003598377994005086,-0.0009261813321946031,0.00021337282240999333,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,context,256,0.05129827368180713,-0.00555751989682017,0.10608016198005063,-0.037473378850360964,-0.05678638403713482,-0.015129130601806293,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,route,256,-0.03893305572752835,-0.08681785885057147,0.010727695616759283,-0.017184320735420883,-0.03834919207828905,0.005308307815985031,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,synthesis,256,-0.008119329861544497,-0.019256095690747082,0.0030081248095599838,0.0032342690844804015,0.0016246940173181698,0.004999050297548759,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C2_interpolation,context,256,0.04134847581015432,-0.01665391234161171,0.1113304697451101,-0.04401664962409335,-0.0693913078418538,-0.019758133297463218,development_not_qualified
