model_seed,method,mean_csr,min_source_csr_ci_low,mean_prediction_preservation,min_prediction_preservation_ci_low,mean_class_log_prob_drop
0,d4_full_legacy_route,0.3992787646233392,0.08080700584533995,0.98828125,0.9453125,0.00036336494304123335
0,d4_full_stationary_route,0.45323494598971087,0.13600581077312057,0.990234375,0.9609375,0.0006671954943158198
0,d4_no_geo,0.07893983943060659,0.0016252025170572562,1.0,1.0,0.001239807388628833
1,d4_full_legacy_route,1.4792649265354114,1.2876592658129637,0.994140625,0.9609375,0.0052963629641453736
1,d4_full_stationary_route,1.3245266523947952,1.059302209155125,0.990234375,0.9609375,0.004489773345994763
1,d4_no_geo,0.2673309052470689,0.00038164431146237433,0.994140625,0.9765625,-0.0018707487979554571
2,d4_full_legacy_route,1.479905764567305,1.3315460344672936,1.0,1.0,0.0006812278224970214
2,d4_full_stationary_route,0.5279130882013624,0.39415613675309724,0.998046875,0.9765625,0.0006932576798135415
2,d4_no_geo,1.0091933442267533,0.7193521338308608,0.994140625,0.9609375,0.0017664734659774695
3,d4_full_legacy_route,0.30241254667503825,0.17807921954969338,0.99609375,0.9765625,0.001945144051205716
3,d4_full_stationary_route,0.22718109695566271,0.08891595835561814,0.9921875,0.9765625,0.0006574998678843258
3,d4_no_geo,0.7301150075886719,0.4378718892976337,0.9921875,0.9453125,0.0020900351355521707
4,d4_full_legacy_route,0.13048064191549333,0.03100857843825948,0.994140625,0.9765625,-0.0004780611925525591
4,d4_full_stationary_route,0.08302824699506794,0.0013174093035590495,0.99609375,0.9765625,-0.0002208240402978845
4,d4_no_geo,0.4862883441123439,0.2141779888281306,0.998046875,0.9765625,0.0023936973775562365
