contrast,partition,geometry,metric,mean_seed_effect,seed_ci_low,seed_ci_high,seed_sd,seed_count,favorable_seed_fraction
r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.03255496090682621,-0.05646048175751633,0.12157040357116874,0.07169044346386406,5,0.6
r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.05684865621995994,-0.16376971694814993,0.050072404508230056,0.08611110645300633,5,0.8
r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.05155217475469657,-0.03027905139309351,0.13338340090248665,0.06590448484144658,5,0.6
r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.036950640253266887,-0.0906887393532596,0.01678745884672584,0.04327909899758074,5,0.8
r1_linear_vs_r0_mlp,trained,functional,rho,0.06839504973521715,-0.0241583243187294,0.16094842378916369,0.07453979030384823,5,0.8
r1_linear_vs_r0_mlp,trained,functional,stress,-0.07537587160508677,-0.1758204851489026,0.025068741938729072,0.08089516462515016,5,0.8
r1_linear_vs_r0_mlp,trained,nominal,rho,0.09513172984197898,0.009296191439087442,0.18096726824487053,0.06912944123938856,5,0.8
r1_linear_vs_r0_mlp,trained,nominal,stress,-0.0539492917174489,-0.09994577499557034,-0.007952808439327469,0.037044227218201956,5,1.0
r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.007039954103262441,-0.03482207659482698,0.04890198480135186,0.03371445959506635,5,0.8
r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.05185998502966913,-0.13323116998550288,0.029511199926164626,0.06553398107181016,5,1.0
r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.03842379861730688,0.01280767668461992,0.06403992054999384,0.02063047810820328,5,1.0
r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.024642540773718937,-0.05645490261333144,0.007169821065893572,0.025620749160508282,5,0.8
r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.04642369619428903,0.004130663862395016,0.08871672852618304,0.03406157575082837,5,1.0
r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.06744196915664041,-0.1436018020440168,0.008717863730735978,0.061336909983338336,5,1.0
r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.08838995478385492,0.03511105630898713,0.1416688532587227,0.042909272195974804,5,1.0
r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.03557140846214731,-0.07252473878169927,0.0013819218574046346,0.029761135357882565,5,0.8
r2_prototype_energy_vs_r1_linear,heldout_dense,functional,rho,-0.025515006803563767,-0.09108174623019369,0.04005173262306616,0.05280554121040878,5,0.2
r2_prototype_energy_vs_r1_linear,heldout_dense,functional,stress,0.0049886711902908,-0.04366725850082827,0.05364460088140986,0.03918606785854015,5,0.4
r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.013128376137389697,-0.08613501300842204,0.05987826073364265,0.05879741780114929,5,0.4
r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,stress,0.012308099479547951,-0.031703648028005876,0.05631984698710178,0.03544577886708701,5,0.4
r2_prototype_energy_vs_r1_linear,trained,functional,rho,-0.021971353540928117,-0.12087057178722911,0.07692786470537287,0.07965054828792006,5,0.4
r2_prototype_energy_vs_r1_linear,trained,functional,stress,0.007933902448446339,-0.04430463167746174,0.06017243657435442,0.04207139306726951,5,0.4
r2_prototype_energy_vs_r1_linear,trained,nominal,rho,-0.006741775058124044,-0.10034691466754614,0.08686336455129806,0.07538685163203128,5,0.4
r2_prototype_energy_vs_r1_linear,trained,nominal,stress,0.018377883255301583,-0.028536059994492886,0.06529182650509605,0.03778312274307847,5,0.4
