model_seed,method,mean_nominal_csr,mean_functional_csr,min_functional_csr_ci_low,mean_dmr,min_prediction_preservation_ci_low
0,r0_mlp,0.5678973761134297,0.15602657611827844,0.005120962417695154,0.553340232941316,1.0
0,r1_linear,1.209844868630996,1.593489121629119,1.2323664412673923,1.2146565928088866,0.953125
0,r2_prototype_energy,1.114812863824981,1.144887034215268,0.9569691246839387,1.1227013344862324,0.921875
1,r0_mlp,0.6227945669589956,0.07810595982864703,0.00016152209637447946,0.5982271185958978,1.0
1,r1_linear,1.5130266655681717,4.473650840001905,2.106013021319743,1.5425326540044095,0.9765625
1,r2_prototype_energy,0.824352018805333,0.8985626485956595,0.7593965549200667,0.8233520389400818,0.921875
2,r0_mlp,1.0320730532087916,0.8307188051939973,0.31931351586517165,1.0297408693647998,0.9765625
2,r1_linear,0.6287712044658644,0.3579376251777484,0.12752349478579997,0.6159589607351822,1.0
2,r2_prototype_energy,1.087764527805528,0.8523172434550441,0.6657263123364894,1.0888235671791977,0.9375
3,r0_mlp,0.6743769158059464,0.4130955809767446,0.1431515096138836,0.6606698463974985,0.9765625
3,r1_linear,1.165074632742318,2.4576380888483755,0.990364641845094,1.1688919405547364,1.0
3,r2_prototype_energy,1.0334863739357916,0.8362674971582318,0.600970680604027,1.0126182487781652,0.9060546875
4,r0_mlp,0.7154942546660259,0.010554953679562423,0.0007110437299321987,0.7065733570743771,1.0
4,r1_linear,1.1576276646246222,1.275551434568337,0.8716529125689171,1.1596667180332558,0.9765625
4,r2_prototype_energy,0.34305976280816375,0.3401177940968467,0.19535691034579564,0.3175544234691841,0.921875
