model_seed,method,variant,root_route_r2,root_chord_error,functional_transport_error,evaluation_samples
0,r0_mlp,full_context,0.992061226043091,0.004111327164886794,1.0942544577119406e-05,768
0,r0_mlp,angle_shuffled,0.02499088131026855,0.05084019933806718,0.05324556306004524,768
0,r0_mlp,tangent_removed,0.97222262935071,0.007805154260208137,0.0007852671551518142,768
0,r0_mlp,matched_orthogonal_component,0.2658622508414183,0.04220108151566144,0.03979462385177612,768
0,r1_linear,full_context,0.9960051673929783,0.0038998993983593334,1.2191907217129483e-07,768
0,r1_linear,angle_shuffled,-0.02245260449939121,0.07740145865593011,0.10144698619842529,768
0,r1_linear,tangent_removed,0.7876935245505954,0.029476151023674166,0.024667279794812202,768
0,r1_linear,matched_orthogonal_component,0.431575454430412,0.05499422922369285,0.06848835200071335,768
0,r2_prototype_energy,full_context,0.8917674744042795,0.12716989941902238,0.12355578690767288,768
0,r2_prototype_energy,angle_shuffled,-0.02968494233971215,0.5122773020386192,0.6146061420440674,768
0,r2_prototype_energy,tangent_removed,0.8487060978989347,0.1582000865462364,0.16374143958091736,768
0,r2_prototype_energy,matched_orthogonal_component,0.180814585014686,0.43015707265004516,0.5179164409637451,768
1,r0_mlp,full_context,0.9951984947948329,0.0038056301766805586,8.48023304911294e-08,768
1,r0_mlp,angle_shuffled,0.0077438824261358685,0.059946911467074225,0.07083722203969955,768
1,r0_mlp,tangent_removed,0.9836331050960144,0.0068103188304779886,1.275705926673254e-05,768
1,r0_mlp,matched_orthogonal_component,0.4121001780969315,0.045562341743501815,0.04654363915324211,768
1,r1_linear,full_context,0.9956931744727482,0.003816111208577094,1.6857629816513509e-06,768
1,r1_linear,angle_shuffled,0.025670161583317794,0.0758248540811292,0.1050676479935646,768
1,r1_linear,tangent_removed,0.9290101907160153,0.017374361882880027,0.00814890582114458,768
1,r1_linear,matched_orthogonal_component,0.3916330395228072,0.059065704767849614,0.08464571088552475,768
1,r2_prototype_energy,full_context,0.8944966199239014,0.12051693287341303,0.13396476209163666,768
1,r2_prototype_energy,angle_shuffled,-0.010520903617291183,0.4534052426252953,0.5833752155303955,768
1,r2_prototype_energy,tangent_removed,0.8739267447201751,0.13183839662371155,0.15194840729236603,768
1,r2_prototype_energy,matched_orthogonal_component,0.301186864353732,0.35690453230686287,0.4335179626941681,768
2,r0_mlp,full_context,0.9891175575115178,0.009250888091666932,7.283959712367505e-05,768
2,r0_mlp,angle_shuffled,0.0017125989368530921,0.12052998628082649,0.2090342789888382,768
2,r0_mlp,tangent_removed,0.9091172375408362,0.032898143592157036,0.03414526209235191,768
2,r0_mlp,matched_orthogonal_component,0.4774843864975113,0.08520503783081938,0.14074715971946716,768
2,r1_linear,full_context,0.9961447011439648,0.003978110487564415,1.1161148904648144e-05,768
2,r1_linear,angle_shuffled,0.09414289576836644,0.07915486056097218,0.09931346029043198,768
2,r1_linear,tangent_removed,0.8843229060651885,0.024927313650557312,0.016848139464855194,768
2,r1_linear,matched_orthogonal_component,0.23099432126299563,0.07049834309538269,0.08419409394264221,768
2,r2_prototype_energy,full_context,0.9306676756821483,0.09845945353416448,0.09894386678934097,768
