model_seed,method,context_rho,route_rho,synthesis_rho,dense_context_rho,dense_route_rho,mean_heldout_accuracy,final_trained_accuracy,mean_forgetting,heldout_context_r2,heldout_context_mae
0,d4_no_geo,0.37517759696616926,0.3041893276262435,0.5662177313842834,0.29775720736997524,0.21943303523461996,0.5638020833333334,0.62890625,0.090625,0.03704262233299194,43.04409940059977
0,d4_full_legacy_route,0.4169412447555204,0.23975611358738122,0.5662425611392118,0.29770677789932154,0.2042681729880303,0.5638020833333334,0.62421875,0.0984375,0.22562295881946925,35.7941963860604
0,d4_full_stationary_route,0.4091943612179,0.2916006418776103,0.5590667619649416,0.3003867440540633,0.22208418454898815,0.56640625,0.61875,0.10078125,0.20602255426373206,36.79238146697434
1,d4_no_geo,0.2190729277321318,0.15086559094417237,0.5620215028014057,0.20219336048113346,0.14539536810483272,0.5533854166666666,0.6265625,0.090625,0.017241663405746177,43.7720250548486
1,d4_full_legacy_route,0.46481301225722627,0.34108634344965366,0.5926117608730352,0.3542814397627271,0.2583861992095893,0.5611979166666666,0.621875,0.096875,0.11275622779315764,39.83704341806578
1,d4_full_stationary_route,0.42036775093562184,0.3143446973919062,0.5804451809581825,0.3189375850445471,0.24471981266242507,0.5638020833333334,0.6234375,0.09296875,0.1032856111402286,40.13789377070733
2,d4_no_geo,0.3712544956875025,0.23973128383245296,0.5564844674524014,0.3292612181083775,0.24481346739363916,0.5625,0.61953125,0.08984375,0.0014819455841472706,43.74941318881167
2,d4_full_legacy_route,0.4934665494444505,0.31849126646492737,0.5482906483260721,0.3943944815627325,0.24630473888297125,0.5572916666666666,0.62734375,0.0796875,0.06088193932726915,41.609162667638294
2,d4_full_stationary_route,0.47874250477198604,0.3130038906257796,0.5429770807714223,0.36674472322429486,0.2475078419685677,0.5546875,0.6265625,0.08046875,0.15646450937445644,38.74168730128762
3,d4_no_geo,0.34977675767454836,0.30361824326289333,0.5589426131903001,0.2854163954799952,0.2492800776515421,0.5611979166666666,0.628125,0.090625,0.015161710828017205,43.265936138904635
3,d4_full_legacy_route,0.4624541855390405,0.2815942506415172,0.5543739382834985,0.3529342524752629,0.22570069801587078,0.5638020833333334,0.63359375,0.0859375,0.08017318846794685,40.88402044052695
3,d4_full_stationary_route,0.4724357470202053,0.2775221708332809,0.549383157542916,0.36336594869049416,0.23984256242919885,0.568359375,0.63515625,0.0890625,0.14128464589713163,39.0724375654724
4,d4_no_geo,0.3350278832471556,0.29274281060431073,0.5646534568238024,0.30147457977816544,0.27459567191972073,0.55078125,0.628125,0.08515625,0.011219037362245943,44.51485305276645
4,d4_full_legacy_route,0.43802170668962226,0.22071169155739767,0.5530083017624436,0.3431149141179699,0.14934327523601143,0.5598958333333334,0.625,0.096875,0.13602948448733787,38.5880073177947
4,d4_full_stationary_route,0.40484915410545264,0.21867565165327946,0.5445910148417599,0.3088012614431449,0.15064723726291532,0.5501302083333334,0.625,0.09765625,0.13654721925298596,38.65757484596952
