model_seed,contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
0,stationary_full_vs_no_geo,C1_trained,context,rho,0.03401676425173076,-0.0032800106260245637,0.0727108335880745,256
0,stationary_full_vs_no_geo,C1_trained,context,stress,-0.01982674183594655,-0.03502958996545112,-0.004809919761811253,256
0,stationary_full_vs_no_geo,C1_trained,route,rho,-0.01258868574863321,-0.05473160804451375,0.028258744083864803,256
0,stationary_full_vs_no_geo,C1_trained,route,stress,0.03453486493680241,0.015413984511420184,0.053073328698564126,256
0,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.007150969419341943,-0.018874338208724924,0.0038753040004298445,256
0,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.0032338558468176667,0.0011873544980853126,0.0052262489807119025,256
0,stationary_full_vs_no_geo,dense_heldout,context,rho,0.002629536684087999,-0.036505533595739444,0.04205925915673516,256
0,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.018551447786591742,-0.03367966809182606,-0.004574719816549775,256
0,stationary_full_vs_no_geo,dense_heldout,route,rho,0.0026511493143681723,-0.04001416401647358,0.048262444257650146,256
0,stationary_full_vs_no_geo,dense_heldout,route,stress,0.011157087234415827,-0.008285165066060673,0.030871587593460478,256
0,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.0013327788672774805,-0.010642419360462993,0.008502228646968627,256
0,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.001080045541355731,-0.0006507476049034182,0.0030456996825601102,256
0,stationary_vs_legacy_route,C1_trained,context,rho,-0.007746883537620442,-0.024459791579839404,0.008892155983686917,256
0,stationary_vs_legacy_route,C1_trained,context,stress,0.00626594974309087,0.0008695935020627733,0.011561351634537559,256
0,stationary_vs_legacy_route,C1_trained,route,rho,0.05184452829022908,0.03498077948682087,0.06982561606540945,256
0,stationary_vs_legacy_route,C1_trained,route,stress,-0.007343125844853622,-0.014058153339018935,-0.0006024928262011475,256
0,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.0071757991742702155,-0.014280833546994862,-0.0005940518866588777,256
0,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.0021223051154271094,0.0011138188159949144,0.0031551733151661218,256
0,stationary_vs_legacy_route,dense_heldout,context,rho,0.0026799661547417413,-0.010292654960428818,0.015990644828544714,256
0,stationary_vs_legacy_route,dense_heldout,context,stress,0.0005050937440317155,-0.0037054302504646915,0.004758250412040431,256
0,stationary_vs_legacy_route,dense_heldout,route,rho,0.01781601156095785,0.0034938617900426737,0.03167835262266229,256
0,stationary_vs_legacy_route,dense_heldout,route,stress,-0.004766256043351706,-0.0099313015400448,0.00034128718117050846,256
0,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.006318092251904583,-0.0112677447965694,-0.0010919781449058594,256
0,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.0010346305652052963,0.0002312531767579127,0.0018981326740487093,256
1,stationary_full_vs_no_geo,C1_trained,context,rho,0.20129482320349001,0.15930646613203797,0.2446059854687457,256
1,stationary_full_vs_no_geo,C1_trained,context,stress,-0.09414934388569182,-0.11012400539678847,-0.07886667443161202,256
1,stationary_full_vs_no_geo,C1_trained,route,rho,0.16347910644773384,0.12437100094796119,0.20390629267807087,256
1,stationary_full_vs_no_geo,C1_trained,route,stress,-0.08637183830731819,-0.1045027094814483,-0.0692167446833963,256
1,stationary_full_vs_no_geo,C1_trained,synthesis,rho,0.018423678156776813,0.008565644706380174,0.029845986167654513,256
1,stationary_full_vs_no_geo,C1_trained,synthesis,stress,-0.0035780692411906635,-0.005305949882437597,-0.0018774194539470388,256
1,stationary_full_vs_no_geo,dense_heldout,context,rho,0.11674422456341364,0.07230487449707418,0.15935028326623724,256
1,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.061975402192210406,-0.07883831164844222,-0.04489398461789505,256
1,stationary_full_vs_no_geo,dense_heldout,route,rho,0.09932444455759235,0.05905795308259772,0.14174715611353914,256
1,stationary_full_vs_no_geo,dense_heldout,route,stress,-0.07108550527438359,-0.08917922134013986,-0.052530000096884584,256
1,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,0.009264614180101818,0.0020362699828971845,0.016094205348637217,256
1,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,-0.0022601106813739374,-0.003652144828294422,-0.0008417689003238446,256
1,stationary_vs_legacy_route,C1_trained,context,rho,-0.04444526132160443,-0.061461713117821504,-0.028073141665775996,256
1,stationary_vs_legacy_route,C1_trained,context,stress,0.017705001192142793,0.012808562900104119,0.02296748423022471,256
1,stationary_vs_legacy_route,C1_trained,route,rho,-0.026741646057747467,-0.05458200877107091,-0.0009360817607958072,256
1,stationary_vs_legacy_route,C1_trained,route,stress,0.027930209482607583,0.01756538257759746,0.038254835515789086,256
1,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.012166579914852609,-0.018698667692607404,-0.005262666557046957,256
1,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.001720767841987113,0.0009282824914793151,0.002524764479312503,256
1,stationary_vs_legacy_route,dense_heldout,context,rho,-0.03534385471818002,-0.046272821535107686,-0.024455951898784706,256
1,stationary_vs_legacy_route,dense_heldout,context,stress,0.01407181593336635,0.010259681345445831,0.01783598328574832,256
1,stationary_vs_legacy_route,dense_heldout,route,rho,-0.013666386547164185,-0.035966838786006074,0.008020627202225392,256
1,stationary_vs_legacy_route,dense_heldout,route,stress,0.015399309370314754,0.008482921603163548,0.022117269397637303,256
1,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.005057355485561023,-0.009461649326156079,-0.0008176778455999714,256
1,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.0015613716713973056,0.0008974655315927311,0.0022561125480964716,256
2,stationary_full_vs_no_geo,C1_trained,context,rho,0.10748800908448357,0.06807573908683959,0.14421432034276185,256
2,stationary_full_vs_no_geo,C1_trained,context,stress,-0.03753901906952093,-0.051405737962420435,-0.02377079865586921,256
2,stationary_full_vs_no_geo,C1_trained,route,rho,0.07327260679332664,0.030898767776613184,0.11993764820551846,256
2,stationary_full_vs_no_geo,C1_trained,route,stress,-0.015821466026750303,-0.033834694665221945,0.001443776573858177,256
2,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.013507386680979226,-0.024359231072379903,-0.0029286695937895254,256
2,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.003470340478761067,0.0017551717726910596,0.005111555283041812,256
2,stationary_full_vs_no_geo,dense_heldout,context,rho,0.037483505115917394,0.004073440492056045,0.06689289176966594,256
2,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.014768466141583288,-0.02731711698840415,-0.0013029913243831725,256
2,stationary_full_vs_no_geo,dense_heldout,route,rho,0.002694374574928526,-0.034822810223175474,0.038330720222900246,256
2,stationary_full_vs_no_geo,dense_heldout,route,stress,0.006992148499542124,-0.008085447142227909,0.023151575827399413,256
2,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.016778605307509437,-0.025733978769352413,-0.008745550842872943,256
2,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.005963160315142319,0.0044660414062427396,0.007464842091326518,256
2,stationary_vs_legacy_route,C1_trained,context,rho,-0.014724044672464484,-0.031414605935248,0.0019392038598979385,256
2,stationary_vs_legacy_route,C1_trained,context,stress,0.007590215075584512,0.0018952751967688368,0.013728925393806577,256
2,stationary_vs_legacy_route,C1_trained,route,rho,-0.005487375839147806,-0.024706847641375693,0.012712834523274565,256
2,stationary_vs_legacy_route,C1_trained,route,stress,0.016454669330430653,0.00902895028514523,0.0231703084573282,256
2,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.005313567554649911,-0.011127454671104478,0.0006213646170799785,256
2,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.001781951173426552,0.0009399695836494456,0.0025981446902461312,256
2,stationary_vs_legacy_route,dense_heldout,context,rho,-0.027649758338437618,-0.04233500029805974,-0.01296739806285285,256
2,stationary_vs_legacy_route,dense_heldout,context,stress,0.015301866988998936,0.010560826028600765,0.02015091653716968,256
2,stationary_vs_legacy_route,dense_heldout,route,rho,0.001203103085596428,-0.0130841062663658,0.015549567065576789,256
2,stationary_vs_legacy_route,dense_heldout,route,stress,0.014856699985826713,0.008858450712383613,0.02039093345638478,256
2,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.0047763912919187405,-0.010106786340019313,7.942641627964751e-05,256
2,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.002478534083371304,0.0017665506261177778,0.0031832719568370897,256
3,stationary_full_vs_no_geo,C1_trained,context,rho,0.12265898934565692,0.08686131092169595,0.1598322361926441,256
3,stationary_full_vs_no_geo,C1_trained,context,stress,-0.05146192174605424,-0.06587905135902067,-0.036581632945721566,256
3,stationary_full_vs_no_geo,C1_trained,route,rho,-0.026096072429612437,-0.057664002101542516,0.0076593586514982675,256
3,stationary_full_vs_no_geo,C1_trained,route,stress,-0.011111190678783169,-0.02592131370894169,0.0026541669039576482,256
3,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.009559455647384196,-0.016933892861080567,-0.001961550639333381,256
3,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.002524941799470041,0.001200134559346969,0.0037291213115374492,256
3,stationary_full_vs_no_geo,dense_heldout,context,rho,0.07794955321049896,0.0458675847173544,0.11094843754327997,256
3,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.04046645191608539,-0.05298718154982982,-0.029007056166474185,256
3,stationary_full_vs_no_geo,dense_heldout,route,rho,-0.009437515222343224,-0.03992609254808187,0.02027877078138382,256
3,stationary_full_vs_no_geo,dense_heldout,route,stress,-0.014413394308859984,-0.027091321032055186,-0.002193350908094787,256
3,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.003789414509124068,-0.010196118545177369,0.0023889160669687097,256
3,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.0005317978635476191,-0.0005038508477090831,0.0016463129419738744,256
3,stationary_vs_legacy_route,C1_trained,context,rho,0.00998156148116479,-0.007948004552539432,0.027123403539769612,256
3,stationary_vs_legacy_route,C1_trained,context,stress,-0.00487418158899575,-0.010185923296246815,0.00042373083103944346,256
3,stationary_vs_legacy_route,C1_trained,route,rho,-0.004072079808236385,-0.02270308641866425,0.017207640909164754,256
3,stationary_vs_legacy_route,C1_trained,route,stress,-0.003160048435973601,-0.010226483737358464,0.0037176272399719566,256
