method,metric,mean,seed_ci_low,seed_ci_high,seed_sd,seed_count
r0_mlp,nominal_route_rho,0.31114861133753924,0.23593685984399398,0.3863603628310845,0.06057335285741486,5
r0_mlp,functional_route_rho,0.309621084814352,0.23533015441061447,0.3839120152180896,0.05983175038594125,5
r0_mlp,mean_heldout_accuracy,0.5691666666666666,0.5606281447548651,0.5777051885784681,0.006876676721040119,5
r0_mlp,final_trained_accuracy,0.63025,0.6198513535862389,0.6406486464137611,0.008374766787797739,5
r0_mlp,mean_forgetting,0.0979375,0.08970360955623254,0.10617139044376746,0.006631335414153017,5
r1_linear,nominal_route_rho,0.40628034117951817,0.3426597298600779,0.4699009524989584,0.051238186346286914,5
r1_linear,functional_route_rho,0.3780161345495691,0.31076445507771744,0.4452678140214208,0.05416254282087605,5
r1_linear,mean_heldout_accuracy,0.5658333333333334,0.5625885358241987,0.5690781308424682,0.002613265355062902,5
r1_linear,final_trained_accuracy,0.628375,0.6239645249712306,0.6327854750287695,0.0035520680595957097,5
r1_linear,mean_forgetting,0.10118750000000001,0.09553517922562388,0.10683982077437615,0.0045522144336575514,5
r2_prototype_energy,nominal_route_rho,0.3995385661213941,0.30393979953187505,0.49513733271091315,0.07699246070419653,5
r2_prototype_energy,functional_route_rho,0.356044781008641,0.2943251703626608,0.4177643916546212,0.04970717580220245,5
r2_prototype_energy,mean_heldout_accuracy,0.5668229166666667,0.5536117837699664,0.580034049563367,0.010639861440624811,5
r2_prototype_energy,final_trained_accuracy,0.6280000000000001,0.6082746110952415,0.6477253889047587,0.015886253393264212,5
r2_prototype_energy,mean_forgetting,0.0929375,0.08095402512240145,0.10492097487759856,0.00965114144803607,5
