model_seed,method,total_forward_images,total_optimizer_steps,total_wall_seconds
0,r0_mlp,15360,80,15.358748014000412
0,r1_linear,15360,80,17.370302952000202
0,r2_prototype_energy,15360,80,13.826591876998464
1,r0_mlp,15360,80,11.782355570999243
1,r1_linear,15360,80,11.89836070199999
1,r2_prototype_energy,15360,80,12.27786916399873
2,r0_mlp,15360,80,14.31212589399911
2,r1_linear,15360,80,12.913198719998945
2,r2_prototype_energy,15360,80,14.247975783999209
3,r0_mlp,15360,80,13.732232504000422
3,r1_linear,15360,80,13.868085873000382
3,r2_prototype_energy,15360,80,13.438453302000198
4,r0_mlp,15360,80,11.467687245000889
4,r1_linear,15360,80,11.857851633000791
4,r2_prototype_energy,15360,80,10.370432329998948
