model_seed,method,nominal_route_rho,functional_route_rho,mean_heldout_accuracy,final_trained_accuracy,router_parameters,mean_forgetting
0,r0_mlp,0.28258247488766247,0.291590709975639,0.5677083333333334,0.62,4740,0.10656249999999998
0,r1_linear,0.4087772213351051,0.388476413705751,0.5682291666666667,0.6234375,20,0.1046875
0,r2_prototype_energy,0.33278823935262564,0.30635944820697436,0.5716145833333334,0.6212500000000001,24,0.093125
1,r0_mlp,0.4060757439989093,0.41249175267237437,0.5601562499999999,0.6228125,4740,0.100625
1,r1_linear,0.459390193780892,0.4125811397901161,0.5632812500000001,0.6265625,20,0.10437500000000002
1,r2_prototype_energy,0.49279118011040157,0.4215893748780927,0.55078125,0.6040625000000001,24,0.10218749999999999
2,r0_mlp,0.33525135104151005,0.3072235236784782,0.5776041666666667,0.6390625,4740,0.093125
2,r1_linear,0.3331159921176788,0.28982283142474613,0.5656249999999999,0.6321875,20,0.1
2,r2_prototype_energy,0.4342128222836255,0.3930450886125528,0.5677083333333334,0.63375,24,0.10187499999999998
3,r0_mlp,0.27531232264466476,0.27036623546295324,0.5661458333333332,0.6334375,4740,0.09968750000000001
3,r1_linear,0.4479784384158588,0.42892905043488955,0.5632812500000001,0.6284375000000001,20,0.103125
3,r2_prototype_energy,0.43013081057341784,0.34288898365744613,0.5796875,0.6453125,24,0.079375
4,r0_mlp,0.2565211641149496,0.2664332022823152,0.57421875,0.6359375,4740,0.08968749999999999
4,r1_linear,0.38213986024805635,0.370271237392343,0.56875,0.63125,20,0.09374999999999997
4,r2_prototype_energy,0.3077697782869001,0.31634100968813916,0.5643229166666667,0.635625,24,0.08812500000000002
