model_seed,method,total_forward_images,total_optimizer_steps,total_wall_seconds
0,r0_mlp,15360,80,12.73360908199902
0,r1_linear,15360,80,12.238368869000624
0,r2_prototype_energy,15360,80,13.561329934998867
0,r3_hybrid_energy,15360,80,12.20658946900221
1,r0_mlp,15360,80,11.918443821998153
1,r1_linear,15360,80,12.784867634001785
1,r2_prototype_energy,15360,80,12.997038710000197
1,r3_hybrid_energy,15360,80,13.423044800001662
2,r0_mlp,15360,80,13.107151606001935
2,r1_linear,15360,80,12.077144118000433
2,r2_prototype_energy,15360,80,11.900371477999215
2,r3_hybrid_energy,15360,80,14.043371597999794
3,r0_mlp,15360,80,11.085431028997846
3,r1_linear,15360,80,13.316761924001185
3,r2_prototype_energy,15360,80,12.524251339998955
3,r3_hybrid_energy,15360,80,13.041200262998245
4,r0_mlp,15360,80,13.082667333004792
4,r1_linear,15360,80,11.315081268996437
4,r2_prototype_energy,15360,80,13.305223737999768
4,r3_hybrid_energy,15360,80,13.778383495999151
