model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
0,r0_mlp,trained,nominal,rho,0.3846327676428547,0.3617350159455529,0.4081045832740982,640
0,r0_mlp,trained,nominal,stress,0.46477056220244767,0.45602677872543845,0.47387082358104515,640
0,r0_mlp,trained,functional,rho,0.35915743908644904,0.33554558363741005,0.38231987597128625,640
0,r0_mlp,trained,functional,stress,0.5231897346382377,0.5132619416384737,0.5329568160483564,640
0,r0_mlp,heldout_dense,nominal,rho,0.27280326444848485,0.2516009859752292,0.29441899253900033,640
0,r0_mlp,heldout_dense,nominal,stress,0.5259351803853398,0.518002030716726,0.534244692464144,640
0,r0_mlp,heldout_dense,functional,rho,0.24968927678484673,0.22886608384670531,0.27015910321790726,640
0,r0_mlp,heldout_dense,functional,stress,0.5846406710894309,0.5758794179938708,0.5936327861779007,640
0,r1_linear,trained,nominal,rho,0.3448753640517078,0.32498871673455726,0.36546965938431397,640
0,r1_linear,trained,nominal,stress,0.513299766320024,0.5051182698757141,0.5214431495843366,640
0,r1_linear,trained,functional,rho,0.3330762645097936,0.3129035784158694,0.35471018168124646,640
0,r1_linear,trained,functional,stress,0.561506836610371,0.5528252649188212,0.5702614597553981,640
0,r1_linear,heldout_dense,nominal,rho,0.24090878552302084,0.22187130014072837,0.2601327879046312,640
0,r1_linear,heldout_dense,nominal,stress,0.5698034111459052,0.562555087974543,0.5772425878426612,640
0,r1_linear,heldout_dense,functional,rho,0.23315417377849396,0.21470873038167643,0.2524473365770008,640
0,r1_linear,heldout_dense,functional,stress,0.609481274928645,0.6020802177930767,0.6169557536073094,640
0,r2_prototype_energy,trained,nominal,rho,0.38839695848998057,0.364936564546004,0.4117793870034822,640
0,r2_prototype_energy,trained,nominal,stress,0.46761730350711944,0.4591531877452978,0.47600164144449353,640
0,r2_prototype_energy,trained,functional,rho,0.329222686544926,0.30654442988118996,0.3513822496282104,640
0,r2_prototype_energy,trained,functional,stress,0.47760168218246724,0.46996371035057555,0.48545499376393725,640
0,r2_prototype_energy,heldout_dense,nominal,rho,0.2625415875914576,0.24093753032129347,0.2851374484651791,640
0,r2_prototype_energy,heldout_dense,nominal,stress,0.5298692484514473,0.5221919593830089,0.5381857463558942,640
0,r2_prototype_energy,heldout_dense,functional,rho,0.22885470119475776,0.20774650970532169,0.24993839836987616,640
0,r2_prototype_energy,heldout_dense,functional,stress,0.5309363700638462,0.5233862636472214,0.5384177551531506,640
0,r3_hybrid_energy,trained,nominal,rho,0.3810374191292411,0.35762469831472693,0.4046169958968733,640
0,r3_hybrid_energy,trained,nominal,stress,0.47057535816722246,0.4621728272610351,0.4791124490203821,640
0,r3_hybrid_energy,trained,functional,rho,0.3462459665237483,0.3215048538205716,0.3716003741736532,640
0,r3_hybrid_energy,trained,functional,stress,0.47971799333466797,0.47164319396909177,0.48794130679505354,640
0,r3_hybrid_energy,heldout_dense,nominal,rho,0.25780409903404317,0.2366803464508055,0.2801028582835131,640
0,r3_hybrid_energy,heldout_dense,nominal,stress,0.531073137514707,0.5232186550271067,0.5392490443533481,640
0,r3_hybrid_energy,heldout_dense,functional,rho,0.22696143478221434,0.20455497259184818,0.25012945402155295,640
0,r3_hybrid_energy,heldout_dense,functional,stress,0.5377414953156727,0.529955389245147,0.5455596292103961,640
1,r0_mlp,trained,nominal,rho,0.35866084398788367,0.33554831491045223,0.3825075889185441,640
1,r0_mlp,trained,nominal,stress,0.500024056919386,0.4900927080887769,0.5102629189738953,640
1,r0_mlp,trained,functional,rho,0.3484011892515222,0.32579171100893756,0.37208058163396607,640
1,r0_mlp,trained,functional,stress,0.5277972594336957,0.5175340728017781,0.538073969721565,640
1,r0_mlp,heldout_dense,nominal,rho,0.286868764234823,0.2651863251588427,0.3078280447016286,640
1,r0_mlp,heldout_dense,nominal,stress,0.551097893304781,0.5415211171074381,0.5604568176806851,640
1,r0_mlp,heldout_dense,functional,rho,0.27809403634107177,0.2565380311522305,0.2996921141168584,640
1,r0_mlp,heldout_dense,functional,stress,0.5736067513037115,0.5640003456756927,0.5830966625988042,640
1,r1_linear,trained,nominal,rho,0.49190724083495524,0.4653279813744386,0.5183067328697911,640
1,r1_linear,trained,nominal,stress,0.4182977572674931,0.4080541131664947,0.4289179868581683,640
1,r1_linear,trained,functional,rho,0.463194112235903,0.4361053462042583,0.48974456918070275,640
1,r1_linear,trained,functional,stress,0.4606198083828058,0.4496558580817657,0.47122648307405957,640
1,r1_linear,heldout_dense,nominal,rho,0.3762355496013292,0.3524487607570692,0.39853719053483655,640
1,r1_linear,heldout_dense,nominal,stress,0.4892488590955738,0.4808930483725476,0.49752053630612486,640
1,r1_linear,heldout_dense,functional,rho,0.3582048525795883,0.3348680386977615,0.3804893474930733,640
1,r1_linear,heldout_dense,functional,stress,0.5245444896919943,0.5153778111354786,0.5333511375218253,640
1,r2_prototype_energy,trained,nominal,rho,0.5022066231792018,0.4742954956643329,0.5295017244743006,640
1,r2_prototype_energy,trained,nominal,stress,0.43451766453209667,0.42468231938588114,0.44484895335768265,640
1,r2_prototype_energy,trained,functional,rho,0.46634252516080765,0.4400701614712046,0.49280458817806283,640
1,r2_prototype_energy,trained,functional,stress,0.45841147828036516,0.44842176822562446,0.4689708480618123,640
1,r2_prototype_energy,heldout_dense,nominal,rho,0.35614444849287824,0.3315549665600125,0.3814780532862904,640
1,r2_prototype_energy,heldout_dense,nominal,stress,0.5057156085295016,0.49635039194247677,0.5150126476880612,640
1,r2_prototype_energy,heldout_dense,functional,rho,0.32803650239250093,0.3043314092907,0.3525464498459356,640
1,r2_prototype_energy,heldout_dense,functional,stress,0.5263984866027555,0.516789281095241,0.5355701570050174,640
1,r3_hybrid_energy,trained,nominal,rho,0.4866036051822766,0.4596769774503135,0.5139808929661878,640
1,r3_hybrid_energy,trained,nominal,stress,0.44647588606158095,0.43654806341167895,0.45691714644278375,640
1,r3_hybrid_energy,trained,functional,rho,0.479402976253078,0.45293048473875297,0.506758910447751,640
1,r3_hybrid_energy,trained,functional,stress,0.4692952032961218,0.45888576248633883,0.48027507063649044,640
1,r3_hybrid_energy,heldout_dense,nominal,rho,0.3500295149656073,0.3250641893921693,0.3751948294112379,640
1,r3_hybrid_energy,heldout_dense,nominal,stress,0.5163100077840496,0.5066886679896244,0.5260041987089656,640
1,r3_hybrid_energy,heldout_dense,functional,rho,0.33719737594725785,0.31221980321666115,0.3621423136061315,640
1,r3_hybrid_energy,heldout_dense,functional,stress,0.5382708545660908,0.5284378841809951,0.5484291581397363,640
2,r0_mlp,trained,nominal,rho,0.35787622373215033,0.3346055291158257,0.38271119290895583,640
2,r0_mlp,trained,nominal,stress,0.48344323486681623,0.47362544105183646,0.4930100403801989,640
2,r0_mlp,trained,functional,rho,0.32969941783954876,0.3045354544099436,0.3539906153834252,640
2,r0_mlp,trained,functional,stress,0.5215499006681649,0.5112754018187557,0.5313977773533121,640
2,r0_mlp,heldout_dense,nominal,rho,0.25121945100868315,0.22995550449702798,0.27308098674758513,640
2,r0_mlp,heldout_dense,nominal,stress,0.5469292387396522,0.538031913686957,0.5559932650293051,640
2,r0_mlp,heldout_dense,functional,rho,0.22780000483708518,0.2063743238088333,0.24940110838111104,640
2,r0_mlp,heldout_dense,functional,stress,0.5827992476364363,0.5736405874770583,0.5920792900570082,640
2,r1_linear,trained,nominal,rho,0.42651559825586166,0.40185443736355386,0.45103299486713455,640
2,r1_linear,trained,nominal,stress,0.43376196524141075,0.42470482037412227,0.4427161974766647,640
2,r1_linear,trained,functional,rho,0.4268731467268287,0.4012778904541195,0.45110822902456726,640
2,r1_linear,trained,functional,stress,0.46850960967941535,0.45802604247161094,0.47835606970070693,640
2,r1_linear,heldout_dense,nominal,rho,0.2907302208448809,0.269654592385067,0.3115306484791272,640
2,r1_linear,heldout_dense,nominal,stress,0.509718695648903,0.5015025479963868,0.5176755192688873,640
2,r1_linear,heldout_dense,functional,rho,0.2858342396654119,0.2644576913499971,0.3072171276857089,640
2,r1_linear,heldout_dense,functional,stress,0.5451089736230084,0.5358523136105072,0.5538002479258752,640
2,r2_prototype_energy,trained,nominal,rho,0.4412942683891684,0.41624402523713466,0.46602569748792305,640
2,r2_prototype_energy,trained,nominal,stress,0.43965842352046075,0.4294215748986537,0.449448833429679,640
2,r2_prototype_energy,trained,functional,rho,0.38044150501096263,0.35606439651503435,0.4032699816920146,640
2,r2_prototype_energy,trained,functional,stress,0.46829339048672747,0.45823140482895586,0.4781607324964487,640
2,r2_prototype_energy,heldout_dense,nominal,rho,0.2989920089799826,0.2773942914147006,0.320040981862451,640
2,r2_prototype_energy,heldout_dense,nominal,stress,0.5173412480791766,0.5079684629925324,0.5261414932861695,640
2,r2_prototype_energy,heldout_dense,functional,rho,0.25460254806853994,0.23379080982444694,0.27487101682949017,640
2,r2_prototype_energy,heldout_dense,functional,stress,0.543612096697309,0.5343007231050225,0.552423454059965,640
2,r3_hybrid_energy,trained,nominal,rho,0.41387228704638623,0.38907133463383237,0.43814660035691144,640
2,r3_hybrid_energy,trained,nominal,stress,0.4681293153592126,0.4589495218026831,0.47718442099364194,640
2,r3_hybrid_energy,trained,functional,rho,0.3817127884632901,0.35476704182003227,0.4079940908646674,640
2,r3_hybrid_energy,trained,functional,stress,0.4968770232582346,0.48705776412322965,0.5067232227816808,640
2,r3_hybrid_energy,heldout_dense,nominal,rho,0.26960171348298156,0.24765567235968408,0.29082510029181086,640
2,r3_hybrid_energy,heldout_dense,nominal,stress,0.5397013462749477,0.531000823240286,0.5479749913362256,640
2,r3_hybrid_energy,heldout_dense,functional,rho,0.24682200116767677,0.22485103347745616,0.268123985908625,640
2,r3_hybrid_energy,heldout_dense,functional,stress,0.567178480328238,0.5580988849835822,0.5759753506144171,640
3,r0_mlp,trained,nominal,rho,0.33979023024239796,0.31480752402376916,0.3640183602087566,640
3,r0_mlp,trained,nominal,stress,0.49732126247361297,0.48667029871038064,0.5074585308592409,640
3,r0_mlp,trained,functional,rho,0.33691991057268983,0.31171199847686165,0.36184054240399793,640
3,r0_mlp,trained,functional,stress,0.5290455113203901,0.5177964471323344,0.5399090012741858,640
3,r0_mlp,heldout_dense,nominal,rho,0.22446013303778872,0.20484984091097072,0.24424944978542754,640
3,r0_mlp,heldout_dense,nominal,stress,0.572888644915905,0.5654779301829268,0.5801031926448484,640
3,r0_mlp,heldout_dense,functional,rho,0.22242566410741488,0.20244716480272362,0.24299073019791012,640
3,r0_mlp,heldout_dense,functional,stress,0.6009257314933435,0.5931933398942183,0.6082689540520062,640
