model_seed,method,router_parameters,mean_assignment_distance,min_cluster_count,prototype_weight,directional_weight
0,r0_mlp,4740,,,,
0,r1_linear,20,,,,
0,r2_prototype_energy,24,0.2511824667453766,321.0,,
0,r3_hybrid_energy,42,0.2510855197906494,322.0,1.0,1.0
1,r0_mlp,4740,,,,
1,r1_linear,20,,,,
1,r2_prototype_energy,24,0.2895743250846863,377.0,,
1,r3_hybrid_energy,42,0.27985113859176636,599.0,1.0,1.0
2,r0_mlp,4740,,,,
2,r1_linear,20,,,,
2,r2_prototype_energy,24,0.2833673655986786,418.0,,
2,r3_hybrid_energy,42,0.2776426374912262,431.0,1.0,1.0
3,r0_mlp,4740,,,,
3,r1_linear,20,,,,
3,r2_prototype_energy,24,0.2740275263786316,513.0,,
3,r3_hybrid_energy,42,0.27376723289489746,544.0,1.0,1.0
4,r0_mlp,4740,,,,
4,r1_linear,20,,,,
4,r2_prototype_energy,24,0.2596100866794586,269.0,,
4,r3_hybrid_energy,42,0.2550366222858429,256.0,1.0,1.0
