gate,passed,status
C0_context_and_common_bank_frozen,True,protocol_integrity
C0_equal_router_compute,True,protocol_integrity
C1_heldout_functional_stress_reduction,False,candidate_only
C1_heldout_functional_order,False,candidate_only
C1_local_continuity_non_degradation,False,candidate_only
C2_route_swap_order,True,candidate_only
C4_functional_causal_specificity,False,candidate_only
C4_identity_preservation,True,candidate_only
C6_operational_non_degradation,False,equivalence_not_superiority
GEO_SPD_covariance_adds_value,True,diagnostic_candidate_only
C3_mature_host_specialization,False,not_tested_hosts_frozen
C5_memory_transport,False,not_implemented
operational_superiority,False,not_preregistered_as_primary
