method,stage,angle,angle_type,accuracy,nll,curriculum_name
context_bottleneck_geo,0,-60.0,train,0.51953125,1.4638248682022095,cb_a
context_bottleneck_geo,0,-30.0,train,0.328125,1.9064521789550781,cb_a
context_bottleneck_geo,0,0.0,train,0.14453125,2.320896625518799,cb_a
context_bottleneck_geo,0,30.0,train,0.09375,2.375967264175415,cb_a
context_bottleneck_geo,0,60.0,train,0.125,2.370950222015381,cb_a
context_bottleneck_geo,0,-45.0,interpolation,0.453125,1.5882014036178589,cb_a
context_bottleneck_geo,0,-15.0,interpolation,0.19140625,2.1799778938293457,cb_a
context_bottleneck_geo,0,15.0,interpolation,0.12109375,2.4015634059906006,cb_a
context_bottleneck_geo,0,45.0,interpolation,0.08984375,2.32656192779541,cb_a
context_bottleneck_geo,0,-75.0,extrapolation,0.46875,1.5592225790023804,cb_a
context_bottleneck_geo,0,75.0,extrapolation,0.125,2.423079490661621,cb_a
context_bottleneck_geo,1,-60.0,train,0.55078125,1.2395679950714111,cb_a
context_bottleneck_geo,1,-30.0,train,0.76953125,0.8352466225624084,cb_a
context_bottleneck_geo,1,0.0,train,0.6796875,0.9643055200576782,cb_a
context_bottleneck_geo,1,30.0,train,0.35546875,1.7908103466033936,cb_a
context_bottleneck_geo,1,60.0,train,0.10546875,2.6167027950286865,cb_a
context_bottleneck_geo,1,-45.0,interpolation,0.7265625,0.9360213279724121,cb_a
context_bottleneck_geo,1,-15.0,interpolation,0.78515625,0.8336163759231567,cb_a
context_bottleneck_geo,1,15.0,interpolation,0.4921875,1.3337405920028687,cb_a
context_bottleneck_geo,1,45.0,interpolation,0.1953125,2.2326581478118896,cb_a
context_bottleneck_geo,1,-75.0,extrapolation,0.40625,1.6031006574630737,cb_a
context_bottleneck_geo,1,75.0,extrapolation,0.09375,2.839757204055786,cb_a
context_bottleneck_geo,2,-60.0,train,0.33984375,2.0085856914520264,cb_a
context_bottleneck_geo,2,-30.0,train,0.71875,0.8618168234825134,cb_a
context_bottleneck_geo,2,0.0,train,0.91015625,0.3213289976119995,cb_a
context_bottleneck_geo,2,30.0,train,0.59765625,1.289703130722046,cb_a
context_bottleneck_geo,2,60.0,train,0.1796875,2.9089081287384033,cb_a
context_bottleneck_geo,2,-45.0,interpolation,0.53515625,1.4119893312454224,cb_a
context_bottleneck_geo,2,-15.0,interpolation,0.890625,0.4013807475566864,cb_a
context_bottleneck_geo,2,15.0,interpolation,0.8125,0.6055252552032471,cb_a
context_bottleneck_geo,2,45.0,interpolation,0.3359375,2.180109977722168,cb_a
context_bottleneck_geo,2,-75.0,extrapolation,0.26171875,2.486656904220581,cb_a
context_bottleneck_geo,2,75.0,extrapolation,0.1328125,3.348876953125,cb_a
context_bottleneck_geo,3,-60.0,train,0.25390625,2.04864764213562,cb_a
context_bottleneck_geo,3,-30.0,train,0.46875,1.4310630559921265,cb_a
context_bottleneck_geo,3,0.0,train,0.765625,0.6648306250572205,cb_a
context_bottleneck_geo,3,30.0,train,0.6953125,0.953502893447876,cb_a
context_bottleneck_geo,3,60.0,train,0.51171875,1.3593589067459106,cb_a
context_bottleneck_geo,3,-45.0,interpolation,0.33984375,1.8375738859176636,cb_a
context_bottleneck_geo,3,-15.0,interpolation,0.7109375,0.8697593212127686,cb_a
context_bottleneck_geo,3,15.0,interpolation,0.765625,0.745634138584137,cb_a
context_bottleneck_geo,3,45.0,interpolation,0.58203125,1.170071005821228,cb_a
context_bottleneck_geo,3,-75.0,extrapolation,0.24609375,2.138796329498291,cb_a
context_bottleneck_geo,3,75.0,extrapolation,0.41796875,1.7006241083145142,cb_a
context_bottleneck_geo,4,-60.0,train,0.2734375,2.123286724090576,cb_a
context_bottleneck_geo,4,-30.0,train,0.5625,1.3627232313156128,cb_a
context_bottleneck_geo,4,0.0,train,0.81640625,0.5639061331748962,cb_a
context_bottleneck_geo,4,30.0,train,0.75,0.7759476900100708,cb_a
context_bottleneck_geo,4,60.0,train,0.5625,1.2350473403930664,cb_a
context_bottleneck_geo,4,-45.0,interpolation,0.37890625,1.7967838048934937,cb_a
context_bottleneck_geo,4,-15.0,interpolation,0.7421875,0.7804793119430542,cb_a
context_bottleneck_geo,4,15.0,interpolation,0.828125,0.5915870070457458,cb_a
context_bottleneck_geo,4,45.0,interpolation,0.671875,0.9824263453483582,cb_a
context_bottleneck_geo,4,-75.0,extrapolation,0.24609375,2.301290273666382,cb_a
context_bottleneck_geo,4,75.0,extrapolation,0.36328125,1.7118725776672363,cb_a
context_bottleneck_geo_cb_b,0,-60.0,train,0.328125,1.9427249431610107,cb_b
context_bottleneck_geo_cb_b,0,-30.0,train,0.7578125,1.0609441995620728,cb_b
context_bottleneck_geo_cb_b,0,0.0,train,0.76171875,0.9934673309326172,cb_b
context_bottleneck_geo_cb_b,0,30.0,train,0.359375,1.8479022979736328,cb_b
context_bottleneck_geo_cb_b,0,60.0,train,0.109375,2.655574083328247,cb_b
context_bottleneck_geo_cb_b,0,-45.0,interpolation,0.5390625,1.4604718685150146,cb_b
context_bottleneck_geo_cb_b,0,-15.0,interpolation,0.80859375,0.9191631078720093,cb_b
context_bottleneck_geo_cb_b,0,15.0,interpolation,0.5703125,1.3509869575500488,cb_b
context_bottleneck_geo_cb_b,0,45.0,interpolation,0.1875,2.345186233520508,cb_b
