method,curriculum,stage,current_angle,seen_angles,router_mode,geometry_weight,anchor_weight,source_examples,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,geo,div,curriculum_name
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],context_bottleneck,0.1,0.1,1024,1024,16,1.0779802809998955,1.9312734454870224,1.8887651041150093,0.0,0.0,0.8501666858792305,cb_a
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",context_bottleneck,0.1,0.1,1024,2048,16,1.6596945039999582,1.4965430945158005,1.2892703413963318,1.2450879663228989,0.4790055975317955,0.6972682364284992,cb_a
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",context_bottleneck,0.1,0.1,1024,3072,16,3.4524239129999614,0.6634984537959099,0.49493949115276337,1.1983661316335201,0.22704108525067568,0.5203648060560226,cb_a
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",context_bottleneck,0.1,0.1,1024,4096,16,2.878366587999949,2.231979802250862,2.0819069668650627,1.1352285631000996,0.1873621828854084,0.35627516731619835,cb_a
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",context_bottleneck,0.1,0.1,1024,5120,16,5.048803172000021,0.947303831577301,0.7821454927325249,1.3702995851635933,0.13637338392436504,0.2898207176476717,cb_a
context_bottleneck_geo_cb_b,"[-30.0, 0.0, 60.0, -60.0, 30.0]",0,-30.0,[-30.0],context_bottleneck,0.1,0.1,1024,1024,16,1.4670571139999993,1.7805708944797516,1.738239899277687,0.0,0.0,0.8466197326779366,cb_b
context_bottleneck_geo_cb_b,"[-30.0, 0.0, 60.0, -60.0, 30.0]",1,0.0,"[-30.0, 0.0]",context_bottleneck,0.1,0.1,1024,2048,16,1.7056044180001209,0.6960833948105574,0.5249404516071081,0.900624118745327,0.47997069358825684,0.6616693288087845,cb_b
context_bottleneck_geo_cb_b,"[-30.0, 0.0, 60.0, -60.0, 30.0]",2,60.0,"[-30.0, 0.0, 60.0]",context_bottleneck,0.1,0.1,1024,3072,16,2.230533037999976,2.390347935259342,2.2676072791218758,0.7456184215843678,0.2194658275693655,0.5246455948799849,cb_b
context_bottleneck_geo_cb_b,"[-30.0, 0.0, 60.0, -60.0, 30.0]",3,-60.0,"[-30.0, 0.0, 60.0, -60.0]",context_bottleneck,0.1,0.1,1024,4096,16,3.890966841000136,2.1277558133006096,1.972769856452942,1.1780711114406586,0.16374801564961672,0.4160813335329294,cb_b
context_bottleneck_geo_cb_b,"[-30.0, 0.0, 60.0, -60.0, 30.0]",4,30.0,"[-30.0, 0.0, 60.0, -60.0, 30.0]",context_bottleneck,0.1,0.1,1024,5120,16,3.481588939999938,1.1281017623841763,0.9796037264168262,1.1516022384166718,0.14029542449861765,0.3861650601029396,cb_b
context_bottleneck_geo_cb_c,"[0.0, 60.0, -60.0, -30.0, 30.0]",0,0.0,[0.0],context_bottleneck,0.1,0.1,1024,1024,16,0.9403395880001426,1.4372125528752804,1.3949336484074593,0.0,0.0,0.8455780893564224,cb_c
context_bottleneck_geo_cb_c,"[0.0, 60.0, -60.0, -30.0, 30.0]",1,60.0,"[0.0, 60.0]",context_bottleneck,0.1,0.1,1024,2048,16,2.3811816350000754,2.212437115609646,2.0830168053507805,0.4724512808024883,0.4707339722663164,0.7020363174378872,cb_c
context_bottleneck_geo_cb_c,"[0.0, 60.0, -60.0, -30.0, 30.0]",2,-60.0,"[0.0, 60.0, -60.0]",context_bottleneck,0.1,0.1,1024,3072,16,2.153550713999948,2.35913622379303,2.194408267736435,1.0955473147332668,0.23057756572961807,0.6423093862831593,cb_c
context_bottleneck_geo_cb_c,"[0.0, 60.0, -60.0, -30.0, 30.0]",3,-30.0,"[0.0, 60.0, -60.0, -30.0]",context_bottleneck,0.1,0.1,1024,4096,16,2.7572445719999905,1.1954100914299488,1.0221078544855118,1.2813754603266716,0.15658818371593952,0.5901169814169407,cb_c
context_bottleneck_geo_cb_c,"[0.0, 60.0, -60.0, -30.0, 30.0]",4,30.0,"[0.0, 60.0, -60.0, -30.0, 30.0]",context_bottleneck,0.1,0.1,1024,5120,16,4.047886938000147,1.085073508322239,0.9339965097606182,1.0976620018482208,0.15313588920980692,0.519944179803133,cb_c
context_bottleneck_geo_cb_d,"[60.0, -60.0, -30.0, 0.0, 30.0]",0,60.0,[60.0],context_bottleneck,0.1,0.1,1024,1024,16,1.0371886030000042,1.9594453200697899,1.916558861732483,0.0,0.0,0.8577288873493671,cb_d
context_bottleneck_geo_cb_d,"[60.0, -60.0, -30.0, 0.0, 30.0]",1,-60.0,"[60.0, -60.0]",context_bottleneck,0.1,0.1,1024,2048,16,1.6432815499999833,2.2455555349588394,2.034036099910736,1.290582351386547,0.4583045747131109,0.7326153740286827,cb_d
context_bottleneck_geo_cb_d,"[60.0, -60.0, -30.0, 0.0, 30.0]",2,-30.0,"[60.0, -60.0, -30.0]",context_bottleneck,0.1,0.1,1024,3072,16,2.8767251330000363,1.5364910364151,1.3415277749300003,1.4415203630924225,0.2032896215096116,0.6096450835466385,cb_d
context_bottleneck_geo_cb_d,"[60.0, -60.0, -30.0, 0.0, 30.0]",3,0.0,"[60.0, -60.0, -30.0, 0.0]",context_bottleneck,0.1,0.1,1024,4096,16,2.8619383539999035,0.6594648193567991,0.4741208739578724,1.4541725739836693,0.17792685981839895,0.44267973862588406,cb_d
context_bottleneck_geo_cb_d,"[60.0, -60.0, -30.0, 0.0, 30.0]",4,30.0,"[60.0, -60.0, -30.0, 0.0, 30.0]",context_bottleneck,0.1,0.1,1024,5120,16,4.560770989000048,0.8803947605192661,0.7194971591234207,1.2579882517457008,0.19565258268266916,0.3106703329831362,cb_d
