method,angle,best_accuracy,final_accuracy,forgetting
standard_anchor_no_geo,-60.0,0.53515625,0.3125,0.22265625
standard_anchor_no_geo,-30.0,0.7578125,0.5625,0.1953125
standard_anchor_no_geo,0.0,0.90625,0.83203125,0.07421875
standard_anchor_no_geo,30.0,0.75390625,0.75390625,0.0
standard_anchor_no_geo,60.0,0.51953125,0.515625,0.00390625
uniform_static_anchor,-60.0,0.5703125,0.26171875,0.30859375
uniform_static_anchor,-30.0,0.7578125,0.54296875,0.21484375
uniform_static_anchor,0.0,0.90625,0.8125,0.09375
uniform_static_anchor,30.0,0.7578125,0.7578125,0.0
uniform_static_anchor,60.0,0.55859375,0.55859375,0.0
context_bottleneck_no_geo,-60.0,0.546875,0.28515625,0.26171875
context_bottleneck_no_geo,-30.0,0.76953125,0.56640625,0.203125
context_bottleneck_no_geo,0.0,0.9140625,0.82421875,0.08984375
context_bottleneck_no_geo,30.0,0.76171875,0.76171875,0.0
context_bottleneck_no_geo,60.0,0.5625,0.5625,0.0
context_bottleneck_geo,-60.0,0.55078125,0.2734375,0.27734375
context_bottleneck_geo,-30.0,0.76953125,0.5625,0.20703125
context_bottleneck_geo,0.0,0.91015625,0.81640625,0.09375
context_bottleneck_geo,30.0,0.75,0.75,0.0
context_bottleneck_geo,60.0,0.5625,0.5625,0.0
sensory_bottleneck_no_geo,-60.0,0.55078125,0.26171875,0.2890625
sensory_bottleneck_no_geo,-30.0,0.76171875,0.546875,0.21484375
sensory_bottleneck_no_geo,0.0,0.91015625,0.81640625,0.09375
sensory_bottleneck_no_geo,30.0,0.75,0.75,0.0
sensory_bottleneck_no_geo,60.0,0.54296875,0.54296875,0.0
sensory_bottleneck_geo,-60.0,0.5546875,0.27734375,0.27734375
sensory_bottleneck_geo,-30.0,0.765625,0.56640625,0.19921875
sensory_bottleneck_geo,0.0,0.91015625,0.83203125,0.078125
sensory_bottleneck_geo,30.0,0.75,0.75,0.0
sensory_bottleneck_geo,60.0,0.5390625,0.5390625,0.0
