method,angle,source_index,host,route_mass,ablation_impact
standard_anchor_no_geo,-60.0,6145,0,0.05377048999071121,0.1037607192993164
standard_anchor_no_geo,-60.0,3617,0,0.020427528768777847,-0.007188081741333008
standard_anchor_no_geo,-60.0,9535,0,0.03200339525938034,0.09077179431915283
standard_anchor_no_geo,-60.0,9553,0,0.01405952125787735,0.008773207664489746
standard_anchor_no_geo,-60.0,1507,0,0.01823556236922741,0.02514481544494629
standard_anchor_no_geo,-60.0,2536,0,0.01413913443684578,0.0013837367296218872
standard_anchor_no_geo,-60.0,8172,0,0.028213895857334137,-0.0013932585716247559
standard_anchor_no_geo,-60.0,8319,0,0.03666941821575165,0.004364371299743652
standard_anchor_no_geo,-60.0,350,0,0.017591802403330803,-0.0020685791969299316
standard_anchor_no_geo,-60.0,8329,0,0.019022652879357338,-0.013089537620544434
standard_anchor_no_geo,-60.0,2092,0,0.021901888772845268,0.02856677770614624
standard_anchor_no_geo,-60.0,8170,0,0.024010809138417244,0.0015194416046142578
standard_anchor_no_geo,-60.0,5866,0,0.07579683512449265,0.0508461594581604
standard_anchor_no_geo,-60.0,1043,0,0.033256854861974716,-0.012208402156829834
standard_anchor_no_geo,-60.0,4124,0,0.034816924482584,0.06312727928161621
standard_anchor_no_geo,-60.0,870,0,0.015907641500234604,-0.00638890266418457
standard_anchor_no_geo,-60.0,2415,0,0.023953069001436234,0.04206514358520508
standard_anchor_no_geo,-60.0,9970,0,0.029312025755643845,0.010667562484741211
standard_anchor_no_geo,-60.0,7839,0,0.01029280200600624,0.014876365661621094
standard_anchor_no_geo,-60.0,7662,0,0.027732964605093002,-0.012098908424377441
standard_anchor_no_geo,-60.0,3554,0,0.025429444387555122,0.008462786674499512
standard_anchor_no_geo,-60.0,132,0,0.011190718971192837,0.006789207458496094
standard_anchor_no_geo,-60.0,346,0,0.04135541245341301,-0.05934715270996094
standard_anchor_no_geo,-60.0,8631,0,0.05463149771094322,0.06393814086914062
standard_anchor_no_geo,-60.0,1908,0,0.015107900835573673,-0.01874089241027832
standard_anchor_no_geo,-60.0,7298,0,0.03984356299042702,-0.00025153160095214844
standard_anchor_no_geo,-60.0,4404,0,0.010031728073954582,0.0016269087791442871
standard_anchor_no_geo,-60.0,6215,0,0.02991645596921444,0.0017940998077392578
standard_anchor_no_geo,-60.0,7557,0,0.019581474363803864,0.007574141025543213
standard_anchor_no_geo,-60.0,8505,0,0.04521763697266579,0.12235641479492188
