method,stage,angle,angle_type,accuracy,nll
standard_anchor_no_geo,4,-45.0,interpolation,0.40234375,1.7521978616714478
standard_anchor_no_geo,4,-15.0,interpolation,0.7421875,0.7577906847000122
standard_anchor_no_geo,4,15.0,interpolation,0.85546875,0.5449197888374329
standard_anchor_no_geo,4,45.0,interpolation,0.671875,0.9660287499427795
uniform_static_anchor,4,-45.0,interpolation,0.3359375,1.940191626548767
uniform_static_anchor,4,-15.0,interpolation,0.7265625,0.8312937021255493
uniform_static_anchor,4,15.0,interpolation,0.8125,0.6117371320724487
uniform_static_anchor,4,45.0,interpolation,0.671875,0.9892340302467346
context_bottleneck_no_geo,4,-45.0,interpolation,0.38671875,1.7740449905395508
context_bottleneck_no_geo,4,-15.0,interpolation,0.74609375,0.7699283957481384
context_bottleneck_no_geo,4,15.0,interpolation,0.8359375,0.5791577100753784
context_bottleneck_no_geo,4,45.0,interpolation,0.6640625,0.9724237322807312
context_bottleneck_geo,4,-45.0,interpolation,0.37890625,1.7967838048934937
context_bottleneck_geo,4,-15.0,interpolation,0.7421875,0.7804793119430542
context_bottleneck_geo,4,15.0,interpolation,0.828125,0.5915870070457458
context_bottleneck_geo,4,45.0,interpolation,0.671875,0.9824263453483582
sensory_bottleneck_no_geo,4,-45.0,interpolation,0.36328125,1.8008559942245483
sensory_bottleneck_no_geo,4,-15.0,interpolation,0.7421875,0.7700686454772949
sensory_bottleneck_no_geo,4,15.0,interpolation,0.82421875,0.561725378036499
sensory_bottleneck_no_geo,4,45.0,interpolation,0.6796875,0.9724202156066895
sensory_bottleneck_geo,4,-45.0,interpolation,0.3671875,1.7347952127456665
sensory_bottleneck_geo,4,-15.0,interpolation,0.75,0.7341526746749878
sensory_bottleneck_geo,4,15.0,interpolation,0.859375,0.547824501991272
sensory_bottleneck_geo,4,45.0,interpolation,0.68359375,0.9791415333747864
