method,curriculum,stage,current_angle,seen_angles,router_mode,geometry_weight,anchor_weight,source_examples,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,geo,div
standard_anchor_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],standard,0.0,0.1,1024,1024,16,1.586092205,1.9211170822381973,1.878751315176487,0.0,0.0,0.8473155274987221
standard_anchor_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",standard,0.0,0.1,1024,2048,16,1.736889182999903,1.4058288782835007,1.2491325326263905,1.2344945669174194,0.0,0.6649376414716244
standard_anchor_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",standard,0.0,0.1,1024,3072,16,2.25845936099995,0.618205189704895,0.47744462080299854,1.185258112847805,0.0,0.4446949604898691
standard_anchor_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",standard,0.0,0.1,1024,4096,16,4.728555164999989,2.19922237098217,2.071784995496273,1.161433082073927,0.0,0.2258810242637992
standard_anchor_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",standard,0.0,0.1,1024,5120,16,4.413824797000075,0.9253872707486153,0.7784536685794592,1.3971965163946152,0.0,0.14427922759205103
uniform_static_anchor,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],uniform_static,0.0,0.1,1024,1024,16,1.4487611480000169,1.9321686252951622,1.8896625936031342,0.0,0.0,0.8501204960048199
uniform_static_anchor,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",uniform_static,0.0,0.1,1024,2048,16,3.2230881659999113,1.4652309715747833,1.3055654466152191,1.2462653145194054,0.0,0.7007800303399563
uniform_static_anchor,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",uniform_static,0.0,0.1,1024,3072,16,2.7083794469999702,0.6651179865002632,0.5215993961319327,1.1548481360077858,0.0,0.560675447806716
uniform_static_anchor,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",uniform_static,0.0,0.1,1024,4096,16,2.8315311650000012,2.2041039243340492,2.0687628090381622,1.1420136988162994,0.0,0.42279520817101
uniform_static_anchor,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",uniform_static,0.0,0.1,1024,5120,16,5.0840482930000235,0.9475953616201878,0.7849881686270237,1.4212532564997673,0.0,0.40963704884052277
context_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],context_bottleneck,0.0,0.1,1024,1024,16,1.0888160190000917,1.9312734454870224,1.8887651041150093,0.0,0.0,0.8501666858792305
context_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",context_bottleneck,0.0,0.1,1024,2048,16,1.8205770209999628,1.4490128345787525,1.2896800860762596,1.2446489036083221,0.0,0.697357252240181
context_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",context_bottleneck,0.0,0.1,1024,3072,16,2.803873603999932,0.6426064558327198,0.49694371689110994,1.1951429545879364,0.0,0.5229687485843897
context_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",context_bottleneck,0.0,0.1,1024,4096,16,2.8924213830000554,2.2091834098100662,2.0767404958605766,1.1452807486057281,0.0,0.3582971077412367
context_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",context_bottleneck,0.0,0.1,1024,5120,16,4.951871414000038,0.932106364518404,0.7801193483173847,1.3698567524552345,0.0,0.3000269643962383
context_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],context_bottleneck,0.1,0.1,1024,1024,16,1.0779802809998955,1.9312734454870224,1.8887651041150093,0.0,0.0,0.8501666858792305
