method,stage,angle,angle_type,accuracy,nll
standard_anchor_no_geo,0,-60.0,train,0.5234375,1.4420157670974731
standard_anchor_no_geo,0,-30.0,train,0.34375,1.8828966617584229
standard_anchor_no_geo,0,0.0,train,0.16015625,2.3130223751068115
standard_anchor_no_geo,0,30.0,train,0.0859375,2.3621482849121094
standard_anchor_no_geo,0,60.0,train,0.125,2.3588926792144775
standard_anchor_no_geo,0,-45.0,interpolation,0.48046875,1.5596848726272583
standard_anchor_no_geo,0,-15.0,interpolation,0.22265625,2.1669225692749023
standard_anchor_no_geo,0,15.0,interpolation,0.1171875,2.393880844116211
standard_anchor_no_geo,0,45.0,interpolation,0.08984375,2.3138716220855713
standard_anchor_no_geo,0,-75.0,extrapolation,0.46484375,1.540438175201416
standard_anchor_no_geo,0,75.0,extrapolation,0.1328125,2.4142305850982666
standard_anchor_no_geo,1,-60.0,train,0.53515625,1.2654085159301758
standard_anchor_no_geo,1,-30.0,train,0.7578125,0.8148714900016785
standard_anchor_no_geo,1,0.0,train,0.68359375,0.9422818422317505
standard_anchor_no_geo,1,30.0,train,0.33203125,1.809004783630371
standard_anchor_no_geo,1,60.0,train,0.09765625,2.67071533203125
standard_anchor_no_geo,1,-45.0,interpolation,0.71484375,0.9307820200920105
standard_anchor_no_geo,1,-15.0,interpolation,0.765625,0.8078605532646179
standard_anchor_no_geo,1,15.0,interpolation,0.48828125,1.3303533792495728
standard_anchor_no_geo,1,45.0,interpolation,0.1875,2.266162395477295
standard_anchor_no_geo,1,-75.0,extrapolation,0.37890625,1.6417624950408936
standard_anchor_no_geo,1,75.0,extrapolation,0.1015625,2.9194490909576416
standard_anchor_no_geo,2,-60.0,train,0.34375,2.0544207096099854
standard_anchor_no_geo,2,-30.0,train,0.7265625,0.8681448101997375
standard_anchor_no_geo,2,0.0,train,0.90625,0.3159060478210449
standard_anchor_no_geo,2,30.0,train,0.59765625,1.284448504447937
standard_anchor_no_geo,2,60.0,train,0.203125,2.896167039871216
standard_anchor_no_geo,2,-45.0,interpolation,0.53515625,1.4298033714294434
standard_anchor_no_geo,2,-15.0,interpolation,0.89453125,0.39616233110427856
standard_anchor_no_geo,2,15.0,interpolation,0.83203125,0.6038556694984436
standard_anchor_no_geo,2,45.0,interpolation,0.36328125,2.1672558784484863
standard_anchor_no_geo,2,-75.0,extrapolation,0.26953125,2.4844930171966553
standard_anchor_no_geo,2,75.0,extrapolation,0.13671875,3.3886711597442627
standard_anchor_no_geo,3,-60.0,train,0.2734375,2.1351051330566406
standard_anchor_no_geo,3,-30.0,train,0.4765625,1.509300947189331
standard_anchor_no_geo,3,0.0,train,0.80078125,0.6820163130760193
standard_anchor_no_geo,3,30.0,train,0.6953125,0.9791661500930786
standard_anchor_no_geo,3,60.0,train,0.51953125,1.3480656147003174
standard_anchor_no_geo,3,-45.0,interpolation,0.3359375,1.9093512296676636
standard_anchor_no_geo,3,-15.0,interpolation,0.70703125,0.9239382743835449
standard_anchor_no_geo,3,15.0,interpolation,0.78125,0.7596875429153442
standard_anchor_no_geo,3,45.0,interpolation,0.58984375,1.1822162866592407
standard_anchor_no_geo,3,-75.0,extrapolation,0.2578125,2.245898485183716
standard_anchor_no_geo,3,75.0,extrapolation,0.390625,1.6951346397399902
standard_anchor_no_geo,4,-60.0,train,0.3125,2.06834077835083
standard_anchor_no_geo,4,-30.0,train,0.5625,1.3381781578063965
standard_anchor_no_geo,4,0.0,train,0.83203125,0.5229631662368774
standard_anchor_no_geo,4,30.0,train,0.75390625,0.7378733158111572
standard_anchor_no_geo,4,60.0,train,0.515625,1.2426111698150635
standard_anchor_no_geo,4,-45.0,interpolation,0.40234375,1.7521978616714478
standard_anchor_no_geo,4,-15.0,interpolation,0.7421875,0.7577906847000122
standard_anchor_no_geo,4,15.0,interpolation,0.85546875,0.5449197888374329
standard_anchor_no_geo,4,45.0,interpolation,0.671875,0.9660287499427795
standard_anchor_no_geo,4,-75.0,extrapolation,0.23828125,2.2671492099761963
standard_anchor_no_geo,4,75.0,extrapolation,0.33203125,1.7604659795761108
uniform_static_anchor,0,-60.0,train,0.515625,1.4698410034179688
uniform_static_anchor,0,-30.0,train,0.328125,1.9136366844177246
