method,space,mae,rmse,r2
cb_d2_no_geo,context,27.28766585354011,32.121688557624715,0.08284188818396554
cb_d2_no_geo,route,27.9393097899154,32.3058319575582,0.07229619691556566
cb_d2_route_geo,context,27.948240374157287,32.1929248366625,0.07876941374310986
cb_d2_route_geo,route,28.185003977024955,32.6117897426642,0.05464103980467738
cb_d2_context_geo,context,29.90032853879348,33.562112138760845,-0.001258107746451742
cb_d2_context_geo,route,29.082188968481255,32.99517010855976,0.03228333289529273
cb_d2_route_context_geo,context,29.74866343822074,33.471859870348545,0.00411964161755618
cb_d2_route_context_geo,route,29.052776431807523,32.961563066639414,0.034253653514624616
cb_d2_full_alignment,context,27.45825774646041,32.005657406012304,0.08945590578575102
cb_d2_full_alignment,route,27.990297285472884,32.44606031495494,0.06422504003404983
cb_d4_no_geo,context,28.99425846359476,33.686853886004975,-0.00871477754404304
cb_d4_no_geo,route,29.612871853976234,33.75151155624881,-0.012590695405864105
cb_d4_full_alignment,context,22.687285730371634,28.045406062555298,0.30084906558789926
cb_d4_full_alignment,route,22.97004945362734,28.71982230953663,0.2668193835632373
