contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
route_geometry_effect_d2,C1_trained,context,rho,-0.0649298091374277,-0.11078850425832393,-0.018246145409039675,256
route_geometry_effect_d2,C1_trained,context,stress,0.01529149260112496,-0.004665898036364085,0.03568218083569444,256
route_geometry_effect_d2,C1_trained,route,rho,-0.057207755354735546,-0.10261765265530327,-0.005561244360059423,256
route_geometry_effect_d2,C1_trained,route,stress,-0.02012556047470662,-0.04102550950799245,-0.001551479112670568,256
route_geometry_effect_d2,C1_trained,synthesis,rho,0.0019367208844051085,-0.002831833549569267,0.007550728473687095,256
route_geometry_effect_d2,C1_trained,synthesis,stress,-0.0007952019137470856,-0.0015564640746636087,-8.92418515364913e-05,256
route_geometry_effect_d2,C2_interpolation,context,rho,-0.027726383196313396,-0.08421286148419402,0.03590265250192186,256
route_geometry_effect_d2,C2_interpolation,context,stress,0.008214759123192413,-0.016418562467674043,0.03145477388502163,256
route_geometry_effect_d2,C2_interpolation,route,rho,-0.05388562299457428,-0.10838002092454589,0.011756589222697665,256
route_geometry_effect_d2,C2_interpolation,route,stress,-0.015169322724883347,-0.039259472464634716,0.004907324587714831,256
route_geometry_effect_d2,C2_interpolation,synthesis,rho,0.007835716990262483,-0.00018383797554077014,0.01615965942376439,256
route_geometry_effect_d2,C2_interpolation,synthesis,stress,-0.0007592009960117244,-0.0019497835428148977,0.00026619977121178324,256
direct_context_geometry_effect_d2,C1_trained,context,rho,-0.03997590543451571,-0.09467647628536911,0.02169748134406926,256
direct_context_geometry_effect_d2,C1_trained,context,stress,0.020299009163490866,-0.0038609350398636252,0.041574231572761446,256
direct_context_geometry_effect_d2,C1_trained,route,rho,0.02592226414511454,-0.030821795536335513,0.08208344532962346,256
direct_context_geometry_effect_d2,C1_trained,route,stress,-0.027063641561024376,-0.050406285630784566,-0.0042415261634242965,256
direct_context_geometry_effect_d2,C1_trained,synthesis,rho,0.021055632179173493,0.012624068149405998,0.029947167418987213,256
direct_context_geometry_effect_d2,C1_trained,synthesis,stress,-0.0035654003587364787,-0.005648939912669293,-0.0011950066397624541,256
direct_context_geometry_effect_d2,C2_interpolation,context,rho,-0.01856462179231419,-0.08427614996757689,0.050817638419156076,256
direct_context_geometry_effect_d2,C2_interpolation,context,stress,0.009023133277852681,-0.016334272375154987,0.033046511537898796,256
direct_context_geometry_effect_d2,C2_interpolation,route,rho,0.01760022585505111,-0.047692392834962974,0.08666604364960694,256
direct_context_geometry_effect_d2,C2_interpolation,route,stress,-0.018182384880464482,-0.04232448511106235,0.006658405732122308,256
direct_context_geometry_effect_d2,C2_interpolation,synthesis,rho,0.010487805817735939,-6.328848338288417e-05,0.02122273809439553,256
direct_context_geometry_effect_d2,C2_interpolation,synthesis,stress,-0.002292945386525325,-0.004861870659390906,-0.00024426880306005786,256
combined_geometry_effect_d2,C1_trained,context,rho,-0.05909481672928411,-0.10778658688749601,-0.0002458145737899177,256
combined_geometry_effect_d2,C1_trained,context,stress,0.02423872360669759,-3.8766737803154646e-05,0.04468669109128065,256
combined_geometry_effect_d2,C1_trained,route,rho,0.01812572109763757,-0.03367783809695984,0.07624038325112815,256
combined_geometry_effect_d2,C1_trained,route,stress,-0.024028012701725627,-0.04643849528683644,-0.002315748377260311,256
combined_geometry_effect_d2,C1_trained,synthesis,rho,0.013879833004903279,0.0052409405214847255,0.023011596123648004,256
combined_geometry_effect_d2,C1_trained,synthesis,stress,-0.00286224520261124,-0.00491902683835942,-0.0009267866451370063,256
