method,context_dim,stage,current_angle,seen_angles,forward_images,optimizer_steps,source_examples,wall_seconds,loss,current_ce,anchor_ce,route_geo,context_geo,context_match,context_far,context_spread,path_variance,fiber,fiber_resultant,centroid,div
cb_d2_no_geo,2,0,-60.0,[-60.0],1024,16,1024,0.996586576000027,1.8534396663308144,1.809950053691864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8697923645377159
cb_d2_no_geo,2,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.5023997659999395,1.3539978452026844,1.1980646960437298,1.2016822546720505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7152988985180855
cb_d2_no_geo,2,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.055736164999985,0.6506600715219975,0.5120538668707013,1.135497398674488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011294726282358
cb_d2_no_geo,2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.763799784000071,2.32875470072031,2.2021826207637787,1.135430283844471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26058120001107454
cb_d2_no_geo,2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,3.6264989790000755,0.9612607508897781,0.8186869584023952,1.3283157795667648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19484415370970964
cb_d2_route_geo,2,0,-60.0,[-60.0],1024,16,1024,0.9330849369999896,1.8534396663308144,1.809950053691864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8697923645377159
cb_d2_route_geo,2,1,-30.0,"[-60.0, -30.0]",2048,16,1024,2.3605774800000745,1.4019658528268337,1.1993755735456944,1.2010151967406273,0.46722791716456413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7153193950653076
cb_d2_route_geo,2,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.100176612000041,0.6748291868716478,0.5095044979825616,1.1461532674729824,0.2557133501395583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5027606505900621
cb_d2_route_geo,2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,2.6485828149999406,2.3200147971510887,2.1718375086784363,1.1603920124471188,0.18981108255684376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26313976384699345
cb_d2_route_geo,2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,4.982942345999959,0.9927982464432716,0.8332730047404766,1.321611076593399,0.162833652459085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22161578480154276
cb_d2_context_geo,2,0,-60.0,[-60.0],1024,16,1024,0.9270889029999125,1.8535646721720695,1.809950053691864,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.0,0.0,0.8697923645377159
cb_d2_context_geo,2,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.5137612879999551,1.3642240315675735,1.202228982001543,1.202870648354292,0.0,0.058344659861177206,0.058344659861177206,0.0,0.0006652147931163199,0.13711098721250892,0.0,0.0,0.0,0.7168053016066551
cb_d2_context_geo,2,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,3.309791749999931,0.6715972851961851,0.5249437550082803,1.1093559302389622,0.0,0.09791166707873344,0.08643241785466671,0.045916994800791144,0.00017451771191190346,0.2568501625210047,0.0,0.0,0.0,0.5183608718216419
cb_d2_context_geo,2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,2.6669340679999323,2.3508874103426933,2.198973387479782,1.1159759797155857,0.0,0.2630584519356489,0.24492925498634577,0.07251679804176092,7.611616183567094e-05,0.18423817213624716,0.0,0.0,0.0,0.2801351370289922
cb_d2_context_geo,2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,3.734922301000097,0.95027806609869,0.7900374494493008,1.310621201992035,0.0,0.18365111202001572,0.17132646311074495,0.04929859470576048,2.4717629133474972e-05,0.361618647351861,0.0,0.0,0.0,0.2162428805604577
cb_d2_route_context_geo,2,0,-60.0,[-60.0],1024,16,1024,1.4312212339999633,1.8535646721720695,1.809950053691864,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.0,0.0,0.8697923645377159
cb_d2_route_context_geo,2,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.5445978750000222,1.4098185040056705,1.201089769601822,1.2019380554556847,0.467821579426527,0.05911915795877576,0.05911915795877576,0.0,0.0006306149825832108,0.1497186622582376,0.0,0.0,0.0,0.7161868512630463
cb_d2_route_context_geo,2,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.1001864800000476,0.6870706025511026,0.5167955104261637,1.1174363680183887,0.23645121045410633,0.0947894318960607,0.08347059111110866,0.04527536127716303,0.00017540908675073297,0.23099948931485415,0.0,0.0,0.0,0.5079727713018656
cb_d2_route_context_geo,2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.116452130000084,2.3691485673189163,2.1991355568170547,1.1122947335243225,0.17072250042110682,0.2805903386324644,0.26061264891177416,0.07991076540201902,0.00011358095912328281,0.15296391118317842,0.0,0.0,0.0,0.27292989660054445
cb_d2_route_context_geo,2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,8.121663335999983,0.967349112033844,0.7900621891021729,1.3077808544039726,0.1497470336034894,0.20648519787937403,0.19181273970752954,0.05868984269909561,3.412145611036976e-05,0.2917678691446781,0.0,0.0,0.0,0.21767823491245508
cb_d2_full_alignment,2,0,-60.0,[-60.0],1024,16,1024,2.507773154000006,1.8535646721720695,1.809950053691864,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.0,0.0,0.8697923645377159
cb_d2_full_alignment,2,1,-30.0,"[-60.0, -30.0]",2048,16,1024,2.2768952039999704,1.4417438879609108,1.2041699849069118,1.2002800963819027,0.4587428905069828,0.05771823110990226,0.05771823110990226,0.0,0.000574168325329083,0.16207637498155236,0.5823679473251104,0.46602093055844307,0.01866685799905099,0.7163858935236931
cb_d2_full_alignment,2,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,3.0030455319999874,0.7246198747307062,0.5179716888815165,1.1212466582655907,0.2376346429809928,0.09811772685497999,0.08713721763342619,0.043922033975832164,0.00019066311233473243,0.27659333031624556,0.65909025631845,0.4047717126086354,0.042231410334352404,0.5174536108970642
cb_d2_full_alignment,2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,2.8000284530000954,2.4292316138744354,2.2081448137760162,1.1152784526348114,0.1682530613616109,0.2582657104358077,0.2403663508594036,0.07159743341617286,7.940681371110259e-05,0.18106632307171822,0.6708790883421898,0.37943926081061363,0.3811950571835041,0.28598760068416595
cb_d2_full_alignment,2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,3.868905998999935,0.9961171038448811,0.7697331868112087,1.3079039305448532,0.15330247953534126,0.18062499817460775,0.16805445030331612,0.050282191252335906,7.941336008343569e-05,0.47613505832850933,0.7678471244871616,0.30729400739073753,0.24985274393111467,0.2262358609586954
cb_d4_no_geo,4,0,-60.0,[-60.0],1024,16,1024,1.40971674299999,1.9629813358187675,1.9202586188912392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8544545322656631
cb_d4_no_geo,4,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.5097974850000355,1.4104877561330795,1.2494549714028835,1.2544809505343437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116938456892967
cb_d4_no_geo,4,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.082334153999909,0.695999251678586,0.5587698891758919,1.1063162423670292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531954737380147
cb_d4_no_geo,4,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.526431818999981,2.245922476053238,2.1186447739601135,1.0991486012935638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34725733660161495
cb_d4_no_geo,4,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,3.708204873999989,0.9410108104348183,0.7912122048437595,1.3265112787485123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429492488503456
cb_d4_full_alignment,4,0,-60.0,[-60.0],1024,16,1024,0.929319206999935,1.9631063416600227,1.9202586188912392,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.0,0.0,0.8544545322656631
cb_d4_full_alignment,4,1,-30.0,"[-60.0, -30.0]",2048,16,1024,2.353594810000004,1.4929169714450836,1.2527645006775856,1.2556131482124329,0.4865955486893654,0.03621171845588833,0.03621171845588833,0.0,0.00025352456759719644,0.1699890112504363,0.5219548400491476,0.5047370512038469,0.010225593479468387,0.713774211704731
