contrast,partition,space,metric,mean_seed_effect,seed_ci_low,seed_ci_high,seed_sd,seed_count,positive_seed_fraction
stationary_full_vs_no_geo,C1_trained,context,rho,0.10705597134873165,0.02890569769569508,0.18520624500176824,0.0629399529712478,5,1.0
stationary_full_vs_no_geo,C1_trained,context,stress,-0.04233203320017599,-0.08365397737539446,-0.0010100890249575348,0.03327948964856531,5,0.0
stationary_full_vs_no_geo,C1_trained,route,rho,0.02479995922235671,-0.09191732726347102,0.14151724570818444,0.09400070119990186,5,0.4
stationary_full_vs_no_geo,C1_trained,route,stress,-0.00465569592716297,-0.07265711968118209,0.06334572782685614,0.0547663650169388,5,0.4
stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.0063713151145942445,-0.024619280262966108,0.011876650033777617,0.01469637935445498,5,0.2
stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.0020165685815970455,-0.001958059457119703,0.005991196620313794,0.0032010495951131555,5,0.8
stationary_full_vs_no_geo,dense_heldout,context,rho,0.04842670024777949,-0.011909828538170623,0.10876322903372959,0.048593281977439146,5,1.0
stationary_full_vs_no_geo,dense_heldout,context,stress,-0.026708511533243023,-0.05761914989515048,0.004202126828664436,0.024894527349285996,5,0.2
stationary_full_vs_no_geo,dense_heldout,route,rho,-0.005743196286451924,-0.10423265688292653,0.09274626431002268,0.07932054141776908,5,0.6
stationary_full_vs_no_geo,dense_heldout,route,stress,0.0005721911471001179,-0.06262521251412542,0.06376959480832567,0.050897347231335585,5,0.6
stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.007277693036344365,-0.023500751777108447,0.008945365704419716,0.013065578742907027,5,0.2
stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.002402192207428611,-0.0023300537675273554,0.007134438182384577,0.003811213002713934,5,0.8
stationary_vs_legacy_route,C1_trained,context,rho,-0.01802143612693883,-0.044567953709172305,0.008525081455294646,0.021379791651071928,5,0.2
stationary_vs_legacy_route,C1_trained,context,stress,0.008755482283561045,-0.002740619080417332,0.02025158364753942,0.009258625023040878,5,0.8
stationary_vs_legacy_route,C1_trained,route,rho,0.0027014773361958453,-0.03359102233669195,0.038993977009083636,0.029228921612763,5,0.2
stationary_vs_legacy_route,C1_trained,route,stress,0.007819931397738664,-0.010133071692235901,0.025772934487713228,0.01445882550830659,5,0.6
stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.007612802861007776,-0.011218791322427792,-0.00400681439958776,0.002904158022328554,5,0.0
stationary_vs_legacy_route,C1_trained,synthesis,stress,0.0018849376548917731,0.00169169532189868,0.0020781799878848662,0.00015563174358976668,5,1.0
stationary_vs_legacy_route,dense_heldout,context,rho,-0.016839120672293924,-0.04382458560190826,0.010146344257320406,0.021733307052996965,5,0.4
stationary_vs_legacy_route,dense_heldout,context,stress,0.007634646013097874,-0.0038435388619435396,0.01911283088813929,0.009244195604967323,5,0.8
stationary_vs_legacy_route,dense_heldout,route,rho,0.00415971090792441,-0.011308907563191178,0.019628329379039997,0.012457974535375931,5,0.8
stationary_vs_legacy_route,dense_heldout,route,stress,0.003906192729174332,-0.010175484254127759,0.01798786971247642,0.01134097227887184,5,0.6
stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.004878691075244907,-0.006355861618322438,-0.003401520532167375,0.0011896701081890565,5,0.0
stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.0015899016385441688,0.000845613820094138,0.0023341894569942,0.0005994277191951631,5,1.0
