model_seed,method,total_forward_images,total_optimizer_steps,total_wall_seconds
0,d4_full_legacy_route,15360,80,12.712771037000152
0,d4_full_stationary_route,15360,80,14.03700722199983
0,d4_no_geo,15360,80,15.214070555000148
1,d4_full_legacy_route,15360,80,13.769752042999926
1,d4_full_stationary_route,15360,80,12.002453815999957
1,d4_no_geo,15360,80,11.853202851999981
2,d4_full_legacy_route,15360,80,12.690718500000116
2,d4_full_stationary_route,15360,80,13.908605781999881
2,d4_no_geo,15360,80,12.040746680999973
3,d4_full_legacy_route,15360,80,14.197759955999913
3,d4_full_stationary_route,15360,80,14.326624343000503
3,d4_no_geo,15360,80,13.34673967699996
4,d4_full_legacy_route,15360,80,13.856570965000174
4,d4_full_stationary_route,15360,80,14.564621055000089
4,d4_no_geo,15360,80,13.461621466000452
