model_seed,method,scale,csr,csr_ci_low,csr_ci_high,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high
1,d4_no_geo,-0.5,0.5330071979401049,0.457370046870118,0.6229869451980591,-0.027369305298634572,0.05134884745348245,-0.0057771205611061305,0.9921875,0.9765625,1.0
1,d4_no_geo,-0.25,0.37534121917882685,0.31426707628761247,0.44212050504369005,-0.010006763513956685,0.026660443891159957,-0.002360184123972431,0.9921875,0.9765625,1.0
1,d4_no_geo,0.0,0.0,0.0,0.0,4.625301336380616e-09,6.92125435436397e-09,2.9685907065868378e-09,1.0,1.0,1.0
1,d4_no_geo,0.25,0.005500011897877077,0.00038164431146237433,0.025999224109153406,0.0001452343897199171,0.026406195553136058,0.0007127097924239933,1.0,1.0,1.0
1,d4_no_geo,0.5,0.15547519197146675,0.12358552103424954,0.19457085486824785,-0.00798370527922998,0.051350348425330594,-5.840029916726053e-05,0.9921875,0.9765625,1.0
1,d4_full_legacy_route,-0.5,1.4946841720740585,1.3914154357159134,1.6087531960499264,-0.07856684286889504,0.05256417665805202,0.010268375655869022,0.984375,0.9609375,1.0
1,d4_full_legacy_route,-0.25,1.5143891521505948,1.4146839694774649,1.6263389972610889,-0.04174937798597966,0.027568460805923678,0.00342640167218633,0.9921875,0.9765625,1.0
1,d4_full_legacy_route,0.0,0.0,0.0,0.0,5.049298895665189e-10,6.073076942378353e-09,-7.8580342233181e-09,1.0,1.0,1.0
1,d4_full_legacy_route,0.25,1.482577909892001,1.3632376223707525,1.6140929734221883,0.039740823887768784,0.02680521787260659,0.0014276315487222746,1.0,1.0,1.0
1,d4_full_legacy_route,0.5,1.4254084720249918,1.2876592658129637,1.5607033331599913,0.07153194264651574,0.05018346954602748,0.006063042979803868,1.0,1.0,1.0
1,d4_full_stationary_route,-0.5,1.4117185285956602,1.2969283572321408,1.5288250312107483,-0.08744479823326401,0.06194209147361107,0.006821219198172912,0.984375,0.9609375,1.0
1,d4_full_stationary_route,-0.25,1.4097399769332486,1.3149189139327704,1.5059204857368051,-0.04516333899300662,0.03203664486500202,0.0018407545139780268,0.984375,0.9609375,1.0
1,d4_full_stationary_route,0.0,0.0,0.0,0.0,2.225728525095949e-09,7.2960545933857535e-09,3.841705620288849e-09,1.0,1.0,1.0
1,d4_full_stationary_route,0.25,1.2954388529592826,1.1941343870308279,1.403232755965449,0.040757005974683125,0.03146192958593019,0.0022925600787857547,1.0,1.0,1.0
1,d4_full_stationary_route,0.5,1.1812092510909888,1.059302209155125,1.2976188773082735,0.07159176237757947,0.06060887375497259,0.007004559593042359,0.9921875,0.9765625,1.0
