model_seed,contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
2,stationary_full_vs_no_geo,C1_trained,context,rho,0.10748800908448357,0.06807573908683959,0.14421432034276185,256
2,stationary_full_vs_no_geo,C1_trained,context,stress,-0.03753901906952093,-0.051405737962420435,-0.02377079865586921,256
2,stationary_full_vs_no_geo,C1_trained,route,rho,0.07327260679332664,0.030898767776613184,0.11993764820551846,256
2,stationary_full_vs_no_geo,C1_trained,route,stress,-0.015821466026750303,-0.033834694665221945,0.001443776573858177,256
2,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.013507386680979226,-0.024359231072379903,-0.0029286695937895254,256
2,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.003470340478761067,0.0017551717726910596,0.005111555283041812,256
2,stationary_full_vs_no_geo,dense_heldout,context,rho,0.037483505115917394,0.004073440492056045,0.06689289176966594,256
2,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.014768466141583288,-0.02731711698840415,-0.0013029913243831725,256
2,stationary_full_vs_no_geo,dense_heldout,route,rho,0.002694374574928526,-0.034822810223175474,0.038330720222900246,256
2,stationary_full_vs_no_geo,dense_heldout,route,stress,0.006992148499542124,-0.008085447142227909,0.023151575827399413,256
2,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.016778605307509437,-0.025733978769352413,-0.008745550842872943,256
2,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.005963160315142319,0.0044660414062427396,0.007464842091326518,256
2,stationary_vs_legacy_route,C1_trained,context,rho,-0.014724044672464484,-0.031414605935248,0.0019392038598979385,256
2,stationary_vs_legacy_route,C1_trained,context,stress,0.007590215075584512,0.0018952751967688368,0.013728925393806577,256
2,stationary_vs_legacy_route,C1_trained,route,rho,-0.005487375839147806,-0.024706847641375693,0.012712834523274565,256
2,stationary_vs_legacy_route,C1_trained,route,stress,0.016454669330430653,0.00902895028514523,0.0231703084573282,256
2,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.005313567554649911,-0.011127454671104478,0.0006213646170799785,256
2,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.001781951173426552,0.0009399695836494456,0.0025981446902461312,256
2,stationary_vs_legacy_route,dense_heldout,context,rho,-0.027649758338437618,-0.04233500029805974,-0.01296739806285285,256
2,stationary_vs_legacy_route,dense_heldout,context,stress,0.015301866988998936,0.010560826028600765,0.02015091653716968,256
2,stationary_vs_legacy_route,dense_heldout,route,rho,0.001203103085596428,-0.0130841062663658,0.015549567065576789,256
2,stationary_vs_legacy_route,dense_heldout,route,stress,0.014856699985826713,0.008858450712383613,0.02039093345638478,256
2,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.0047763912919187405,-0.010106786340019313,7.942641627964751e-05,256
2,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.002478534083371304,0.0017665506261177778,0.0031832719568370897,256
