model_seed,method,stage,current_angle,seen_angles,forward_images,optimizer_steps,source_examples,wall_seconds,loss,current_ce,anchor_ce,route_geo,route_match,route_far,context_geo,context_spread,fiber,centroid,host_diversity
4,d4_no_geo,0,-60.0,[-60.0],1024,16,1024,1.0332291450001776,1.8693611696362495,1.8271785750985146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436518795788288
4,d4_no_geo,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.605133130000013,1.5234076008200645,1.3691227994859219,1.1840116828680038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7176726832985878
4,d4_no_geo,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,3.223915541999986,0.6524212751537561,0.5081640779972076,1.1572056002914906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5707325823605061
4,d4_no_geo,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,3.3223307190000924,2.006811298429966,1.8697202280163765,1.2020144872367382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337792644277215
4,d4_no_geo,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,4.277012930000183,0.853599239140749,0.7083197012543678,1.3013363108038902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3029181696474552
4,d4_full_legacy_route,0,-60.0,[-60.0],1024,16,1024,1.2280340489999162,1.8694861829280853,1.8271785750985146,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8436518795788288
4,d4_full_legacy_route,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.6287568479999663,1.60634333640337,1.3718275912106037,1.1886737793684006,0.4856879599392414,0.4856879599392414,0.0,0.0423431470990181,0.0002832845802913653,0.5171319581568241,0.020829421944654314,0.7186604514718056
4,d4_full_legacy_route,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.279966207000143,0.7063875179737806,0.5083195175975561,1.1642052195966244,0.22616995126008987,0.22616995126008987,0.0,0.051121840020641685,2.3494900998954904e-05,0.4737782943993807,0.02502770919818431,0.5795363560318947
4,d4_full_legacy_route,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.455826489000174,2.111160956323147,1.9110813587903976,1.2003041915595531,0.16856495663523674,0.16856495663523674,0.0,0.1252636038698256,8.129961392100427e-06,0.4894324839115143,0.14643256436102092,0.37745359912514687
4,d4_full_legacy_route,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,4.263987371999974,0.9180797003209591,0.7124860174953938,1.3078679293394089,0.15582214295864105,0.15582214295864105,0.0,0.09184333123266697,0.0,0.5924104526638985,0.05986752058379352,0.3485293257981539
4,d4_full_stationary_route,0,-60.0,[-60.0],1024,16,1024,1.5156927150001138,1.8694861829280853,1.8271785750985146,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8436518795788288
4,d4_full_stationary_route,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.7173326300001008,1.5705610737204552,1.371887318789959,1.188785444945097,0.12720078602433205,0.12720078602433205,0.0,0.04218403866980225,0.0002865468236450397,0.5169012621045113,0.021278500791595434,0.7186677902936935
4,d4_full_stationary_route,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.315841219000049,0.7074430659413338,0.5082143992185593,1.1647771932184696,0.23455815576016903,0.19327481742948294,0.16513334726914763,0.05124889640137553,2.2623478571626165e-05,0.4775634743273258,0.02598004648461938,0.5798385925590992
4,d4_full_stationary_route,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.795851751999862,2.1252270117402077,1.9057463482022285,1.2135945446789265,0.36841252632439137,0.3378233555704355,0.12235669465735555,0.11827864544466138,7.136993279033277e-06,0.4943141397088766,0.1184068932197988,0.3763138372451067
4,d4_full_stationary_route,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,4.219902738999963,0.9318735972046852,0.7099771052598953,1.3193019703030586,0.27813118509948254,0.25483063887804747,0.09320219559594989,0.09976641880348325,0.0,0.6169398669153452,0.07502421247772872,0.35156642086803913
