model_seed,method,host_a,host_b,territory_overlap,functional_cost
0,r0_mlp,0,0,1.0,0.0
0,r0_mlp,0,1,0.933260440826416,0.9186438918113708
0,r0_mlp,0,2,0.9162096977233887,1.2409156560897827
0,r0_mlp,0,3,0.9408951997756958,1.0534452199935913
0,r0_mlp,1,0,0.933260440826416,0.9186438918113708
0,r0_mlp,1,1,1.0,0.0
0,r0_mlp,1,2,0.9798912405967712,1.0012450218200684
0,r0_mlp,1,3,0.9818689227104187,0.6491827368736267
0,r0_mlp,2,0,0.9162096977233887,1.2409156560897827
0,r0_mlp,2,1,0.9798912405967712,1.0012450218200684
0,r0_mlp,2,2,1.0,0.0
0,r0_mlp,2,3,0.9654462337493896,1.0
0,r0_mlp,3,0,0.9408951997756958,1.0534452199935913
0,r0_mlp,3,1,0.9818689227104187,0.6491827368736267
0,r0_mlp,3,2,0.9654462337493896,1.0
0,r0_mlp,3,3,1.0,0.0
0,r1_linear,0,0,1.0,0.0
0,r1_linear,0,1,0.8847845792770386,1.255551815032959
0,r1_linear,0,2,0.947144627571106,0.8966552019119263
0,r1_linear,0,3,0.9463162422180176,1.0
0,r1_linear,1,0,0.8847845792770386,1.255551815032959
0,r1_linear,1,1,1.0,0.0
0,r1_linear,1,2,0.9367144703865051,1.2156215906143188
0,r1_linear,1,3,0.900406002998352,1.4816442728042603
0,r1_linear,2,0,0.947144627571106,0.8966552019119263
0,r1_linear,2,1,0.9367144703865051,1.2156215906143188
0,r1_linear,2,2,1.0,0.0
0,r1_linear,2,3,0.9488137364387512,0.9835102558135986
0,r1_linear,3,0,0.9463162422180176,1.0
0,r1_linear,3,1,0.900406002998352,1.4816442728042603
0,r1_linear,3,2,0.9488137364387512,0.9835102558135986
0,r1_linear,3,3,1.0,0.0
0,r2_prototype_energy,0,0,1.0,0.0
0,r2_prototype_energy,0,1,0.5795342922210693,1.257506012916565
0,r2_prototype_energy,0,2,0.49755093455314636,1.3909558057785034
0,r2_prototype_energy,0,3,0.8306980133056641,0.8490001559257507
0,r2_prototype_energy,1,0,0.5795342922210693,1.257506012916565
0,r2_prototype_energy,1,1,1.0,0.0
0,r2_prototype_energy,1,2,0.6788358688354492,1.0
0,r2_prototype_energy,1,3,0.6367179751396179,0.7529200911521912
0,r2_prototype_energy,2,0,0.49755093455314636,1.3909558057785034
0,r2_prototype_energy,2,1,0.6788358688354492,1.0
0,r2_prototype_energy,2,2,1.0,0.0
0,r2_prototype_energy,2,3,0.4628188908100128,1.2071911096572876
0,r2_prototype_energy,3,0,0.8306980133056641,0.8490001559257507
0,r2_prototype_energy,3,1,0.6367179751396179,0.7529200911521912
0,r2_prototype_energy,3,2,0.4628188908100128,1.2071911096572876
0,r2_prototype_energy,3,3,1.0,0.0
1,r0_mlp,0,0,1.0,0.0
1,r0_mlp,0,1,0.9385532140731812,0.975597083568573
1,r0_mlp,0,2,0.9716619253158569,0.8649054765701294
1,r0_mlp,0,3,0.9518142938613892,1.0
1,r0_mlp,1,0,0.9385532140731812,0.975597083568573
1,r0_mlp,1,1,1.0,0.0
1,r0_mlp,1,2,0.9399467706680298,1.1381535530090332
1,r0_mlp,1,3,0.9410508871078491,1.1636744737625122
1,r0_mlp,2,0,0.9716619253158569,0.8649054765701294
1,r0_mlp,2,1,0.9399467706680298,1.1381535530090332
1,r0_mlp,2,2,1.0,0.0
1,r0_mlp,2,3,0.9789943099021912,1.0229318141937256
1,r0_mlp,3,0,0.9518142938613892,1.0
1,r0_mlp,3,1,0.9410508871078491,1.1636744737625122
1,r0_mlp,3,2,0.9789943099021912,1.0229318141937256
1,r0_mlp,3,3,1.0,0.0
1,r1_linear,0,0,1.0,0.0
1,r1_linear,0,1,0.861072301864624,1.3861119747161865
1,r1_linear,0,2,0.9425190687179565,0.7576231360435486
1,r1_linear,0,3,0.9361864924430847,0.7174062132835388
1,r1_linear,1,0,0.861072301864624,1.3861119747161865
1,r1_linear,1,1,1.0,0.0
1,r1_linear,1,2,0.9185531735420227,1.2042651176452637
1,r1_linear,1,3,0.9186708927154541,1.2084405422210693
1,r1_linear,2,0,0.9425190687179565,0.7576231360435486
1,r1_linear,2,1,0.9185531735420227,1.2042651176452637
1,r1_linear,2,2,1.0,0.0
1,r1_linear,2,3,0.9813752174377441,1.0
1,r1_linear,3,0,0.9361864924430847,0.7174062132835388
1,r1_linear,3,1,0.9186708927154541,1.2084405422210693
1,r1_linear,3,2,0.9813752174377441,1.0
1,r1_linear,3,3,1.0,0.0
1,r2_prototype_energy,0,0,1.0,0.0
1,r2_prototype_energy,0,1,0.5444112420082092,1.587320327758789
1,r2_prototype_energy,0,2,0.8159165382385254,0.7309826016426086
1,r2_prototype_energy,0,3,0.6189500689506531,1.0
1,r2_prototype_energy,1,0,0.5444112420082092,1.587320327758789
1,r2_prototype_energy,1,1,1.0,0.0
1,r2_prototype_energy,1,2,0.7062376737594604,1.061147928237915
1,r2_prototype_energy,1,3,0.6694028973579407,1.4371682405471802
1,r2_prototype_energy,2,0,0.8159165382385254,0.7309826016426086
1,r2_prototype_energy,2,1,0.7062376737594604,1.061147928237915
1,r2_prototype_energy,2,2,1.0,0.0
