model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
0,r0_mlp,trained,nominal,rho,0.28258247488766247,0.2608703439881854,0.30452651569816935,640
0,r0_mlp,trained,nominal,stress,0.48951366804216895,0.4815285784087828,0.49782403110436513,640
0,r0_mlp,trained,functional,rho,0.291590709975639,0.2695788839341778,0.31404674033276697,640
0,r0_mlp,trained,functional,stress,0.5248912723805194,0.5165193417029531,0.5335791863131256,640
0,r0_mlp,heldout_dense,nominal,rho,0.19472691714034224,0.17429664182069438,0.21592775477157924,640
0,r0_mlp,heldout_dense,nominal,stress,0.5447493349091036,0.5371017732026035,0.5525778047018137,640
0,r0_mlp,heldout_dense,functional,rho,0.2028561478097255,0.1829805246251679,0.22453873096990765,640
0,r0_mlp,heldout_dense,functional,stress,0.5791872381244032,0.5712945195921223,0.5874314727412782,640
0,r1_linear,trained,nominal,rho,0.4087772213351051,0.3832219409678304,0.43367997574286477,640
0,r1_linear,trained,nominal,stress,0.4365571460457483,0.4279074755659446,0.4452886784928808,640
0,r1_linear,trained,functional,rho,0.388476413705751,0.3622355838049068,0.41436888214495154,640
0,r1_linear,trained,functional,stress,0.45921630124129803,0.4500558269577362,0.4686133242275614,640
0,r1_linear,heldout_dense,nominal,rho,0.28296984573227935,0.2595485264660571,0.3057893973294006,640
0,r1_linear,heldout_dense,nominal,stress,0.5025637158495588,0.49464504447916513,0.5107524819828887,640
0,r1_linear,heldout_dense,functional,rho,0.26813205462392964,0.24369126758739154,0.2917501208678024,640
0,r1_linear,heldout_dense,functional,stress,0.5227082713646054,0.514463651841092,0.5313328608873041,640
0,r2_prototype_energy,trained,nominal,rho,0.33278823935262564,0.3104503986289562,0.3549180067299961,640
0,r2_prototype_energy,trained,nominal,stress,0.492031932568635,0.4835897866267612,0.5010177125577508,640
0,r2_prototype_energy,trained,functional,rho,0.30635944820697436,0.2834684005435031,0.32941164097993014,640
0,r2_prototype_energy,trained,functional,stress,0.5090588655936104,0.49988098099992917,0.5188072331519467,640
0,r2_prototype_energy,heldout_dense,nominal,rho,0.21671128466133655,0.1957865123608783,0.23791060940845396,640
0,r2_prototype_energy,heldout_dense,nominal,stress,0.5534273918788959,0.5455843289221661,0.5617535094191747,640
0,r2_prototype_energy,heldout_dense,functional,rho,0.20402611152889233,0.18368228673036519,0.22469513437103517,640
0,r2_prototype_energy,heldout_dense,functional,stress,0.5700917140600958,0.561849429998475,0.5786292240904644,640
