model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
2,r0_mlp,trained,nominal,rho,0.33525135104151005,0.31163949559247106,0.35849299484456854,640
2,r0_mlp,trained,nominal,stress,0.510322901987945,0.5007578573047394,0.5199948986307839,640
2,r0_mlp,trained,functional,rho,0.3072235236784782,0.28252139369053886,0.33137890246289703,640
2,r0_mlp,trained,functional,stress,0.5498627262465968,0.539890300411105,0.559809619161225,640
2,r0_mlp,heldout_dense,nominal,rho,0.26872279985158776,0.2461648331229576,0.2919979456950151,640
2,r0_mlp,heldout_dense,nominal,stress,0.5523936351112658,0.5432307386615184,0.5613043114224479,640
2,r0_mlp,heldout_dense,functional,rho,0.2536371839160254,0.23131212929971456,0.2769389853367982,640
2,r0_mlp,heldout_dense,functional,stress,0.5862103872358404,0.5766453157739533,0.5952314856618027,640
2,r1_linear,trained,nominal,rho,0.3331159921176788,0.3104908711294893,0.3554635164457702,640
2,r1_linear,trained,nominal,stress,0.485892164410407,0.4765356533398365,0.49487592840727856,640
2,r1_linear,trained,functional,rho,0.28982283142474613,0.26728585606655203,0.3125219450826219,640
2,r1_linear,trained,functional,stress,0.5270269520886713,0.5173863637734775,0.5362516197546268,640
2,r1_linear,heldout_dense,nominal,rho,0.23443075980704292,0.2148507253626172,0.2540865825416512,640
2,r1_linear,heldout_dense,nominal,stress,0.5487912954897537,0.5409080289767415,0.5564321088465339,640
2,r1_linear,heldout_dense,functional,rho,0.2035074084021681,0.18391145265343595,0.22342135798442256,640
2,r1_linear,heldout_dense,functional,stress,0.5838360654948025,0.5749707416594934,0.5920576416921697,640
2,r2_prototype_energy,trained,nominal,rho,0.4342128222836255,0.4102044356483821,0.4589487207382672,640
2,r2_prototype_energy,trained,nominal,stress,0.45336471134525913,0.44483724481778447,0.46217416496717584,640
2,r2_prototype_energy,trained,functional,rho,0.3930450886125528,0.36793575064378986,0.4188926151953332,640
2,r2_prototype_energy,trained,functional,stress,0.4811388362784479,0.47218561076762255,0.490319058271099,640
2,r2_prototype_energy,heldout_dense,nominal,rho,0.29207596729032653,0.26996847981883615,0.3138073229528409,640
2,r2_prototype_energy,heldout_dense,nominal,stress,0.5229904989442188,0.5146314393164636,0.5308036275229736,640
2,r2_prototype_energy,heldout_dense,functional,rho,0.2604552483484114,0.23868362115147493,0.28244256959554404,640
2,r2_prototype_energy,heldout_dense,functional,stress,0.5488714295958592,0.5401753831225646,0.5576071997190891,640
