model_seed,method,stage,angle,angle_type,accuracy,nll
2,r0_mlp,0,-75.0,heldout,0.521875,1.4450944185256958
2,r0_mlp,0,-60.0,train,0.553125,1.347444272041321
2,r0_mlp,0,-45.0,heldout,0.4828125,1.5192566871643067
2,r0_mlp,0,-30.0,train,0.3671875,1.933283805847168
2,r0_mlp,0,-15.0,heldout,0.2640625,2.279402732849121
2,r0_mlp,0,0.0,train,0.234375,2.4462547302246094
2,r0_mlp,0,15.0,heldout,0.1953125,2.4164366245269777
2,r0_mlp,0,30.0,train,0.2078125,2.283421277999878
2,r0_mlp,0,45.0,heldout,0.20625,2.185111665725708
2,r0_mlp,0,60.0,train,0.1609375,2.2300443172454836
2,r0_mlp,0,75.0,heldout,0.190625,2.3192348957061766
2,r0_mlp,1,-75.0,heldout,0.4625,1.5327277898788452
2,r0_mlp,1,-60.0,train,0.5984375,1.2123725891113282
2,r0_mlp,1,-45.0,heldout,0.721875,0.9431630849838257
2,r0_mlp,1,-30.0,train,0.7515625,0.8526771783828735
2,r0_mlp,1,-15.0,heldout,0.7625,0.8865446448326111
2,r0_mlp,1,0.0,train,0.675,1.0168163061141968
2,r0_mlp,1,15.0,heldout,0.5609375,1.227601957321167
2,r0_mlp,1,30.0,train,0.4265625,1.5541197299957275
2,r0_mlp,1,45.0,heldout,0.29375,1.9780839443206788
2,r0_mlp,1,60.0,train,0.1609375,2.3751380920410154
2,r0_mlp,1,75.0,heldout,0.13125,2.5916990280151366
2,r0_mlp,2,-75.0,heldout,0.2203125,2.2965657711029053
2,r0_mlp,2,-60.0,train,0.303125,1.904750156402588
2,r0_mlp,2,-45.0,heldout,0.515625,1.3122941732406617
2,r0_mlp,2,-30.0,train,0.7375,0.7700942873954773
2,r0_mlp,2,-15.0,heldout,0.896875,0.3541655302047729
2,r0_mlp,2,0.0,train,0.9375,0.26413079500198366
2,r0_mlp,2,15.0,heldout,0.8734375,0.4553932726383209
2,r0_mlp,2,30.0,train,0.6859375,0.9923019886016846
2,r0_mlp,2,45.0,heldout,0.415625,1.8044745922088623
2,r0_mlp,2,60.0,train,0.23125,2.5113393306732177
2,r0_mlp,2,75.0,heldout,0.1390625,2.9429590702056885
2,r0_mlp,3,-75.0,heldout,0.2625,2.301374912261963
2,r0_mlp,3,-60.0,train,0.2890625,2.1419487476348875
2,r0_mlp,3,-45.0,heldout,0.3640625,1.8416540145874023
2,r0_mlp,3,-30.0,train,0.503125,1.411024236679077
2,r0_mlp,3,-15.0,heldout,0.6890625,0.8619595766067505
2,r0_mlp,3,0.0,train,0.784375,0.6604950189590454
2,r0_mlp,3,15.0,heldout,0.7484375,0.7597752928733825
2,r0_mlp,3,30.0,train,0.6921875,0.9018128275871277
2,r0_mlp,3,45.0,heldout,0.6171875,1.073685383796692
2,r0_mlp,3,60.0,train,0.5546875,1.2343385934829711
2,r0_mlp,3,75.0,heldout,0.4484375,1.616154718399048
2,r0_mlp,4,-75.0,heldout,0.2515625,2.4237536907196047
2,r0_mlp,4,-60.0,train,0.284375,2.1795247077941893
2,r0_mlp,4,-45.0,heldout,0.4140625,1.6965085029602052
2,r0_mlp,4,-30.0,train,0.6328125,1.1429200649261475
2,r0_mlp,4,-15.0,heldout,0.8328125,0.5750589787960052
2,r0_mlp,4,0.0,train,0.9046875,0.3687296032905579
2,r0_mlp,4,15.0,heldout,0.890625,0.4335275113582611
2,r0_mlp,4,30.0,train,0.8125,0.6240172266960144
2,r0_mlp,4,45.0,heldout,0.6703125,0.9432013750076294
2,r0_mlp,4,60.0,train,0.5609375,1.2483347177505493
2,r0_mlp,4,75.0,heldout,0.40625,1.7299325227737428
2,r1_linear,0,-75.0,heldout,0.521875,1.44119873046875
2,r1_linear,0,-60.0,train,0.5515625,1.342804527282715
2,r1_linear,0,-45.0,heldout,0.4890625,1.5138152599334718
2,r1_linear,0,-30.0,train,0.36875,1.9271872282028197
2,r1_linear,0,-15.0,heldout,0.26875,2.274593687057495
2,r1_linear,0,0.0,train,0.2390625,2.441555404663086
2,r1_linear,0,15.0,heldout,0.203125,2.411289119720459
2,r1_linear,0,30.0,train,0.2125,2.27738561630249
2,r1_linear,0,45.0,heldout,0.209375,2.177326726913452
2,r1_linear,0,60.0,train,0.1625,2.222469663619995
2,r1_linear,0,75.0,heldout,0.196875,2.315117359161377
2,r1_linear,1,-75.0,heldout,0.4578125,1.531478762626648
2,r1_linear,1,-60.0,train,0.5953125,1.208784818649292
2,r1_linear,1,-45.0,heldout,0.7234375,0.939455783367157
2,r1_linear,1,-30.0,train,0.7546875,0.8476746559143067
2,r1_linear,1,-15.0,heldout,0.7609375,0.8793611288070678
2,r1_linear,1,0.0,train,0.6796875,1.0056007623672485
2,r1_linear,1,15.0,heldout,0.565625,1.2168516635894775
2,r1_linear,1,30.0,train,0.428125,1.545854425430298
2,r1_linear,1,45.0,heldout,0.2953125,1.9718147754669189
2,r1_linear,1,60.0,train,0.1578125,2.3711572170257567
2,r1_linear,1,75.0,heldout,0.134375,2.5932766914367678
2,r1_linear,2,-75.0,heldout,0.21875,2.292901134490967
2,r1_linear,2,-60.0,train,0.296875,1.8958827257156372
2,r1_linear,2,-45.0,heldout,0.515625,1.3045801639556884
2,r1_linear,2,-30.0,train,0.7390625,0.7608239889144898
2,r1_linear,2,-15.0,heldout,0.903125,0.3510121047496796
2,r1_linear,2,0.0,train,0.9375,0.2616122305393219
2,r1_linear,2,15.0,heldout,0.871875,0.4529318451881409
2,r1_linear,2,30.0,train,0.6828125,0.9947081565856933
2,r1_linear,2,45.0,heldout,0.40625,1.8214076519012452
2,r1_linear,2,60.0,train,0.2265625,2.5406863689422607
2,r1_linear,2,75.0,heldout,0.1359375,2.9818517684936525
2,r1_linear,3,-75.0,heldout,0.3078125,2.237480640411377
2,r1_linear,3,-60.0,train,0.309375,2.089662456512451
2,r1_linear,3,-45.0,heldout,0.3953125,1.7807485342025757
2,r1_linear,3,-30.0,train,0.528125,1.3381568908691406
2,r1_linear,3,-15.0,heldout,0.7234375,0.7911196351051331
2,r1_linear,3,0.0,train,0.8140625,0.5954630255699158
2,r1_linear,3,15.0,heldout,0.7640625,0.6964780330657959
2,r1_linear,3,30.0,train,0.69375,0.8669978976249695
2,r1_linear,3,45.0,heldout,0.60625,1.0840720891952516
2,r1_linear,3,60.0,train,0.5421875,1.2886711597442626
2,r1_linear,3,75.0,heldout,0.41875,1.6949893236160278
2,r1_linear,4,-75.0,heldout,0.2328125,2.3926257133483886
2,r1_linear,4,-60.0,train,0.2734375,2.142504596710205
2,r1_linear,4,-45.0,heldout,0.403125,1.6783753156661987
2,r1_linear,4,-30.0,train,0.61875,1.1433976411819458
2,r1_linear,4,-15.0,heldout,0.81875,0.5929332613945008
2,r1_linear,4,0.0,train,0.8953125,0.39030884504318236
2,r1_linear,4,15.0,heldout,0.8796875,0.45059092044830323
2,r1_linear,4,30.0,train,0.8140625,0.6384966611862183
2,r1_linear,4,45.0,heldout,0.6734375,0.9400947690010071
2,r1_linear,4,60.0,train,0.559375,1.232725691795349
2,r1_linear,4,75.0,heldout,0.3859375,1.706104826927185
2,r2_prototype_energy,0,-75.0,heldout,0.5234375,1.4459473848342896
2,r2_prototype_energy,0,-60.0,train,0.5625,1.3095752477645874
2,r2_prototype_energy,0,-45.0,heldout,0.49375,1.454109501838684
2,r2_prototype_energy,0,-30.0,train,0.334375,1.9197044134140016
