model_seed,method,angle,best_accuracy,final_accuracy,forgetting
3,r0_mlp,-60.0,0.6140625,0.278125,0.33593749999999994
3,r0_mlp,-30.0,0.7609375,0.625,0.13593750000000004
3,r0_mlp,0.0,0.9296875,0.903125,0.026562500000000044
3,r0_mlp,30.0,0.809375,0.809375,0.0
3,r0_mlp,60.0,0.5515625,0.5515625,0.0
3,r1_linear,-60.0,0.61875,0.284375,0.33437500000000003
3,r1_linear,-30.0,0.7640625,0.6140625,0.15000000000000002
3,r1_linear,0.0,0.93125,0.9,0.03125
3,r1_linear,30.0,0.8,0.8,0.0
3,r1_linear,60.0,0.54375,0.54375,0.0
3,r2_prototype_energy,-60.0,0.5890625,0.353125,0.23593750000000002
3,r2_prototype_energy,-30.0,0.771875,0.6328125,0.13906249999999998
3,r2_prototype_energy,0.0,0.9203125,0.90625,0.014062499999999978
3,r2_prototype_energy,30.0,0.8109375,0.8109375,0.0
3,r2_prototype_energy,60.0,0.53125,0.5234375,0.0078125
