model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,router_parameters,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance,host_diversity
4,r0_mlp,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,4740,1024,16,0.9308287779995226,1.849764198064804,1.807383544743061,0.0,0.0009082660944841336,0.8467051200568676
4,r0_mlp,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,4740,2048,16,1.9686301640003876,1.4991547465324402,1.340503603219986,1.21938706189394,0.00932971631118562,0.7249189540743828
4,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,4740,3072,16,2.052650488000836,0.7002997156232595,0.5523183904588223,1.170560147613287,0.032443305593915284,0.5860630683600903
4,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,4740,4096,16,3.2835988070000894,2.030034326016903,1.8913149014115334,1.1447631381452084,0.04121238202787936,0.4436497576534748
4,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,4740,5120,16,3.231979008000053,0.84553562104702,0.697288915514946,1.2429357022047043,0.06290568690747023,0.4161569196730852
4,r1_linear,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,20,1024,16,1.3904188350006734,1.8492202386260033,1.806872397661209,0.0,0.006110476067988202,0.8408463597297668
4,r1_linear,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,20,2048,16,1.508869942000274,1.4970126822590828,1.3405929617583752,1.2124181538820267,0.007080585550284013,0.6964772678911686
4,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,20,3072,16,2.180138259999694,0.6881656181067228,0.5453598890453577,1.1631414033472538,0.007853234594222158,0.5219784900546074
4,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,20,4096,16,2.6252422500001558,2.0217952877283096,1.890301637351513,1.140573661774397,0.0060218907601665705,0.34270436502993107
4,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,20,5120,16,4.153182345999994,0.8363858014345169,0.695001881569624,1.2450219094753265,0.006105742766521871,0.3315285947173834
4,r2_prototype_energy,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,24,1024,16,0.9354045729996869,1.8169475123286247,1.7744549438357353,0.0,0.07882859138771892,0.7710225805640221
4,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,24,2048,16,1.5260962539996399,1.510609582066536,1.3576845414936543,1.2180069088935852,0.011441284033935517,0.6110457628965378
4,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,24,3072,16,2.077443721999771,0.6102391090244055,0.46193700283765793,1.262712199240923,0.012103442990337498,0.4285141248255968
4,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,24,4096,16,2.6366119049998815,2.120865076780319,1.997305415570736,1.0611969530582428,0.004726065788418055,0.3440732881426811
4,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,24,5120,16,3.194875875999969,0.8822646476328373,0.7418468575924635,1.2396411299705505,0.006605964668779052,0.32246782071888447
