model_seed,method,stage,angle,angle_type,accuracy,nll
0,r0_mlp,0,-75.0,heldout,0.496875,1.5498180150985719
0,r0_mlp,0,-60.0,train,0.5453125,1.393712544441223
0,r0_mlp,0,-45.0,heldout,0.4984375,1.5037486553192139
0,r0_mlp,0,-30.0,train,0.3640625,1.8524881839752196
0,r0_mlp,0,-15.0,heldout,0.2515625,2.20398325920105
0,r0_mlp,0,0.0,train,0.19375,2.3765028953552245
0,r0_mlp,0,15.0,heldout,0.1875,2.406110239028931
0,r0_mlp,0,30.0,train,0.175,2.331897830963135
0,r0_mlp,0,45.0,heldout,0.1859375,2.2521225929260256
0,r0_mlp,0,60.0,train,0.1578125,2.2820788860321044
0,r0_mlp,0,75.0,heldout,0.1703125,2.2989614486694334
0,r0_mlp,1,-75.0,heldout,0.478125,1.5593501806259156
0,r0_mlp,1,-60.0,train,0.60625,1.2180799484252929
0,r0_mlp,1,-45.0,heldout,0.728125,0.9451518177986145
0,r0_mlp,1,-30.0,train,0.7765625,0.8691318392753601
0,r0_mlp,1,-15.0,heldout,0.740625,0.9501471519470215
0,r0_mlp,1,0.0,train,0.621875,1.094852614402771
0,r0_mlp,1,15.0,heldout,0.55,1.3057148218154908
0,r0_mlp,1,30.0,train,0.4265625,1.606962013244629
0,r0_mlp,1,45.0,heldout,0.2796875,1.9801588773727417
0,r0_mlp,1,60.0,train,0.1578125,2.322074127197266
0,r0_mlp,1,75.0,heldout,0.1453125,2.5084224700927735
0,r0_mlp,2,-75.0,heldout,0.215625,2.3347830772399902
0,r0_mlp,2,-60.0,train,0.2984375,1.9071038722991944
0,r0_mlp,2,-45.0,heldout,0.5125,1.3328779935836792
0,r0_mlp,2,-30.0,train,0.75,0.7784462213516236
0,r0_mlp,2,-15.0,heldout,0.8984375,0.3769746720790863
0,r0_mlp,2,0.0,train,0.921875,0.29090107679367067
0,r0_mlp,2,15.0,heldout,0.8671875,0.4764761447906494
0,r0_mlp,2,30.0,train,0.6765625,0.9974137783050537
0,r0_mlp,2,45.0,heldout,0.4046875,1.802334713935852
0,r0_mlp,2,60.0,train,0.2265625,2.4897152900695803
0,r0_mlp,2,75.0,heldout,0.140625,2.9483920097351075
0,r0_mlp,3,-75.0,heldout,0.28125,2.303893232345581
0,r0_mlp,3,-60.0,train,0.309375,2.0863205909729006
0,r0_mlp,3,-45.0,heldout,0.3796875,1.7662176132202148
0,r0_mlp,3,-30.0,train,0.5453125,1.301915454864502
0,r0_mlp,3,-15.0,heldout,0.7546875,0.7770110487937927
0,r0_mlp,3,0.0,train,0.8109375,0.5878826022148133
0,r0_mlp,3,15.0,heldout,0.7671875,0.7071827292442322
0,r0_mlp,3,30.0,train,0.69375,0.901722514629364
0,r0_mlp,3,45.0,heldout,0.59375,1.1581011772155763
0,r0_mlp,3,60.0,train,0.509375,1.3634170055389405
0,r0_mlp,3,75.0,heldout,0.409375,1.751914119720459
0,r0_mlp,4,-75.0,heldout,0.25,2.3403876781463624
0,r0_mlp,4,-60.0,train,0.284375,2.081712007522583
0,r0_mlp,4,-45.0,heldout,0.4140625,1.6588624000549317
0,r0_mlp,4,-30.0,train,0.596875,1.146384024620056
0,r0_mlp,4,-15.0,heldout,0.8140625,0.6141642689704895
0,r0_mlp,4,0.0,train,0.890625,0.41485713720321654
0,r0_mlp,4,15.0,heldout,0.8703125,0.48155670762062075
0,r0_mlp,4,30.0,train,0.796875,0.6640832543373107
0,r0_mlp,4,45.0,heldout,0.6609375,0.9772949814796448
0,r0_mlp,4,60.0,train,0.53125,1.2823721647262574
0,r0_mlp,4,75.0,heldout,0.396875,1.760437512397766
0,r1_linear,0,-75.0,heldout,0.5046875,1.544998550415039
0,r1_linear,0,-60.0,train,0.5375,1.3890679597854614
0,r1_linear,0,-45.0,heldout,0.49375,1.497795009613037
0,r1_linear,0,-30.0,train,0.3625,1.8460813283920288
0,r1_linear,0,-15.0,heldout,0.2546875,2.200733757019043
0,r1_linear,0,0.0,train,0.1953125,2.3755897521972655
0,r1_linear,0,15.0,heldout,0.184375,2.4120316982269285
0,r1_linear,0,30.0,train,0.159375,2.3464991092681884
0,r1_linear,0,45.0,heldout,0.175,2.2678386688232424
0,r1_linear,0,60.0,train,0.15625,2.296471357345581
0,r1_linear,0,75.0,heldout,0.159375,2.305089235305786
0,r1_linear,1,-75.0,heldout,0.4953125,1.5442597150802613
0,r1_linear,1,-60.0,train,0.6078125,1.2054407596588135
0,r1_linear,1,-45.0,heldout,0.7296875,0.9410080075263977
0,r1_linear,1,-30.0,train,0.775,0.8662121415138244
0,r1_linear,1,-15.0,heldout,0.7421875,0.9429105758666992
0,r1_linear,1,0.0,train,0.63125,1.085636854171753
0,r1_linear,1,15.0,heldout,0.54375,1.3058468103408813
0,r1_linear,1,30.0,train,0.4234375,1.6260319232940674
0,r1_linear,1,45.0,heldout,0.2640625,2.0058427810668946
0,r1_linear,1,60.0,train,0.1546875,2.342207336425781
0,r1_linear,1,75.0,heldout,0.146875,2.5108813285827636
0,r1_linear,2,-75.0,heldout,0.2265625,2.275333595275879
0,r1_linear,2,-60.0,train,0.3078125,1.8536102771759033
0,r1_linear,2,-45.0,heldout,0.525,1.3086292743682861
0,r1_linear,2,-30.0,train,0.7515625,0.7764970421791076
0,r1_linear,2,-15.0,heldout,0.8984375,0.3757790982723236
0,r1_linear,2,0.0,train,0.9234375,0.2860745549201965
0,r1_linear,2,15.0,heldout,0.86875,0.47717897295951844
0,r1_linear,2,30.0,train,0.6828125,1.0175365924835205
0,r1_linear,2,45.0,heldout,0.4015625,1.8348871707916259
0,r1_linear,2,60.0,train,0.2234375,2.505816411972046
0,r1_linear,2,75.0,heldout,0.146875,2.9323524951934816
0,r1_linear,3,-75.0,heldout,0.2921875,2.249728870391846
0,r1_linear,3,-60.0,train,0.3234375,2.0428329944610595
0,r1_linear,3,-45.0,heldout,0.3859375,1.741200590133667
0,r1_linear,3,-30.0,train,0.5359375,1.3022048234939576
0,r1_linear,3,-15.0,heldout,0.74375,0.782858955860138
0,r1_linear,3,0.0,train,0.8078125,0.5853394508361817
0,r1_linear,3,15.0,heldout,0.7734375,0.7024824142456054
0,r1_linear,3,30.0,train,0.690625,0.905766236782074
0,r1_linear,3,45.0,heldout,0.584375,1.1693794965744018
0,r1_linear,3,60.0,train,0.50625,1.3658469915390015
0,r1_linear,3,75.0,heldout,0.415625,1.7386402130126952
0,r1_linear,4,-75.0,heldout,0.2546875,2.2655851364135744
0,r1_linear,4,-60.0,train,0.29375,2.0090012550354004
0,r1_linear,4,-45.0,heldout,0.421875,1.6180203199386596
0,r1_linear,4,-30.0,train,0.6046875,1.1472574710845946
0,r1_linear,4,-15.0,heldout,0.8125,0.6262838423252106
0,r1_linear,4,0.0,train,0.884375,0.41822871565818787
0,r1_linear,4,15.0,heldout,0.865625,0.47741246223449707
0,r1_linear,4,30.0,train,0.803125,0.6570359587669372
0,r1_linear,4,45.0,heldout,0.6578125,0.9751798272132873
0,r1_linear,4,60.0,train,0.53125,1.2750136375427246
0,r1_linear,4,75.0,heldout,0.396875,1.744728970527649
0,r2_prototype_energy,0,-75.0,heldout,0.5328125,1.5322140216827393
0,r2_prototype_energy,0,-60.0,train,0.54375,1.3918950080871582
0,r2_prototype_energy,0,-45.0,heldout,0.453125,1.5505472898483277
0,r2_prototype_energy,0,-30.0,train,0.309375,1.8973516702651978
0,r2_prototype_energy,0,-15.0,heldout,0.2234375,2.1801201820373537
0,r2_prototype_energy,0,0.0,train,0.2078125,2.3049001693725586
0,r2_prototype_energy,0,15.0,heldout,0.1609375,2.35906662940979
0,r2_prototype_energy,0,30.0,train,0.146875,2.3252634525299074
0,r2_prototype_energy,0,45.0,heldout,0.153125,2.2890047073364257
0,r2_prototype_energy,0,60.0,train,0.159375,2.368764877319336
0,r2_prototype_energy,0,75.0,heldout,0.1484375,2.4148542881011963
0,r2_prototype_energy,1,-75.0,heldout,0.4796875,1.5149289846420289
0,r2_prototype_energy,1,-60.0,train,0.609375,1.1874289035797119
0,r2_prototype_energy,1,-45.0,heldout,0.6921875,0.9829659461975098
0,r2_prototype_energy,1,-30.0,train,0.7296875,0.9054830551147461
0,r2_prototype_energy,1,-15.0,heldout,0.753125,0.8686931014060975
0,r2_prototype_energy,1,0.0,train,0.715625,0.9403805732727051
0,r2_prototype_energy,1,15.0,heldout,0.5578125,1.267604947090149
0,r2_prototype_energy,1,30.0,train,0.396875,1.7660792350769043
0,r2_prototype_energy,1,45.0,heldout,0.234375,2.3273502826690673
0,r2_prototype_energy,1,60.0,train,0.13125,2.7069510936737062
0,r2_prototype_energy,1,75.0,heldout,0.128125,2.7964274883270264
0,r2_prototype_energy,2,-75.0,heldout,0.3171875,1.9810981273651123
0,r2_prototype_energy,2,-60.0,train,0.4171875,1.5961793422698975
0,r2_prototype_energy,2,-45.0,heldout,0.578125,1.1990923643112184
0,r2_prototype_energy,2,-30.0,train,0.71875,0.8347968459129333
0,r2_prototype_energy,2,-15.0,heldout,0.8625,0.45046675205230713
0,r2_prototype_energy,2,0.0,train,0.91875,0.3059038192033768
0,r2_prototype_energy,2,15.0,heldout,0.8328125,0.5466407775878906
0,r2_prototype_energy,2,30.0,train,0.60625,1.2786767959594727
0,r2_prototype_energy,2,45.0,heldout,0.3296875,2.3294386863708496
0,r2_prototype_energy,2,60.0,train,0.171875,3.032300662994385
0,r2_prototype_energy,2,75.0,heldout,0.1359375,3.246695947647095
0,r2_prototype_energy,3,-75.0,heldout,0.409375,1.7813103675842286
0,r2_prototype_energy,3,-60.0,train,0.43125,1.5942602396011352
0,r2_prototype_energy,3,-45.0,heldout,0.471875,1.4983697175979613
0,r2_prototype_energy,3,-30.0,train,0.5296875,1.3164117574691772
0,r2_prototype_energy,3,-15.0,heldout,0.646875,0.9412992477416993
0,r2_prototype_energy,3,0.0,train,0.71875,0.7005597710609436
0,r2_prototype_energy,3,15.0,heldout,0.6859375,0.8528945207595825
0,r2_prototype_energy,3,30.0,train,0.6234375,1.0510051012039185
0,r2_prototype_energy,3,45.0,heldout,0.5625,1.2414488554000855
0,r2_prototype_energy,3,60.0,train,0.521875,1.381852674484253
0,r2_prototype_energy,3,75.0,heldout,0.428125,1.7481344938278198
0,r2_prototype_energy,4,-75.0,heldout,0.353125,2.009838581085205
0,r2_prototype_energy,4,-60.0,train,0.3828125,1.75328586101532
0,r2_prototype_energy,4,-45.0,heldout,0.503125,1.469142246246338
0,r2_prototype_energy,4,-30.0,train,0.609375,1.1405746221542359
0,r2_prototype_energy,4,-15.0,heldout,0.7640625,0.6800262093544006
0,r2_prototype_energy,4,0.0,train,0.865625,0.4175187051296234
0,r2_prototype_energy,4,15.0,heldout,0.8609375,0.4411074161529541
0,r2_prototype_energy,4,30.0,train,0.7921875,0.6425302624702454
0,r2_prototype_energy,4,45.0,heldout,0.61875,1.0539851784706116
0,r2_prototype_energy,4,60.0,train,0.45625,1.4288833618164063
0,r2_prototype_energy,4,75.0,heldout,0.3296875,1.9484241008758545
1,r0_mlp,0,-75.0,heldout,0.503125,1.517595100402832
1,r0_mlp,0,-60.0,train,0.5359375,1.428145980834961
1,r0_mlp,0,-45.0,heldout,0.4703125,1.5837340831756592
1,r0_mlp,0,-30.0,train,0.3390625,1.9739999532699586
1,r0_mlp,0,-15.0,heldout,0.2484375,2.2985515117645265
1,r0_mlp,0,0.0,train,0.196875,2.435194206237793
1,r0_mlp,0,15.0,heldout,0.171875,2.4205982208251955
1,r0_mlp,0,30.0,train,0.19375,2.3110918521881105
1,r0_mlp,0,45.0,heldout,0.1953125,2.220606279373169
1,r0_mlp,0,60.0,train,0.1515625,2.246960496902466
1,r0_mlp,0,75.0,heldout,0.1734375,2.366821050643921
1,r0_mlp,1,-75.0,heldout,0.46875,1.5188566446304321
1,r0_mlp,1,-60.0,train,0.603125,1.2301558017730714
1,r0_mlp,1,-45.0,heldout,0.7,1.0020689249038697
1,r0_mlp,1,-30.0,train,0.7328125,0.9321514725685119
1,r0_mlp,1,-15.0,heldout,0.73125,0.976364004611969
1,r0_mlp,1,0.0,train,0.6609375,1.087878370285034
1,r0_mlp,1,15.0,heldout,0.5640625,1.2869126558303834
1,r0_mlp,1,30.0,train,0.4265625,1.58191237449646
1,r0_mlp,1,45.0,heldout,0.2734375,1.9738925695419312
1,r0_mlp,1,60.0,train,0.14375,2.33279128074646
1,r0_mlp,1,75.0,heldout,0.1265625,2.6008411407470704
1,r0_mlp,2,-75.0,heldout,0.1875,2.4294018745422363
1,r0_mlp,2,-60.0,train,0.2859375,1.9850263118743896
1,r0_mlp,2,-45.0,heldout,0.49375,1.3761922359466552
1,r0_mlp,2,-30.0,train,0.73125,0.7863304376602173
1,r0_mlp,2,-15.0,heldout,0.8953125,0.3709619402885437
1,r0_mlp,2,0.0,train,0.9375,0.2707026988267899
1,r0_mlp,2,15.0,heldout,0.8765625,0.4645246207714081
1,r0_mlp,2,30.0,train,0.6609375,1.0305049419403076
1,r0_mlp,2,45.0,heldout,0.3890625,1.8910142660140992
1,r0_mlp,2,60.0,train,0.2125,2.6111228466033936
1,r0_mlp,2,75.0,heldout,0.1359375,3.0852706909179686
1,r0_mlp,3,-75.0,heldout,0.2546875,2.4227007389068604
1,r0_mlp,3,-60.0,train,0.28125,2.2646531581878664
1,r0_mlp,3,-45.0,heldout,0.334375,1.937465000152588
1,r0_mlp,3,-30.0,train,0.478125,1.4671661376953125
1,r0_mlp,3,-15.0,heldout,0.6765625,0.900460135936737
1,r0_mlp,3,0.0,train,0.759375,0.6799317002296448
1,r0_mlp,3,15.0,heldout,0.734375,0.781282103061676
1,r0_mlp,3,30.0,train,0.675,0.9737094879150391
1,r0_mlp,3,45.0,heldout,0.5984375,1.190473484992981
1,r0_mlp,3,60.0,train,0.534375,1.364224410057068
