method,metric,mean,seed_ci_low,seed_ci_high,seed_sd,seed_count
r0_mlp,mean_heldout_accuracy,0.5709375,0.5593766635019322,0.5824983364980678,0.009310760813547047,5
r0_mlp,final_trained_accuracy,0.6353125000000001,0.6224872797071125,0.6481377202928876,0.010329058675648975,5
r0_mlp,mean_forgetting,0.0020000000000000018,0.0002953596463439274,0.003704640353656076,0.0013728676647805408,5
r1_linear,mean_heldout_accuracy,0.5610937500000001,0.5515601329185204,0.5706273670814798,0.007678097371971299,5
r1_linear,final_trained_accuracy,0.62475,0.6164759795910447,0.6330240204089553,0.006663654918661398,5
r1_linear,mean_forgetting,0.0005000000000000004,5.7589132193039915e-05,0.0009424108678069609,0.0003563048203434803,5
r2_prototype_energy,mean_heldout_accuracy,0.5539062499999999,0.5363334343815426,0.5714790656184573,0.01415263359804164,5
r2_prototype_energy,final_trained_accuracy,0.6185625,0.6071188698738107,0.6300061301261893,0.009216366217224655,5
r2_prototype_energy,mean_forgetting,0.000500000000000005,5.758913219304208e-05,0.0009424108678069679,0.00035630482034348227,5
r3_hybrid_energy,mean_heldout_accuracy,0.560625,0.5505662680460948,0.5706837319539053,0.00810100958750242,5
r3_hybrid_energy,final_trained_accuracy,0.6154375,0.606175274863689,0.6246997251363109,0.0074595262081448704,5
r3_hybrid_energy,mean_forgetting,0.0005624999999999946,-7.508191936711939e-05,0.0012000819193671087,0.0005134898976610917,5
