model_seed,method,scale,nominal_csr,nominal_csr_ci_low,nominal_csr_ci_high,functional_csr,functional_csr_ci_low,functional_csr_ci_high,dmr,dmr_ci_low,dmr_ci_high,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high,mean_true_class_log_prob_change
0,r0_mlp,-0.5,0.5729713694618886,0.5473588371503433,0.5993440956885405,0.030556883502888026,0.011190806925202404,0.0585469700918712,0.574281051860448,0.5402671373218878,0.6131158760509233,1.0,1.0,1.0,-0.0003305107776848775
0,r0_mlp,-0.25,0.5628485305052526,0.5364670130828306,0.5944606767948832,0.033015948341753705,0.0015367309728639416,0.1074286369890506,0.574281051860448,0.5402671373218878,0.6131158760509233,1.0,1.0,1.0,-0.0004543802999662903
0,r0_mlp,0.0,1.000000047245901,1.0000000319906277,1.000000064754706,0.9999999941998173,0.9999999833208166,1.000000004350125,0.574281051860448,0.5402671373218878,0.6131158760509233,1.0,1.0,1.0,5.693368191988963e-09
0,r0_mlp,0.25,0.6068937192805094,0.5678906517424486,0.6549621212981642,0.21969648003748582,0.007793715845722398,0.6983997894225693,0.574281051860448,0.5402671373218878,0.6131158760509233,0.9905660377358491,0.9716981132075472,1.0,0.0010694708534569111
0,r0_mlp,0.5,0.6478336095303299,0.5983601293923804,0.7021040817344198,0.2000542040244435,0.121020039759855,0.29659522263285276,0.574281051860448,0.5402671373218878,0.6131158760509233,0.9905660377358491,0.9716981132075472,1.0,0.002420211562289382
0,r1_linear,-0.5,1.0462125551453623,0.9682828533676772,1.127578925248313,0.933359252360071,0.8061246153438804,1.0699345598466479,0.8656848539954529,0.7940614648514738,0.942905137928793,0.9905660377358491,0.9622641509433962,1.0,0.0033744144130427884
0,r1_linear,-0.25,0.9646455347536053,0.8922541636037986,1.0432858170095423,0.6719578585923187,0.3881713057532254,1.033549849145191,0.8656848539954529,0.7940614648514738,0.942905137928793,0.9905660377358491,0.9622641509433962,1.0,0.0016082706597616088
0,r1_linear,0.0,1.0000000402060463,1.0000000252982308,1.000000055345356,1.0000000045355977,0.9999999972770911,1.0000000117323564,0.8656848539954529,0.7940614648514738,0.942905137928793,1.0,1.0,1.0,8.294042551292563e-09
0,r1_linear,0.25,0.7749921735010047,0.7051756486121155,0.8524398467142322,0.4654808058895891,0.21149894791437057,0.7817073484918761,0.8656848539954529,0.7940614648514738,0.942905137928793,1.0,1.0,1.0,-0.000985192767572853
0,r1_linear,0.5,0.7131086846466996,0.6374564655472591,0.7876561079097926,0.4745121801391558,0.35317414539228315,0.6182331179942029,0.8656848539954529,0.7940614648514738,0.942905137928793,1.0,1.0,1.0,-0.001209719844584195
0,r2_prototype_energy,-0.5,1.2212632066852391,1.1425388929047144,1.3066610682304312,1.2308591351929035,1.1205830971038981,1.3439229981148126,1.2308646709428082,1.1554371549282834,1.3092886925641765,0.9433962264150944,0.8962264150943396,0.9811320754716981,0.023399264217828803
0,r2_prototype_energy,-0.25,1.2277533386018489,1.1505807006682085,1.3129705199733122,1.2680583813709387,1.161961099343643,1.3879437391587681,1.2308646709428082,1.1554371549282834,1.3092886925641765,0.9528301886792453,0.9056603773584906,0.9905660377358491,0.01222228062040401
0,r2_prototype_energy,0.0,1.0,0.0,1.0,1.000000008988091,0.9999999955909017,1.000000021834243,1.2308646709428082,1.1554371549282834,1.3092886925641765,1.0,1.0,1.0,0.0
0,r2_prototype_energy,0.25,1.2287785011178554,1.1435761175569912,1.3119458571697387,1.2201701307331163,1.1264075768197228,1.316787481378452,1.2308646709428082,1.1554371549282834,1.3092886925641765,1.0,1.0,1.0,-0.0055602772758816775
