model_seed,stage,current_angle,seen_angles,wall_seconds,forward_images,optimizer_steps,loss,current_ce,anchor_ce,host_diversity
0,0,-60.0,[-60.0],0.895330934001322,1024,16,1.9059385657310486,1.8631475642323494,0.0,0.8558198437094688
0,1,-30.0,"[-60.0, -30.0]",1.455910627000776,2048,16,1.5583863258361816,1.396895568817854,1.2562367990612984,0.7173412926495075
0,2,0.0,"[-60.0, -30.0, 0.0]",2.0241809940016537,3072,16,0.691086083650589,0.5431087873876095,1.1887072436511517,0.5821316167712212
0,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4.234672806998788,4096,16,2.077565521001816,1.9357120171189308,1.1992912515997887,0.4384874328970909
0,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4.515291323001293,5120,16,0.8914676569402218,0.738636489957571,1.3017115518450737,0.4532001428306103
1,0,-60.0,[-60.0],0.9253593680004997,1024,16,2.0141392201185226,1.9713368937373161,0.0,0.8560462296009064
1,1,-30.0,"[-60.0, -30.0]",1.4876029909992212,2048,16,1.5180707946419716,1.3566349409520626,1.2515370845794678,0.7256430424749851
1,2,0.0,"[-60.0, -30.0, 0.0]",2.0495873090003442,3072,16,0.6839432455599308,0.534114696085453,1.1997655034065247,0.5970398746430874
1,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.1926018899994233,4096,16,2.197437822818756,2.0554558858275414,1.1793870106339455,0.48086501471698284
1,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5.933574011000019,5120,16,0.9017611667513847,0.7472062408924103,1.3063007220625877,0.4784970209002495
2,0,-60.0,[-60.0],0.8931282419998752,1024,16,1.9134483113884926,1.8707325607538223,0.0,0.8543150536715984
2,1,-30.0,"[-60.0, -30.0]",1.4874266349997924,2048,16,1.5624406784772873,1.4004595950245857,1.2562770247459412,0.7270684763789177
2,2,0.0,"[-60.0, -30.0, 0.0]",2.0463288299997657,3072,16,0.6923691648989916,0.5431608064100146,1.191648654639721,0.6008699238300323
2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.185918615999981,4096,16,2.0324539244174957,1.8916338607668877,1.1815623492002487,0.4532768316566944
2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4.979227393001565,5120,16,0.8658788576722145,0.7166070640087128,1.270466797053814,0.4445022363215685
3,0,-60.0,[-60.0],0.9562399100013863,1024,16,1.8268117532134056,1.784789502620697,0.0,0.8404451161623001
3,1,-30.0,"[-60.0, -30.0]",1.5596099340000364,2048,16,1.5348892323672771,1.378735475242138,1.206859976053238,0.7093554139137268
3,2,0.0,"[-60.0, -30.0, 0.0]",2.1892405039998266,3072,16,0.6748722065240145,0.5288449367508292,1.1817923039197922,0.5569605492055416
3,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.0901937349990476,4096,16,1.9634483084082603,1.8214441239833832,1.2119090519845486,0.41626640781760216
3,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5.459953790999862,5120,16,0.8521787784993649,0.7048377189785242,1.2740683108568192,0.398684611544013
4,0,-60.0,[-60.0],0.8936727110012725,1024,16,1.9380745887756348,1.8949036225676537,0.0,0.8634191602468491
4,1,-30.0,"[-60.0, -30.0]",1.5033029620026355,2048,16,1.4815011993050575,1.3199956715106964,1.2537066712975502,0.7226969636976719
4,2,0.0,"[-60.0, -30.0, 0.0]",3.03067887999714,3072,16,0.6573549620807171,0.5124617842957377,1.1662050671875477,0.5654534362256527
4,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4.15292085299734,4096,16,1.9958948716521263,1.8603930845856667,1.1419931054115295,0.42604958824813366
4,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3.8875927469998715,5120,16,0.859922856092453,0.71546452306211,1.2369279339909554,0.4153107739984989
