model_seed,stage,current_angle,seen_angles,wall_seconds,forward_images,optimizer_steps,loss,current_ce,anchor_ce,route_geo,context_geo,context_spread,fiber,centroid,host_diversity
0,0,-60.0,[-60.0],1.324384777000887,1024,16,1.8274404928088188,1.7848660051822662,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8489894159138203
0,1,-30.0,"[-60.0, -30.0]",4.75047113599976,2048,16,1.556731328368187,1.3552666492760181,1.2216982170939445,0.12866627983748913,0.04250857466831803,0.00020963217411917867,0.5014275535941124,0.01165978214999086,0.7302504368126392
0,2,0.0,"[-60.0, -30.0, 0.0]",7.470749354999498,3072,16,0.7175729237496853,0.5171247823163867,1.152430597692728,0.2539558978751302,0.050096603110432625,3.274957009580248e-05,0.47606404684484005,0.036922108905855566,0.5829776097089052
0,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",8.873757643001227,4096,16,2.0344742611050606,1.8286719769239426,1.183510396629572,0.3343885689973831,0.07600971916690469,5.0942230700457e-07,0.429350771009922,0.09437775751575828,0.4044990334659815
0,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",8.433045433001098,5120,16,0.8970313258469105,0.6945051997900009,1.2496512308716774,0.2352123148739338,0.07707270327955484,0.0,0.4996451511979103,0.07309799338690937,0.3539069704711437
1,0,-60.0,[-60.0],1.0611202250001952,1024,16,1.9558866396546364,1.9131375774741173,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8524815179407597
1,1,-30.0,"[-60.0, -30.0]",1.6029883659994084,2048,16,1.6175028681755066,1.412396915256977,1.2397688403725624,0.12748053157702088,0.039695704937912524,0.0002491801969881635,0.5564186070114374,0.013868008594727144,0.7176944762468338
1,2,0.0,"[-60.0, -30.0, 0.0]",2.228148677999343,3072,16,0.7259656488895416,0.5248025851324201,1.1940825879573822,0.23109073750674725,0.047820870066061616,3.415597138256565e-05,0.47823939844965935,0.02468682902690489,0.574312187731266
1,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.534884098000475,4096,16,2.1036443263292313,1.887081801891327,1.2245997302234173,0.3739459365606308,0.09927346231415868,2.444048291749823e-06,0.4764918442815542,0.06965764000779018,0.38946177437901497
1,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",6.219140743998651,5120,16,0.9296926483511925,0.7216502167284489,1.2836312800645828,0.2755517475306988,0.07046858500689268,0.0,0.532947288826108,0.019987852196209133,0.34861025772988796
