model_seed,method,angle,best_accuracy,final_accuracy,forgetting
0,r0_mlp,-60.0,0.2921875,0.2921875,0.0
0,r0_mlp,-30.0,0.634375,0.63125,0.0031250000000000444
0,r0_mlp,0.0,0.90625,0.90625,0.0
0,r0_mlp,30.0,0.796875,0.796875,0.0
0,r0_mlp,60.0,0.5625,0.5625,0.0
0,r1_linear,-60.0,0.2765625,0.2734375,0.003124999999999989
0,r1_linear,-30.0,0.6296875,0.6296875,0.0
0,r1_linear,0.0,0.9,0.9,0.0
0,r1_linear,30.0,0.7875,0.7875,0.0
0,r1_linear,60.0,0.5390625,0.5375,0.0015625000000000222
0,r2_prototype_energy,-60.0,0.2546875,0.2546875,0.0
0,r2_prototype_energy,-30.0,0.6421875,0.6390625,0.0031250000000000444
0,r2_prototype_energy,0.0,0.9015625,0.9015625,0.0
0,r2_prototype_energy,30.0,0.7203125,0.7203125,0.0
0,r2_prototype_energy,60.0,0.5171875,0.5171875,0.0
0,r3_hybrid_energy,-60.0,0.284375,0.2828125,0.0015624999999999667
0,r3_hybrid_energy,-30.0,0.603125,0.603125,0.0
0,r3_hybrid_energy,0.0,0.86875,0.86875,0.0
0,r3_hybrid_energy,30.0,0.75625,0.75625,0.0
0,r3_hybrid_energy,60.0,0.5078125,0.5078125,0.0
1,r0_mlp,-60.0,0.25625,0.25625,0.0
1,r0_mlp,-30.0,0.61875,0.609375,0.009375000000000022
1,r0_mlp,0.0,0.90625,0.9,0.006249999999999978
1,r0_mlp,30.0,0.7984375,0.7984375,0.0
1,r0_mlp,60.0,0.5265625,0.5265625,0.0
1,r1_linear,-60.0,0.2515625,0.2515625,0.0
1,r1_linear,-30.0,0.6125,0.6125,0.0
1,r1_linear,0.0,0.9,0.9,0.0
1,r1_linear,30.0,0.79375,0.79375,0.0
1,r1_linear,60.0,0.51875,0.51875,0.0
1,r2_prototype_energy,-60.0,0.2359375,0.2359375,0.0
1,r2_prototype_energy,-30.0,0.61875,0.61875,0.0
1,r2_prototype_energy,0.0,0.903125,0.903125,0.0
1,r2_prototype_energy,30.0,0.8046875,0.8046875,0.0
1,r2_prototype_energy,60.0,0.509375,0.509375,0.0
1,r3_hybrid_energy,-60.0,0.265625,0.2640625,0.0015625000000000222
1,r3_hybrid_energy,-30.0,0.6078125,0.6046875,0.0031249999999999334
1,r3_hybrid_energy,0.0,0.909375,0.909375,0.0
1,r3_hybrid_energy,30.0,0.8109375,0.8109375,0.0
1,r3_hybrid_energy,60.0,0.5109375,0.5109375,0.0
2,r0_mlp,-60.0,0.3046875,0.303125,0.0015625000000000222
2,r0_mlp,-30.0,0.628125,0.628125,0.0
2,r0_mlp,0.0,0.890625,0.8875,0.0031250000000000444
2,r0_mlp,30.0,0.809375,0.809375,0.0
2,r0_mlp,60.0,0.5734375,0.5734375,0.0
2,r1_linear,-60.0,0.2875,0.2859375,0.0015624999999999667
2,r1_linear,-30.0,0.61875,0.6171875,0.0015625000000000222
2,r1_linear,0.0,0.8828125,0.8828125,0.0
2,r1_linear,30.0,0.803125,0.803125,0.0
2,r1_linear,60.0,0.58125,0.58125,0.0
2,r2_prototype_energy,-60.0,0.340625,0.3375,0.003124999999999989
2,r2_prototype_energy,-30.0,0.584375,0.584375,0.0
2,r2_prototype_energy,0.0,0.8515625,0.8515625,0.0
2,r2_prototype_energy,30.0,0.79375,0.79375,0.0
2,r2_prototype_energy,60.0,0.56875,0.5671875,0.0015625000000000222
2,r3_hybrid_energy,-60.0,0.3109375,0.309375,0.0015624999999999667
2,r3_hybrid_energy,-30.0,0.6,0.6,0.0
2,r3_hybrid_energy,0.0,0.859375,0.859375,0.0
2,r3_hybrid_energy,30.0,0.7859375,0.7859375,0.0
2,r3_hybrid_energy,60.0,0.55625,0.55625,0.0
3,r0_mlp,-60.0,0.30625,0.303125,0.0031250000000000444
3,r0_mlp,-30.0,0.63125,0.61875,0.012499999999999956
3,r0_mlp,0.0,0.896875,0.89375,0.0031249999999999334
3,r0_mlp,30.0,0.803125,0.803125,0.0
3,r0_mlp,60.0,0.55625,0.55625,0.0
3,r1_linear,-60.0,0.2859375,0.2859375,0.0
3,r1_linear,-30.0,0.6171875,0.615625,0.0015625000000000222
3,r1_linear,0.0,0.8859375,0.8859375,0.0
3,r1_linear,30.0,0.796875,0.796875,0.0
3,r1_linear,60.0,0.534375,0.534375,0.0
3,r2_prototype_energy,-60.0,0.29375,0.2921875,0.0015625000000000222
3,r2_prototype_energy,-30.0,0.6171875,0.6171875,0.0
3,r2_prototype_energy,0.0,0.8859375,0.884375,0.0015625000000000222
3,r2_prototype_energy,30.0,0.790625,0.790625,0.0
3,r2_prototype_energy,60.0,0.559375,0.559375,0.0
3,r3_hybrid_energy,-60.0,0.290625,0.2875,0.0031250000000000444
3,r3_hybrid_energy,-30.0,0.6265625,0.625,0.0015625000000000222
3,r3_hybrid_energy,0.0,0.8703125,0.8703125,0.0
3,r3_hybrid_energy,30.0,0.7765625,0.7765625,0.0
3,r3_hybrid_energy,60.0,0.5359375,0.534375,0.0015624999999999112
4,r0_mlp,-60.0,0.328125,0.328125,0.0
4,r0_mlp,-30.0,0.6390625,0.6359375,0.0031249999999999334
4,r0_mlp,0.0,0.909375,0.9046875,0.004687500000000067
4,r0_mlp,30.0,0.80625,0.80625,0.0
4,r0_mlp,60.0,0.5515625,0.5515625,0.0
4,r1_linear,-60.0,0.2796875,0.278125,0.0015624999999999667
4,r1_linear,-30.0,0.621875,0.621875,0.0
4,r1_linear,0.0,0.9,0.8984375,0.0015625000000000222
4,r1_linear,30.0,0.7953125,0.7953125,0.0
4,r1_linear,60.0,0.53125,0.53125,0.0
4,r2_prototype_energy,-60.0,0.2421875,0.2421875,0.0
4,r2_prototype_energy,-30.0,0.596875,0.596875,0.0
4,r2_prototype_energy,0.0,0.903125,0.903125,0.0
4,r2_prototype_energy,30.0,0.7796875,0.7796875,0.0
4,r2_prototype_energy,60.0,0.5609375,0.559375,0.0015625000000000222
4,r3_hybrid_energy,-60.0,0.271875,0.271875,0.0
4,r3_hybrid_energy,-30.0,0.603125,0.603125,0.0
4,r3_hybrid_energy,0.0,0.8984375,0.8984375,0.0
4,r3_hybrid_energy,30.0,0.7640625,0.7640625,0.0
4,r3_hybrid_energy,60.0,0.525,0.525,0.0
