model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
0,r1_linear_vs_r0_mlp,trained,nominal,rho,-0.039757403591146934,-0.06161106409371506,-0.018828899757206197,640
0,r1_linear_vs_r0_mlp,trained,nominal,stress,0.048529204117576316,0.040057817774702874,0.0564633111219286,640
0,r1_linear_vs_r0_mlp,trained,functional,rho,-0.02608117457665547,-0.049270675894364534,-0.003319738233909816,640
0,r1_linear_vs_r0_mlp,trained,functional,stress,0.03831710197213333,0.02794537099539633,0.04830667080150897,640
0,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,-0.03189447892546405,-0.04794560309774278,-0.016468031810383362,640
0,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,0.04386823076056546,0.0370818975420105,0.05062302927414161,640
0,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,-0.016535103006352796,-0.0346825802737076,0.0017091268025562626,640
0,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,0.024840603839214097,0.01639679236586236,0.033134999760480434,640
0,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.003764190847125831,-0.013418992753434578,0.021125403790521937,640
0,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,0.00284674130467182,-0.003635143322764057,0.009066548086151073,640
0,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,-0.02993475254152308,-0.052664406797960577,-0.0077160946415093905,640
0,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.045588052455770446,-0.05394885308826355,-0.03738713861501364,640
0,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,-0.010261676857027242,-0.024556342566436126,0.004000065612254844,640
0,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,0.003934068066107646,-0.0009964306036752335,0.009001729292553653,640
0,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,-0.020834575590089,-0.03896663584784394,-0.002350013332464418,640
0,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.053704301025584676,-0.06018399007801899,-0.04722784811449583,640
0,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,-0.0035953485136135917,-0.02218017177987487,0.014679351113593591,640
0,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,0.005804795964774855,-0.000918247061916057,0.012394300117374664,640
0,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,-0.012911472562700732,-0.03501094763905872,0.009357838037366626,640
0,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.04347174130356976,-0.05127998666844794,-0.035435505210778755,640
