model_seed,method,category,mean_functional_distance,mean_log_prob_change
0,r0_mlp,far,0.07286376471547659,-0.015300680144028094
0,r0_mlp,near,0.03306077754830221,-0.002863066497535372
0,r1_linear,far,0.14401939046622725,0.0013808664461632944
0,r1_linear,near,0.06288386086774292,0.0024725427234206857
0,r2_prototype_energy,far,0.635669285308558,-0.05526917076101468
0,r2_prototype_energy,near,0.36670741558547204,0.008371589272518853
0,r3_hybrid_energy,far,0.7119440640002053,-0.02034999876277252
0,r3_hybrid_energy,near,0.41252015953595644,-0.026974643784544644
1,r0_mlp,far,0.14920734134082478,-0.020045881332981887
1,r0_mlp,near,0.06922423755824178,-0.007206658613077312
1,r1_linear,far,0.1274631153561483,-0.0019584003970636137
1,r1_linear,near,0.04817981310967697,0.0005562470202975145
1,r2_prototype_energy,far,0.6453303430433557,-0.08740910171361277
1,r2_prototype_energy,near,0.3036725505714543,-0.026948777975398
1,r3_hybrid_energy,far,0.7137878589036686,0.00409814909498834
1,r3_hybrid_energy,near,0.3519797210344931,-0.016015273200249987
2,r0_mlp,far,0.11540645520246745,-0.019138900431329913
2,r0_mlp,near,0.05525838665904342,-0.004651291175193293
2,r1_linear,far,0.07474772288580014,-0.010317278477076277
2,r1_linear,near,0.03262640694828004,-0.0038792062273328566
2,r2_prototype_energy,far,0.6061512190022699,-0.13029320548001513
2,r2_prototype_energy,near,0.3027741714477052,-0.035685297855025284
2,r3_hybrid_energy,far,0.656511721966507,-0.0645279916794092
2,r3_hybrid_energy,near,0.3373178588584112,-0.02397100393528113
3,r0_mlp,far,0.1397998141121782,-0.023435286098634298
3,r0_mlp,near,0.06865939382794178,-0.007212343388963065
3,r1_linear,far,0.11703539530241318,-0.0028576441003747705
3,r1_linear,near,0.05519231028744892,-0.00010503382239834792
3,r2_prototype_energy,far,0.6095554684211921,0.0011873757911834326
3,r2_prototype_energy,near,0.3117416400746659,-0.013325943261969469
3,r3_hybrid_energy,far,0.6795573656868963,-0.0018547081335816744
3,r3_hybrid_energy,near,0.34467027849525744,-4.748257465268436e-05
4,r0_mlp,far,0.1781251735459959,-0.052179836136810244
4,r0_mlp,near,0.0897682257391554,-0.013168811376364727
4,r1_linear,far,0.08043278657410415,0.0023272054662353964
4,r1_linear,near,0.037143172568931744,0.0011677351893992149
4,r2_prototype_energy,far,0.6636819080646575,-0.011943979997117564
4,r2_prototype_energy,near,0.35430455601872884,-0.0064369677256167586
4,r3_hybrid_energy,far,0.6923121736817871,0.03294292814186159
4,r3_hybrid_energy,near,0.3815531017588314,0.010088609033953233
