model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,common_bank_hash,router_parameters,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance
0,r0_mlp,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,1024,16,0.8662194369990175,2.1270523741841316,2.126935623586178,0.0,0.005837376622366719
0,r0_mlp,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,2048,16,1.8333060900004057,1.3781759813427925,1.1675041653215885,2.1033506989479065,0.016836029710248113
0,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,3072,16,1.9797649689990067,0.5703230630606413,0.4070387538522482,1.6290737837553024,0.018846222548745573
0,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,4096,16,4.370557442000063,1.3705513551831245,1.24812001734972,1.220199003815651,0.02057102508842945
0,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,5120,16,3.6837611440005276,0.742691844701767,0.6197758074849844,1.222571238875389,0.0329453261801973
0,r1_linear,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,1024,16,1.2317894409989094,2.1518765315413475,2.15161944180727,0.0,0.012854452477768064
0,r1_linear,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,2048,16,1.4178168530015682,1.384846605360508,1.1695517003536224,2.148345500230789,0.02301820321008563
0,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,3072,16,2.975730553000176,0.5759429670870304,0.40953488275408745,1.6577267348766327,0.03177005343604833
0,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,4096,16,2.981231095000112,1.4160752221941948,1.2914418205618858,1.2408547550439835,0.02739563025534153
0,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,5120,16,3.6318009269998583,0.7542357966303825,0.6284944526851177,1.251820482313633,0.02796431491151452
0,r2_prototype_energy,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,1024,16,0.8791545550011506,2.1945679113268852,2.192674368619919,0.0,0.09467636840417981
0,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,2048,16,1.4415761079999356,1.4113778695464134,1.1923472583293915,2.1820027604699135,0.04151731950696558
0,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,3072,16,1.971943429998646,0.6544363703578711,0.4855880197137594,1.6832753717899323,0.02604067890206352
0,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,4096,16,3.013742535998972,1.433414839208126,1.30512086302042,1.2812421694397926,0.00848750997101888
0,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,5120,16,6.254913306000162,0.8381780609488487,0.7095342557877302,1.2845836654305458,0.009271203991374932
0,r3_hybrid_energy,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,1024,16,0.8887807639985112,2.050231620669365,2.047825373709202,0.0,0.12031208397820592
0,r3_hybrid_energy,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,2048,16,1.454820529999779,1.43354781717062,1.2283518984913826,2.0444012731313705,0.037789590656757355
0,r3_hybrid_energy,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,3072,16,1.9700797510013217,0.6493820697069168,0.48551862873136997,1.6339812278747559,0.023265539610292763
0,r3_hybrid_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,4096,16,3.021976744001222,1.4952086955308914,1.3702958077192307,1.2485085502266884,0.00310183961482835
0,r3_hybrid_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,5120,16,4.870931680001377,0.8147493302822113,0.6869914829730988,1.2764903828501701,0.0054399628425017
1,r0_mlp,0,-60.0,[-60.0],69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,4740,1024,16,0.8807625509998616,2.1726608648896217,2.172550395131111,0.0,0.005523995052499231
1,r0_mlp,1,-30.0,"[-60.0, -30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,4740,2048,16,1.434408702998553,1.4196900054812431,1.2045531794428825,2.1480549573898315,0.016566052625421435
1,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,4740,3072,16,1.974123714999223,0.5474288109689951,0.3812746424227953,1.6573128327727318,0.021144184982404113
1,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,4740,4096,16,3.787919098000202,1.3918922320008278,1.2689110562205315,1.2225002869963646,0.03655695740599185
1,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,4740,5120,16,3.841229755000313,0.7211403921246529,0.597058130428195,1.2335580736398697,0.03632250358350575
1,r1_linear,0,-60.0,[-60.0],69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,20,1024,16,1.3197028859995044,2.1970601081848145,2.196946397423744,0.0,0.005684318079147488
1,r1_linear,1,-30.0,"[-60.0, -30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,20,2048,16,1.4393749490009213,1.4336547702550888,1.2141440361738205,2.1938402205705643,0.006335901998681948
1,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,20,3072,16,3.103101153001262,0.5608806759119034,0.3904874585568905,1.702557198703289,0.006874762359075248
1,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,20,4096,16,3.122885042999769,1.3976984545588493,1.271120324730873,1.2645627930760384,0.006091686867875978
1,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,20,5120,16,3.7998036030003277,0.7253294140100479,0.5986394230276346,1.265600249171257,0.006498163711512461
1,r2_prototype_energy,0,-60.0,[-60.0],69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,24,1024,16,0.8917035009999381,2.143959105014801,2.141569510102272,0.0,0.11948085390031338
1,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,24,2048,16,1.448737886001254,1.4062375649809837,1.1915671788156033,2.1375822275877,0.045608874526806176
1,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,24,3072,16,2.3244802389999677,0.5731606706976891,0.4065298084169626,1.6633175909519196,0.014955133709008805
1,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,24,4096,16,3.129413554999701,1.4200465008616447,1.2955950424075127,1.2441119700670242,0.002012884222494904
1,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,24,5120,16,5.202703528999336,0.7658743001520634,0.6401233766227961,1.2566111460328102,0.004490828185225837
1,r3_hybrid_energy,0,-60.0,[-60.0],69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,42,1024,16,0.8824912899999617,2.1096750125288963,2.1057369112968445,0.0,0.19690607581287622
1,r3_hybrid_energy,1,-30.0,"[-60.0, -30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,42,2048,16,1.8761768360000133,1.3954777047038078,1.183749970048666,2.100840285420418,0.08218465652316809
1,r3_hybrid_energy,2,0.0,"[-60.0, -30.0, 0.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,42,3072,16,1.9985650529997656,0.5956588312983513,0.43100304529070854,1.6401339918375015,0.0321191594703123
1,r3_hybrid_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,42,4096,16,3.50021218800066,1.4565693363547325,1.3327684253454208,1.2356948554515839,0.011571911920327693
1,r3_hybrid_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",69491e17d8bbca1e8038b4ba470ff9d794f19a9c4bfbade32cc0422e38b17a7f,09f1faa20a791eb178a66f4487d8b16f4d766d3f94e01771deb9fa46be542f86,42,5120,16,5.165599433001262,0.7616296894848347,0.6355890966951847,1.2589943930506706,0.007057362263367395
2,r0_mlp,0,-60.0,[-60.0],afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,4740,1024,16,1.1942179840007157,2.1002894267439842,2.1002345830202103,0.0,0.002742123935604468
2,r0_mlp,1,-30.0,"[-60.0, -30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,4740,2048,16,1.4589743060005276,1.4239550232887268,1.2167967408895493,2.0690506920218468,0.012661251035751775
2,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,4740,3072,16,3.158527180999954,0.559155648574233,0.3960305508226156,1.6272886246442795,0.019811545149423182
2,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,4740,4096,16,3.0727195990002656,1.3350265994668007,1.213442962616682,1.2113128826022148,0.022617293754592538
2,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,4740,5120,16,4.222712536000472,0.7043676450848579,0.5827770084142685,1.2100373730063438,0.02934482356067747
2,r1_linear,0,-60.0,[-60.0],afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,20,1024,16,0.8563181930003338,2.082712337374687,2.08261401951313,0.0,0.004915988247375935
2,r1_linear,1,-30.0,"[-60.0, -30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,20,2048,16,1.4469794319993525,1.434593565762043,1.2265492379665375,2.078995920717716,0.007236796285724267
2,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,20,3072,16,1.9552441989999352,0.5715028792619705,0.40619125589728355,1.651046797633171,0.010346712835598737
2,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,20,4096,16,3.3386681690008118,1.3254471197724342,1.2016781643033028,1.2354250252246857,0.011321703321300447
2,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,20,5120,16,4.479934125,0.7127532586455345,0.5898382570594549,1.2265704795718193,0.012897679989691824
2,r2_prototype_energy,0,-60.0,[-60.0],afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,24,1024,16,0.9022680979996949,1.9706171602010727,1.9677258133888245,0.0,0.144567443523556
2,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,24,2048,16,1.4535120269993058,1.4666368439793587,1.268822580575943,1.9648780822753906,0.06632353342138231
2,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,24,3072,16,1.9905564700002287,0.6677233465015888,0.5054997187107801,1.6143308356404305,0.03952701110392809
2,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,24,4096,16,3.8196164010005305,1.3169593065977097,1.1921084746718407,1.243063509464264,0.02722430636640638
2,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,24,5120,16,3.7344184819994553,0.7688022404909134,0.6454443708062172,1.229964129626751,0.018073534301947802
2,r3_hybrid_energy,0,-60.0,[-60.0],afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,42,1024,16,1.3597852399998374,1.9873071536421776,1.9847848415374756,0.0,0.12611582782119513
2,r3_hybrid_energy,1,-30.0,"[-60.0, -30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,42,2048,16,1.4759768339990842,1.4700748771429062,1.2711156457662582,1.9819744899868965,0.03808963787741959
2,r3_hybrid_energy,2,0.0,"[-60.0, -30.0, 0.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,42,3072,16,3.1026152899994486,0.6632662527263165,0.5006263349205256,1.6244947239756584,0.009522015272523277
2,r3_hybrid_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,42,4096,16,3.0797636580009566,1.3810615167021751,1.2558972015976906,1.2482676059007645,0.016876806010259315
2,r3_hybrid_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",afd118c9727d830b09eda5acc9584cbdf1b657254a4d6c4512776d1d7f5fc73b,c6de439b1dcfa2eb59407de981d28d683212e62e7c77f749dbafcc3e212c0fc1,42,5120,16,5.025230576000467,0.7927424684166908,0.667478833347559,1.2491640970110893,0.01736102969152853
3,r0_mlp,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,4740,1024,16,0.8685961430001043,2.104700669646263,2.1046330630779266,0.0,0.0033803297847043723
3,r0_mlp,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,4740,2048,16,1.3951910399991903,1.384459301829338,1.1760449074208736,2.0825824216008186,0.0078071805473882705
3,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,4740,3072,16,2.1908991759992205,0.5445309970527887,0.3830349203199148,1.6116189658641815,0.01670856645796448
3,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,4740,4096,16,2.9962116980004794,1.3474533930420876,1.2275277450680733,1.1947210803627968,0.022677003871649504
3,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,4740,5120,16,3.6345329719988513,0.6977682635188103,0.5773110035806894,1.1998367756605148,0.023679064004682004
3,r1_linear,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,20,1024,16,1.224783846999344,2.1268471851944923,2.1263343691825867,0.0,0.02564024005550891
3,r1_linear,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,20,2048,16,1.423859115000596,1.3958741798996925,1.1827885806560516,2.1241494491696358,0.03353244625031948
3,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,20,3072,16,2.7848899770015123,0.5617091152817011,0.39576062373816967,1.6522733494639397,0.036057465709745884
3,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,20,4096,16,3.0263754169991444,1.3658800274133682,1.241977870464325,1.2328771352767944,0.030722043476998806
3,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,20,5120,16,4.856853568000588,0.7032468728721142,0.5791814643889666,1.234703615307808,0.029751934693194926
3,r2_prototype_energy,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,24,1024,16,0.8810362770000211,2.0532417446374893,2.0516451969742775,0.0,0.0798283345066011
