model_seed,method,source_index,target_angle,donor_angle,gap,category,nominal_route_distance,functional_route_distance,prediction_preserved,true_log_prob_change
4,r0_mlp,544,-75.0,-60.0,15.0,near,0.012528198771178722,5.150749302629265e-07,1,-0.016751885414123535
4,r0_mlp,4306,-75.0,-60.0,15.0,near,0.033211663365364075,0.030866485089063644,1,-0.06852197647094727
4,r0_mlp,6410,-75.0,-60.0,15.0,near,0.015516971237957478,0.008189993910491467,1,0.016151905059814453
4,r0_mlp,6382,-75.0,-60.0,15.0,near,0.034668438136577606,0.044740308076143265,1,-0.09579706192016602
4,r0_mlp,8949,-75.0,-60.0,15.0,near,0.028212469071149826,0.013371619395911694,1,0.001422882080078125
4,r0_mlp,9600,-75.0,-60.0,15.0,near,0.11664470285177231,0.15275314450263977,1,0.22872936725616455
4,r0_mlp,486,-75.0,-60.0,15.0,near,0.026360152289271355,0.0060704536736011505,1,-0.02371811866760254
4,r0_mlp,109,-75.0,-60.0,15.0,near,0.027864541858434677,0.02415427938103676,1,0.0409550666809082
4,r0_mlp,2500,-75.0,-60.0,15.0,near,0.04739004001021385,0.04505486413836479,1,0.007828235626220703
4,r0_mlp,1413,-75.0,-60.0,15.0,near,0.2384745478630066,0.33424338698387146,1,0.278764009475708
4,r0_mlp,360,-75.0,-60.0,15.0,near,0.019662272185087204,6.647216650890186e-05,1,-0.03000783920288086
4,r0_mlp,2139,-75.0,-60.0,15.0,near,0.11627397686243057,0.13653405010700226,1,-0.04994487762451172
4,r0_mlp,9158,-75.0,-60.0,15.0,near,0.2191046178340912,0.2865489423274994,1,0.2570266127586365
4,r0_mlp,3213,-75.0,-60.0,15.0,near,0.026899652555584908,0.01521157193928957,1,0.03649425506591797
4,r0_mlp,8351,-75.0,-60.0,15.0,near,0.015596788376569748,2.3013346890365938e-06,1,0.05814099311828613
4,r0_mlp,4655,-75.0,-60.0,15.0,near,0.07888481765985489,0.1040845662355423,1,0.029601454734802246
4,r0_mlp,6249,-75.0,-60.0,15.0,near,0.0213572196662426,0.008770513348281384,1,0.005119442939758301
4,r0_mlp,8929,-75.0,-60.0,15.0,near,0.054687656462192535,0.0666276067495346,1,0.21221399307250977
4,r0_mlp,6036,-75.0,-60.0,15.0,near,0.035573747009038925,0.037281885743141174,1,0.038146257400512695
4,r0_mlp,1671,-75.0,-60.0,15.0,near,0.04374048113822937,0.06453147530555725,1,0.0781393051147461
