model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
1,r5_smooth_residual_continuity_vs_r1_linear,trained,nominal,rho,-0.05765469094344441,-0.08514669219512422,-0.030014207757293604,640
1,r5_smooth_residual_continuity_vs_r1_linear,trained,nominal,stress,0.02638935186027838,0.013872093304591378,0.03871248578726151,640
1,r5_smooth_residual_continuity_vs_r1_linear,trained,functional,rho,-0.052430510506536264,-0.08043276322199204,-0.02381570773700006,640
1,r5_smooth_residual_continuity_vs_r1_linear,trained,functional,stress,0.03300527660018584,0.02004339930144252,0.046230555885482076,640
1,r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,nominal,rho,-0.04812700510789438,-0.06859049183607278,-0.026842094344867472,640
1,r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,nominal,stress,0.015539655750244658,0.0057346441002045865,0.024284448218992765,640
1,r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,functional,rho,-0.046588185831945905,-0.06861822804493234,-0.022256974830928283,640
1,r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,functional,stress,0.021909430898369074,0.011391224806483101,0.03146409530820927,640
1,r5_smooth_residual_continuity_vs_r0_mlp,trained,nominal,rho,0.07559170590362711,0.061468044705328205,0.08946781444529114,640
1,r5_smooth_residual_continuity_vs_r0_mlp,trained,nominal,stress,-0.05533694779161454,-0.060370453930320214,-0.049775475649186385,640
1,r5_smooth_residual_continuity_vs_r0_mlp,trained,functional,rho,0.06236241247784452,0.048188595174590516,0.0768927850618685,640
1,r5_smooth_residual_continuity_vs_r0_mlp,trained,functional,stress,-0.03417217445070415,-0.040570332712552656,-0.027644959739570613,640
1,r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,nominal,rho,0.04123978025861186,0.029538774267025874,0.05271594285318307,640
1,r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,nominal,stress,-0.046309378458962394,-0.05077800398172227,-0.04198070844180703,640
1,r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,functional,rho,0.033522630406570594,0.02098341457061848,0.04583628242449855,640
1,r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,functional,stress,-0.027152830713348168,-0.032776200948440096,-0.021705670069830103,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,nominal,rho,-0.052351055290765815,-0.07892932156108527,-0.02520468422768754,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,nominal,stress,-0.0017887769338095778,-0.012586957648317994,0.008488700141314195,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,functional,rho,-0.06863937452371134,-0.09488963973142835,-0.042750878845299274,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,functional,stress,0.02432988168686976,0.012701304100947355,0.035108414054166724,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,nominal,rho,-0.02192097047217248,-0.042098594143845085,-0.0007763256796639046,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,nominal,stress,-0.011521492938231032,-0.020353843454516435,-0.0027407787542220786,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,functional,rho,-0.025580709199615505,-0.04610139735593542,-0.004855133308239524,640
1,r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,functional,stress,0.008183066024272627,-0.0012392076530789537,0.017357972309735306,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,nominal,rho,0.05244044240850757,0.02206570660965554,0.08414754285681057,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,nominal,stress,-0.03282473321768914,-0.04642920161945252,-0.019436719215805587,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,functional,rho,0.032417728034350134,0.0010421048143395134,0.06425295001808301,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,functional,stress,-0.01572628638070647,-0.029937668500625094,-0.0016244538903534731,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,nominal,rho,0.049155766309230735,0.02560657231385078,0.07350801360372103,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,nominal,stress,-0.03427439401698412,-0.044722025324092106,-0.024299803859507623,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,functional,rho,0.03285984307797855,0.008739283180091689,0.05876517398440225,640
1,r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,functional,stress,-0.020378606025291623,-0.03193379057407056,-0.009283703890871674,640
1,r4_smooth_residual_vs_r1_linear,trained,nominal,rho,-0.11009513335195198,-0.13387384475410893,-0.08593503691409683,640
1,r4_smooth_residual_vs_r1_linear,trained,nominal,stress,0.059214085077967514,0.04820850918512637,0.06954671198384821,640
1,r4_smooth_residual_vs_r1_linear,trained,functional,rho,-0.08484823854088638,-0.10775170108182183,-0.061090880727967777,640
1,r4_smooth_residual_vs_r1_linear,trained,functional,stress,0.048731562980892304,0.037677840869010486,0.05955863400763839,640
1,r4_smooth_residual_vs_r1_linear,heldout_dense,nominal,rho,-0.09728277141712513,-0.11667715336744418,-0.07858971931939776,640
1,r4_smooth_residual_vs_r1_linear,heldout_dense,nominal,stress,0.04981404976722879,0.04162844701909602,0.057991189652408126,640
1,r4_smooth_residual_vs_r1_linear,heldout_dense,functional,rho,-0.07944802890992446,-0.09764982592138341,-0.06129824629533977,640
1,r4_smooth_residual_vs_r1_linear,heldout_dense,functional,stress,0.0422880369236607,0.03381414606123057,0.05029650064065623,640
