model_seed,angle,row,column,value
3,-75.0,0,0,0.15478711787629368
3,-75.0,0,1,0.04883187017147475
3,-75.0,0,2,0.022742707263174823
3,-75.0,0,3,0.017319021140059974
3,-75.0,1,0,0.04883187017147475
3,-75.0,1,1,0.12054455608661097
3,-75.0,1,2,0.03460430738560938
3,-75.0,1,3,-0.07595857469436082
3,-75.0,2,0,0.022742707263174823
3,-75.0,2,1,0.03460430738560938
3,-75.0,2,2,0.16301271626046365
3,-75.0,2,3,0.05317292058730659
3,-75.0,3,0,0.017319021140059974
3,-75.0,3,1,-0.07595857469436082
3,-75.0,3,2,0.05317292058730659
3,-75.0,3,3,0.16104889212840756
3,-60.0,0,0,0.17377554277521373
3,-60.0,0,1,0.06106988626699299
3,-60.0,0,2,0.03891619998047666
3,-60.0,0,3,0.007893300361970515
3,-60.0,1,0,0.06106988626699299
3,-60.0,1,1,0.16893934492707108
3,-60.0,1,2,0.041362932532310104
3,-60.0,1,3,-0.1091086240197366
3,-60.0,2,0,0.03891619998047666
3,-60.0,2,1,0.041362932532310104
3,-60.0,2,2,0.1982687739081961
3,-60.0,2,3,0.06252578519885864
3,-60.0,3,0,0.007893300361970515
3,-60.0,3,1,-0.1091086240197366
3,-60.0,3,2,0.06252578519885864
3,-60.0,3,3,0.19698823494938603
3,-45.0,0,0,0.20286442613088976
3,-45.0,0,1,0.06184856113147325
3,-45.0,0,2,0.02099475192528866
3,-45.0,0,3,0.014097381441708481
3,-45.0,1,0,0.06184856113147325
3,-45.0,1,1,0.20241241174320318
3,-45.0,1,2,0.04578981126711124
3,-45.0,1,3,-0.09913413718982955
3,-45.0,2,0,0.02099475192528866
3,-45.0,2,1,0.04578981126711124
3,-45.0,2,2,0.21760681121005174
3,-45.0,2,3,0.06321429659831357
3,-45.0,3,0,0.014097381441708481
3,-45.0,3,1,-0.09913413718982955
3,-45.0,3,2,0.06321429659831357
3,-45.0,3,3,0.17066886556313904
3,-30.0,0,0,0.2007870417351827
3,-30.0,0,1,0.046685089275710294
3,-30.0,0,2,0.01119293379814795
3,-30.0,0,3,0.044747723413589555
3,-30.0,1,0,0.046685089275710294
3,-30.0,1,1,0.20476469045267146
3,-30.0,1,2,0.06373475862889036
3,-30.0,1,3,-0.07198758673757814
3,-30.0,2,0,0.01119293379814795
3,-30.0,2,1,0.06373475862889036
3,-30.0,2,2,0.19556315404169589
3,-30.0,2,3,0.03839554963862561
3,-30.0,3,0,0.044747723413589555
3,-30.0,3,1,-0.07198758673757814
3,-30.0,3,2,0.03839554963862561
3,-30.0,3,3,0.12860623941967014
3,-15.0,0,0,0.18136544043014666
3,-15.0,0,1,0.03716570570331629
3,-15.0,0,2,0.017198323637259993
3,-15.0,0,3,0.06346891877712552
3,-15.0,1,0,0.03716570570331629
3,-15.0,1,1,0.20137873625750904
3,-15.0,1,2,0.06513499653470543
3,-15.0,1,3,-0.06973955239701583
3,-15.0,2,0,0.017198323637259993
3,-15.0,2,1,0.06513499653470543
3,-15.0,2,2,0.17215647629048778
3,-15.0,2,3,0.03902005180032321
3,-15.0,3,0,0.06346891877712552
3,-15.0,3,1,-0.06973955239701583
3,-15.0,3,2,0.03902005180032321
3,-15.0,3,3,0.1339025801940863
3,0.0,0,0,0.15688500832878263
3,0.0,0,1,0.04013442986245028
3,0.0,0,2,0.003299082317206589
3,0.0,0,3,0.050367464885809655
3,0.0,1,0,0.04013442986245028
3,0.0,1,1,0.19306171762044289
3,0.0,1,2,0.06732340691549338
3,0.0,1,3,-0.07639676365318519
3,0.0,2,0,0.003299082317206589
3,0.0,2,1,0.06732340691549338
3,0.0,2,2,0.17200886046062314
3,0.0,2,3,0.0354700035249937
3,0.0,3,0,0.050367464885809655
3,0.0,3,1,-0.07639676365318519
3,0.0,3,2,0.0354700035249937
3,0.0,3,3,0.14069409682245199
3,15.0,0,0,0.15294588542263854
3,15.0,0,1,0.0422727029913998
3,15.0,0,2,-0.018507996958495625
3,15.0,0,3,0.03812482254350261
3,15.0,1,0,0.0422727029913998
3,15.0,1,1,0.17656689721696278
3,15.0,1,2,0.07070569274159857
3,15.0,1,3,-0.0662622104138925
3,15.0,2,0,-0.018507996958495625
3,15.0,2,1,0.07070569274159857
3,15.0,2,2,0.1731232104166198
3,15.0,2,3,0.022775161449554902
3,15.0,3,0,0.03812482254350261
3,15.0,3,1,-0.0662622104138925
3,15.0,3,2,0.022775161449554902
3,15.0,3,3,0.11792159565793038
3,30.0,0,0,0.16022701671710005
3,30.0,0,1,0.044285156965688556
3,30.0,0,2,-0.04558951624740602
3,30.0,0,3,0.01685216173066147
3,30.0,1,0,0.044285156965688556
3,30.0,1,1,0.15293415114789013
3,30.0,1,2,0.06288803394032103
3,30.0,1,3,-0.060893711694709925
3,30.0,2,0,-0.04558951624740602
3,30.0,2,1,0.06288803394032103
3,30.0,2,2,0.18370409851552705
3,30.0,2,3,0.013682420279001664
3,30.0,3,0,0.01685216173066147
3,30.0,3,1,-0.060893711694709925
3,30.0,3,2,0.013682420279001664
3,30.0,3,3,0.0973093175847905
3,45.0,0,0,0.1806692961316353
3,45.0,0,1,0.047682786130400535
3,45.0,0,2,-0.06285885613056935
3,45.0,0,3,0.010419106577095218
3,45.0,1,0,0.047682786130400535
3,45.0,1,1,0.13059838492496517
3,45.0,1,2,0.046891629732947644
3,45.0,1,3,-0.05195683165591887
3,45.0,2,0,-0.06285885613056935
3,45.0,2,1,0.046891629732947644
3,45.0,2,2,0.17528117557986775
3,45.0,2,3,0.0073637973321368224
3,45.0,3,0,0.010419106577095218
3,45.0,3,1,-0.05195683165591887
3,45.0,3,2,0.0073637973321368224
3,45.0,3,3,0.08408326104109028
3,60.0,0,0,0.22806370184375202
3,60.0,0,1,0.06815909697051672
3,60.0,0,2,-0.06157965918225448
3,60.0,0,3,0.009659105811167683
3,60.0,1,0,0.06815909697051672
3,60.0,1,1,0.1293072409887617
3,60.0,1,2,0.04188773702721032
3,60.0,1,3,-0.04304280191394434
3,60.0,2,0,-0.06157965918225448
3,60.0,2,1,0.04188773702721032
3,60.0,2,2,0.1647274780464147
3,60.0,2,3,0.009864220601539792
3,60.0,3,0,0.009659105811167683
3,60.0,3,1,-0.04304280191394434
3,60.0,3,2,0.009864220601539792
3,60.0,3,3,0.07708032782196131
3,75.0,0,0,0.22986164104498433
3,75.0,0,1,0.07101899480904343
3,75.0,0,2,-0.020970719385386055
3,75.0,0,3,0.017291741718457876
3,75.0,1,0,0.07101899480904343
3,75.0,1,1,0.12786216229098807
3,75.0,1,2,0.04627854837158229
3,75.0,1,3,-0.040266989511712946
3,75.0,2,0,-0.020970719385386055
3,75.0,2,1,0.04627854837158229
3,75.0,2,2,0.16538172228370052
3,75.0,2,3,0.029716790275971263
3,75.0,3,0,0.017291741718457876
3,75.0,3,1,-0.040266989511712946
3,75.0,3,2,0.029716790275971263
3,75.0,3,3,0.08931391794690459
