model_seed,metric,angle_a,angle_b,factor_gap,category,distance
4,centroid,-75.0,-60.0,15.0,near,0.10048671577872105
4,centroid,-75.0,-45.0,30.0,near,0.34987450599455705
4,centroid,-75.0,-30.0,45.0,mid,0.6812337830901941
4,centroid,-75.0,-15.0,60.0,mid,0.806745427110289
4,centroid,-75.0,0.0,75.0,mid,0.835223825897889
4,centroid,-75.0,15.0,90.0,far,0.7989978529412614
4,centroid,-75.0,30.0,105.0,far,0.6969800435858818
4,centroid,-75.0,45.0,120.0,far,0.4855652688197684
4,centroid,-75.0,60.0,135.0,far,0.28942308845497516
4,centroid,-75.0,75.0,150.0,far,0.19435798735268933
4,centroid,-60.0,-45.0,15.0,near,0.2630754102473741
4,centroid,-60.0,-30.0,30.0,near,0.6298673082176878
4,centroid,-60.0,-15.0,45.0,mid,0.7797346829016729
4,centroid,-60.0,0.0,60.0,mid,0.8213472280905185
4,centroid,-60.0,15.0,75.0,mid,0.791565097106111
4,centroid,-60.0,30.0,90.0,far,0.7027911862866657
4,centroid,-60.0,45.0,105.0,far,0.5116712240968089
4,centroid,-60.0,60.0,120.0,far,0.3462575254466202
4,centroid,-60.0,75.0,135.0,far,0.26645744152777384
4,centroid,-45.0,-30.0,15.0,near,0.42200646501547173
4,centroid,-45.0,-15.0,30.0,near,0.6249206107107633
4,centroid,-45.0,0.0,45.0,mid,0.6978558211281132
4,centroid,-45.0,15.0,60.0,mid,0.6819486213283485
4,centroid,-45.0,30.0,75.0,mid,0.6271410906654018
4,centroid,-45.0,45.0,90.0,far,0.5131475265614227
4,centroid,-45.0,60.0,105.0,far,0.4600194861027526
4,centroid,-45.0,75.0,120.0,far,0.4366773844232675
4,centroid,-30.0,-15.0,15.0,near,0.2464965100657409
4,centroid,-30.0,0.0,30.0,near,0.35389277337674613
4,centroid,-30.0,15.0,45.0,mid,0.3645831227423202
4,centroid,-30.0,30.0,60.0,mid,0.40315576580830054
4,centroid,-30.0,45.0,75.0,mid,0.5026140588790962
4,centroid,-30.0,60.0,90.0,far,0.6279615451800505
4,centroid,-30.0,75.0,105.0,far,0.6772862802012317
4,centroid,-15.0,0.0,15.0,near,0.11774851541730062
4,centroid,-15.0,15.0,30.0,near,0.16148901286132636
4,centroid,-15.0,30.0,45.0,mid,0.2997834909632646
4,centroid,-15.0,45.0,60.0,mid,0.5193707191559304
4,centroid,-15.0,60.0,75.0,mid,0.6952627901609332
4,centroid,-15.0,75.0,90.0,far,0.7664107106589293
4,centroid,0.0,15.0,15.0,near,0.08343363932114878
4,centroid,0.0,30.0,30.0,near,0.2640263187068716
4,centroid,0.0,45.0,45.0,mid,0.5136585659266532
4,centroid,0.0,60.0,60.0,mid,0.7000509130601094
4,centroid,0.0,75.0,75.0,mid,0.778977810505483
4,centroid,15.0,30.0,15.0,near,0.18444223798627618
4,centroid,15.0,45.0,30.0,near,0.4437482648310429
4,centroid,15.0,60.0,45.0,mid,0.6418889482247205
4,centroid,15.0,75.0,60.0,mid,0.7290228702232064
4,centroid,30.0,45.0,15.0,near,0.2752430766976223
4,centroid,30.0,60.0,30.0,near,0.4946358253162388
4,centroid,30.0,75.0,45.0,mid,0.5960333593356689
