model_seed,metric,rho,stress,near_far_auc
0,centroid,0.4905467978701153,0.5127506114345431,0.8421052631578948
0,log_euclidean,0.5305156598515183,0.45294539076825313,0.880701754385965
0,airm,0.5264386903233605,0.4563968725823865,0.8842105263157896
0,bures,0.4710355865567893,0.46831360215203793,0.8385964912280701
0,centroid_plus_log_euclidean,0.5273487281644673,0.47387770390091627,0.8807017543859649
1,centroid,0.8005420880646762,0.3724292363060402,0.9859649122807017
1,log_euclidean,0.82387545831065,0.3326038983959338,0.9719298245614035
1,airm,0.8069851559797111,0.33693593879719513,0.9649122807017545
1,bures,0.8353419351085936,0.32422199191205,0.9789473684210526
1,centroid_plus_log_euclidean,0.8739275395715145,0.33913561165321526,1.0
2,centroid,0.45520092812153395,0.5244925621125014,0.8175438596491228
2,log_euclidean,0.6613426998890067,0.40349627167169233,0.9298245614035088
2,airm,0.6687686086724368,0.4021158543760442,0.9298245614035088
2,bures,0.6497306170364863,0.4117827841707446,0.9403508771929824
2,centroid_plus_log_euclidean,0.5729598247607314,0.46414572156316813,0.9087719298245615
3,centroid,0.5096211910197103,0.5026095740217049,0.8245614035087719
3,log_euclidean,0.8339222760764671,0.3483228606530287,0.9964912280701755
3,airm,0.8138650420584772,0.35565237865992494,0.9859649122807017
3,bures,0.8614782219051759,0.327662581408093,1.0
3,centroid_plus_log_euclidean,0.6342963752513178,0.4412051090712995,0.9263157894736842
4,centroid,0.44100433780027065,0.5369103631812862,0.8140350877192983
4,log_euclidean,0.3999798319231839,0.514655200554955,0.7719298245614036
4,airm,0.4085705891432306,0.5092837112227979,0.7754385964912281
4,bures,0.4086433921705191,0.5135819969708005,0.768421052631579
4,centroid_plus_log_euclidean,0.4639736929098019,0.5098087825856451,0.8140350877192982
